回答者(or No.),問１　あなたの性別を教えてください。,問２　あなたのふだんからよく遊んだり、やりとりする友だちは、どのような友だちですか。,問３　放課後に過ごす場所／A自分の家,問３　放課後に過ごす場所／B友だちの家,問３　放課後に過ごす場所／C塾や習い事,問３　放課後に過ごす場所／D児童館・児童センター,問３　放課後に過ごす場所／E学校（部活など）,問３　放課後に過ごす場所／F民間等スポーツクラブの活動の場,問３　放課後に過ごす場所／G公園,問３　放課後に過ごす場所／H図書館,問３　放課後に過ごす場所／I商店街やショッピングモール,問３　放課後に過ごす場所／Jゲームセンター,問３　放課後に過ごす場所／Kインターネット上の仮想空間（メタバースなど）,問３　放課後に過ごす場所／Lその他,問３　Lその他／記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問３　休日に一番多く過ごす場所（複数回答５）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、学校の部活動に参加していますか。,問５―１　参加しない理由は何ですか。（複数回答１）,問５―１　参加しない理由は何ですか。（複数回答２）,問５―１　参加しない理由は何ですか。（複数回答３）,問５―１　参加しない理由は何ですか。（複数回答４）,問５―１　６　その他,問６　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問７　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問９　あなたは、自分の健康状態についてどう感じていますか。,問10　全体として、あなたは最近の生活に、どのくらい満足していますか。,問11　あなたは、学校の授業がわからないことがありますか。,問11１　いつごろから、授業がわからなくなりましたか。,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問13　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問14　５　その他,問15　あなたは、将来、どの段階まで進学したいですか。あなたの考えにもっとも近いものに〇をつけてください。,問16　問15で選んだ理由は何ですか（複数回答１）,問16　問15で選んだ理由は何ですか（複数回答２）,問16　問15で選んだ理由は何ですか（複数回答３）,問16　問15で選んだ理由は何ですか（複数回答４）,問17　Aがんばれば、むくわれると思う,問17　B自分は価値のある人間だと思う,問17　C自分は家族に大事にされていると思う,問17　Ｄ不安に感じることはないと思う,問17　Ｅ孤独を感じることはないと思う,問17　Ｆ自分の将来が楽しみだと思う,問17　Ｇ自分のことが好きだと思う,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問18　10　その他,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問19　14　その他,問20　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問21　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問22　あなたは「子どもの権利条約」について知っていますか。,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問23　11　その他,問24　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問25　A（家以外で）平日の放課後に夜までいることができる場所,問25　B（家以外で）休日にいることができる場所,問25　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問25　D家で勉強できないとき、静かに勉強ができる場所,問25　E大学生のボランティアが、勉強を無料でみてくれる場所,問25　F（学校以外で）勉強、進学、家族のことなど、何でも相談できる場所,問25　G子どもに寄りそう人がいる居場所,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問27　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
177,1,1,1,4,3,4,1,4,4,4,4,4,1,,,1,,,,,1,2,1,3,,,,3,1,1,2,,2,5,2,,1,2,3,4,6,3,1,2,3,,,4,1,5,,,1,2,1,4,2,1,1,11,,,,,,1,2,3,4,5,6,13,,,,,,,3,2,2,1,2,3,10,,,,,1,2,2,2,3,2,2,2,3,6,8,,,,,,僕は体操をやっていて、個人的な要望なのですが、内村航平さんか橋本大輝さんに会ってみたいです。
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,5,1,,1,2,3,6,,4,2,4,,,,4,2,,,,1,1,1,1,1,1,1,11,,,,,,1,2,3,4,6,7,8,,,,,,,,,,1,,,,,,,,1,3,2,3,2,2,2,2,5,7,9,,,,,,学校等の施設の備品などを新しくする。
179,2,1,2,4,3,4,4,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,2,1,1,2,3,3,4,2,,2,3,6,,,3,3,,,,,3,1,,,,1,1,1,1,1,1,1,11,,,,,,1,2,4,5,6,7,,,,,,,,3,2,2,1,2,3,,,,,,1,5,5,5,3,5,5,5,4,5,8,,,,,,狛江市内にゴミ箱を設置してほしいです。
180,1,1,1,4,2,4,2,4,4,4,3,4,4,,,9,,,,,1,1,,,,,,4,1,1,,,1,4,1,,1,2,4,,,5,1,,,,,4,1,,,,2,1,1,1,1,1,1,11,,,,,,1,4,,,,,,,,,,,,2,2,4,1,,,,,,,,1,5,5,5,3,5,5,5,8,,,,,,,,
181,1,1,3,4,4,4,2,4,4,4,4,4,3,4,,1,,,,,1,1,,,,,,1,1,1,2,,2,5,2,,1,3,4,5,6,2,1,,,,,4,1,,,,1,3,1,1,1,1,2,8,,,,,,1,2,4,5,6,13,,,,,,,,2,2,2,1,3,10,,,,,,1,1,2,1,3,3,3,2,3,4,7,8,9,,,,・子ども一人につきスマホ一台支給。　・今のパソコン（中学校のもの）から、小学校のタブレット端末に戻していただきたい。
182,2,,3,4,4,4,1,4,4,4,3,4,4,4,,5,,,,,1,1,,,,,,5,1,1,5,,1,4,2,,4,6,,,,4,1,3,,,,3,1,,,,1,1,2,4,4,1,2,3,,,,,,4,,,,,,,,,,,,,2,3,4,1,,,,,,,,2,2,2,3,4,4,3,2,5,6,9,,,,,,・みんなが気軽に相談できる施設
183,1,1,1,4,3,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,2,1,1,2,,2,5,2,,3,4,6,,,4,1,5,,,英会話,4,1,,,,1,1,1,1,2,1,1,11,,,,,,1,4,6,,,,,,,,,,,3,2,4,1,3,10,,,,,,1,4,3,3,2,4,3,3,3,4,9,,,,,,・気軽に友達などの人たちと遊べる場所　・気軽に大人と相談できる場所
184,2,,1,4,4,4,2,4,4,4,3,3,4,4,,1,,,,,1,1,,,,,,1,1,1,2,,4,4,2,,1,4,6,,,4,1,3,,,,4,8,,,,2,4,1,3,4,4,2,10,,,,,兄弟にキツくあたってしまう。,1,,,,,,,,,,,,,3,2,4,1,,,,,,,,1,5,2,3,3,4,4,4,3,7,8,,,,,,
185,2,1,2,4,4,4,4,4,2,4,4,4,4,1,,,,,,,1,2,1,,,,,4,2,1,2,,1,4,2,,1,,,,,2,6,,,,,5,9,,,,2,2,2,3,3,2,2,11,,,,,,1,2,4,6,,,,,,,,,,3,2,4,1,,,,,,,,5,5,5,3,5,2,3,3,4,7,8,,,,,,
186,2,1,3,4,3,4,1,4,4,4,3,4,4,4,,5,,,,,1,1,,,,,,4,1,1,2,,1,5,2,,3,4,6,,,2,1,,,,,4,3,,,,1,1,1,2,1,1,1,11,,,,,,1,2,4,6,,,,,,,,,,2,3,4,1,2,3,,,,,,1,5,5,5,5,4,5,5,7,,,,,,,,バスケットゴールのある室内パークを作ってほしい。
187,1,3,1,4,3,4,4,3,4,4,4,4,4,,,3,,,,,1,2,3,,,,,4,1,2,,,1,4,1,,6,,,,,2,1,,,,,5,9,,,,1,1,1,1,1,1,1,4,,,,,,1,2,4,5,,,,,,,,,,3,2,4,1,,,,,,,,1,5,5,5,5,5,5,5,3,4,5,,,,,,
188,2,,3,,,,2,,,,,,,,,3,,,,,1,1,,,,,,3,1,1,,,2,4,2,,3,4,6,,,6,1,3,,,,4,1,,,,2,2,1,2,3,2,3,1,,,,,,1,4,5,,,,,,,,,,,1,2,3,1,,,,,,,,2,5,5,5,5,3,3,4,1,9,,,,,,,
189,1,1,1,3,3,3,2,4,4,4,3,4,4,4,,1,,,,,1,1,,,,,,5,1,1,2,,2,3,2,,3,4,6,,,3,1,3,,,,5,9,,,,2,3,2,3,1,2,1,11,,,,,,1,4,6,,,,,,,,,,,1,2,4,1,,,,,,,,2,3,3,5,3,3,3,3,3,7,8,,,,,,
190,1,1,1,3,4,4,3,4,4,4,4,4,4,4,,5,,,,,1,1,,,,,,5,1,1,,,2,4,2,,1,3,,,,2,3,,,,,4,9,,,,2,3,2,2,2,3,3,11,,,,,,1,8,,,,,,,,,,,,1,3,1,5,,,,,,,,4,1,5,5,5,5,5,5,4,7,9,,,,,,
191,1,1,1,,,,2,,,,,,,,,1,,,,,1,1,,,,,,1,2,1,2,,1,5,2,,1,3,6,,,1,6,,,,,2,1,,,,1,1,1,1,1,2,1,,,,,,,1,6,8,,,,,,,,,,,1,2,4,1,3,,,,,,,1,3,3,2,2,3,2,2,1,3,4,5,7,8,9,,・全ての子どもが平和に暮らせる社会。
192,1,1,4,4,4,4,1,4,4,4,3,,4,4,,5,,,,,1,1,,,,,,5,1,4,,,1,4,2,,3,5,6,,,4,3,,,,,4,1,,,,2,2,1,3,2,3,3,11,,,,,,1,4,6,,,,,,,,,,,1,2,2,1,3,,,,,,,2,3,3,2,2,3,3,2,2,3,5,8,9,,,,とくにありません。
193,2,4,1,4,4,4,,4,4,4,4,4,2,,,1,,,,,1,2,1,,,,,2,1,1,,,2,4,2,,7,,,,,,3,,,,,5,8,,,,3,2,1,1,1,2,2,11,,,,,,8,12,,,,,,,,,,,,2,2,4,1,3,5,,,,,,1,5,5,5,3,1,4,3,7,8,9,,,,,,
194,2,1,1,4,4,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,1,3,1,2,,3,3,4,4,4,6,,,,3,1,,,,,3,3,,,,3,4,3,3,3,2,3,3,8,,,,,15,,,,,,,,,,,,,3,2,4,3,,,,,,,,3,3,2,5,5,3,3,2,6,7,9,,,,,,
