町丁目別人口・世帯数　平成３０年１０月１日現在,,,,
地区名称,男,女,合計,世帯
関戸１丁目,425,530,955,481
関戸２丁目,"1,283","1,346","2,629","1,414"
関戸３丁目,698,738,"1,436",714
関戸４丁目,"1,016","1,137","2,153","1,195"
関戸５丁目,737,739,"1,476",736
関戸６丁目,449,434,883,399
,"4,608","4,924","9,532","4,939"
,,,,
連光寺１丁目,"1,853","1,891","3,744","1,601"
連光寺２丁目,"1,234","1,234","2,468","1,009"
連光寺３丁目,865,854,"1,719",796
連光寺４丁目,290,268,558,267
連光寺５丁目,149,144,293,156
連光寺６丁目,427,352,779,375
,"4,818","4,743","9,561","4,204"
,,,,
貝取,629,561,"1,190",617
,629,561,"1,190",617
,,,,
乞田,"1,368","1,198","2,566","1,261"
,"1,368","1,198","2,566","1,261"
,,,,
和田,"4,663","4,473","9,136","4,046"
,"4,663","4,473","9,136","4,046"
,,,,
百草,437,423,860,424
,437,423,860,424
,,,,
落川,646,619,"1,265",569
,646,619,"1,265",569
,,,,
東寺方,879,798,"1,677",821
東寺方１丁目,530,556,"1,086",527
,"1,409","1,354","2,763","1,348"
,,,,
一ノ宮１丁目,"1,120",906,"2,026","1,314"
一ノ宮２丁目,755,740,"1,495",900
一ノ宮３丁目,432,457,889,504
一ノ宮４丁目,934,970,"1,904","1,010"
,"3,241","3,073","6,314","3,728"
,,,,
桜ヶ丘１丁目,951,"1,040","1,991",947
桜ヶ丘２丁目,617,717,"1,334",601
桜ヶ丘３丁目,598,646,"1,244",546
桜ヶ丘４丁目,731,822,"1,553",819
,"2,897","3,225","6,122","2,913"
,,,,
和田（百草団地）,637,721,"1,358",891
,637,721,"1,358",891
,,,,
聖ヶ丘１丁目,881,"1,015","1,896",861
聖ヶ丘２丁目,849,"1,007","1,856",846
聖ヶ丘３丁目,"1,083","1,074","2,157",937
聖ヶ丘４丁目,363,386,749,299
聖ヶ丘５丁目,57,46,103,33
,"3,233","3,528","6,761","2,976"
,,,,
馬引沢１丁目,885,824,"1,709",899
馬引沢２丁目,"1,265","1,131","2,396","1,230"
,"2,150","1,955","4,105","2,129"
,,,,
山王下１丁目,305,377,682,533
,305,377,682,533
,,,,
中沢１丁目,599,531,"1,130",614
中沢２丁目,912,"1,014","1,926",838
,"1,511","1,545","3,056","1,452"
,,,,
唐木田１丁目,"1,151","1,198","2,349","1,121"
唐木田２丁目,0,0,0,0
,"1,151","1,198","2,349","1,121"
,,,,
諏訪１丁目,"2,086","2,134","4,220","2,002"
諏訪２丁目,"1,782","1,979","3,761","1,651"
諏訪３丁目,560,551,"1,111",524
諏訪４丁目,872,"1,166","2,038","1,101"
諏訪５丁目,298,382,680,396
,"5,598","6,212","11,810","5,674"
,,,,
永山１丁目,961,998,"1,959","1,113"
永山２丁目,"1,603","1,588","3,191","1,552"
永山３丁目,"1,684","1,879","3,563","1,784"
永山４丁目,"1,465","1,597","3,062","1,870"
永山５丁目,977,"1,110","2,087",881
永山６丁目,584,592,"1,176",572
,"7,274","7,764","15,038","7,772"
,,,,
貝取１丁目,"1,007",955,"1,962",932
貝取２丁目,"1,652","1,810","3,462","1,487"
貝取３丁目,449,577,"1,026",460
貝取４丁目,539,569,"1,108",533
貝取５丁目,269,319,588,330
,"3,916","4,230","8,146","3,742"
,,,,
豊ヶ丘１丁目,"1,549","1,516","3,065","1,505"
豊ヶ丘２丁目,"1,450","1,484","2,934","1,308"
豊ヶ丘３丁目,773,893,"1,666",700
豊ヶ丘４丁目,331,365,696,396
豊ヶ丘５丁目,623,708,"1,331",646
豊ヶ丘６丁目,435,504,939,489
,"5,161","5,470","10,631","5,044"
,,,,
落合１丁目,"1,415","1,514","2,929","1,444"
落合２丁目,"1,157","1,105","2,262",888
落合３丁目,"1,478","1,568","3,046","1,487"
落合４丁目,"1,054","1,193","2,247","1,130"
落合５丁目,"1,085","1,115","2,200",916
落合６丁目,912,851,"1,763",798
,"7,101","7,346","14,447","6,663"
,,,,
鶴牧１丁目,"1,269","1,274","2,543","1,160"
鶴牧２丁目,867,794,"1,661",810
鶴牧３丁目,"2,045","2,178","4,223","1,540"
鶴牧４丁目,364,400,764,327
鶴牧５丁目,937,"1,050","1,987",856
鶴牧６丁目,854,923,"1,777",763
,"6,336","6,619","12,955","5,456"
,,,,
