年度,Fiscal year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned,設置者保有 Owned／校舎 School buildings,設置者保有 Owned／講堂，屋内運動場 Auditoriums， gymnasiums ,設置者保有 Owned／寄宿舎 Dormitories,借用建物 Rented buildings
平成28,2016,総数,Total,,15075301,15012430,12906252,2066791,39387,62871
平成29,2017,総数,Total,,15070283,14984389,12886159,2071292,26938,85894
平成30,2018,総数,Total,,15249197,15169648,13041662,2096081,31905,79549
令和元,2019,総数,Total,,15219946,15162111,13050430,2079776,31905,57835
令和2,2020,総数,Total,,15266600,15207705,13089408,2086642,31655,58895
令和3,2021,総数,Total,,15287141,15240169,13121032,2087089,32048,46972
令和3,2021,幼稚園,Kindergartens,,136453,124439,124439,-,-,12014
令和3,2021,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,10044,9055,8391,664,-,989
令和3,2021,小学校,Elementary schools,,7472859,7463076,6483889,977679,1508,9783
令和3,2021,中学校,Junior high schools,,4244279,4242586,3596679,645907,-,1693
令和3,2021,義務教育学校,Compulsory education schools ,,131017,131017,112692,18325,-,-
令和3,2021,高等学校,Senior high schools,,2551925,2529432,2132928,383755,12749,22493
令和3,2021,特別支援学校 ,Special needs schools,1),619894,619894,556631,49458,13805,-
令和3,2021,専修学校,Specialized training schools,,55340,55340,46893,4461,3986,-
令和3,2021,高等専門学校,Colleges of technology,,65330,65330,58490,6840,-,-
,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-5  学校施設の面積 (2) 用途別学校建物面積 (平成29～令和3年度) a 公立 17-5  LAND AREA OF SCHOOL FACILITIES (2) SCHOOL BUILDING AREA BY USE  ( Fiscal Years 2017-2021 ) a PUBLIC,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,
注 1) 区立特別支援学校は除く。     ,,,,,,,,,,
Note: 1) Except those established by ward.,,,,,,,,,,
資料：都総務局総務部企画計理課，教育庁都立学校教育部高等学校教育課・特別支援教育課，地域教育支援部義務教育課 Source: Bureau of General Affairs， TMG; Office of Education， TMG 　   ,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,
