年度,Fiscal year,開館日数 Number of open days,観覧人員 Visitors／収蔵映像展 Exhibitions from permanent collection,観覧人員 Visitors／共催展実験劇場 Exhibition under cosponsorship 2),観覧人員 Visitors／企画展 Special exhibition,収蔵品数(年度末) Number of collection items (end of fiscal year)／総数 Total,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真作品 Photo works,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真作品 Photo works／海外作品 Overseas works,収蔵品数(年度末) Number of collection items (end of fiscal year)／映像作品資料 Video materials,収蔵品数(年度末) Number of collection items (end of fiscal year)／図書資料 Library books,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真資料 Photo materials
平成20,2008,305,106175,309281,-,88772,21805,5097,2238,63933,796
平成21,2009,305,153727,274787,-,93086,22360,5248,2245,67598,883
平成22,2010,302,134831,292392,-,98942,22700,5340,2272,73078,892
平成23,2011,298,120591,309066,-,109356,23886,5446,2299,81279,1892
平成24,2012,298,114509,292873,-,115240,24292,5480,2318,85627,3003
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (3) 東京都写真美術館 (平成20～24年度) 17-12 TOKYO METROPOLITAN MUSEUMS (3) TOKYO PHOTOGRAPHIC ART MUSEUM ( Fiscal Years 2008-2012 ),,,,,,,,,,,
注) 共催展・実験劇場欄には自主企画展観覧人員を含む。,,,,,,,,,,,
Note: Special exhibition viisitors are included in visitors of co-sponsored exhibits and experimental shows.,,,,,,,,,,,
資料： 公益財団法人東京都歴史文化財団事務局 Source: Tokyo Metropolitan Foundation for History and Culture,,,,,,,,,,,
