国/年月,西暦（年）,月,国/日本,国/アメリカ合衆国,国/カナダ,国/中国,国/韓国,国/ドイツ,国/フランス,国/イタリア,国/イギリス
前年比(%)/2005年平均,2005,,-0.3,3.4,2.2,1.8,2.8,1.5,1.8,1.9,2.8
前年比(%)/2006年平均,2006,,0.3,3.2,2,1.5,2.2,1.6,1.6,2.1,3.2
前年比(%)/2007年平均,2007,,0,2.8,2.2,4.8,2.5,2.3,1.5,1.8,4.3
前年比(%)/2008年平均,2008,,1.4,3.8,2.3,5.9,4.7,2.6,2.8,3.3,4
前年比(%)/2009年平均,2009,,-1.4,-0.4,0.3,-0.7,2.8,0.4,0.1,0.8,-0.5
前年比(%)/2010年平均,2010,,-0.7,1.6,1.8,3.3,3,1.1,1.5,1.5,4.6
前年比(%)/2011年平均,2011,,-0.3,3.2,2.9,5.4,4,2.3,2.1,2.8,5.2
前年同月比(%)/2011年2月,2011,2,-0.5,2.1,2.2,4.9,3.9,2.1,1.7,2.4,5.5
前年同月比(%)/2011年3月,2011,3,-0.5,2.7,3.3,5.4,4.1,2.1,2,2.5,5.3
前年同月比(%)/2011年4月,2011,4,-0.4,3.2,3.3,5.3,3.8,2.4,2.1,2.6,5.2
前年同月比(%)/2011年5月,2011,5,-0.4,3.6,3.7,5.5,3.9,2.3,2,2.6,5.2
前年同月比(%)/2011年6月,2011,6,-0.4,3.6,3.1,6.4,4.2,2.3,2.1,2.7,5
前年同月比(%)/2011年7月,2011,7,0.2,3.6,2.7,6.5,4.5,2.4,1.9,2.7,5
前年同月比(%)/2011年8月,2011,8,0.2,3.8,3.1,6.2,4.7,2.4,2.2,2.8,5.2
前年同月比(%)/2011年9月,2011,9,0,3.9,3.2,6.1,3.8,2.6,2.2,3,5.6
前年同月比(%)/2011年10月,2011,10,-0.2,3.5,2.9,5.5,3.6,2.5,2.3,3.4,5.4
前年同月比(%)/2011年11月,2011,11,-0.5,3.4,2.9,4.2,4.2,2.4,2.5,3.3,5.2
前年同月比(%)/2011年12月,2011,12,-0.2,3,2.3,4.1,4.2,2.1,2.5,3.3,4.8
前年同月比(%)/2012年1月,2012,1,0.1,2.9,2.5,4.5,3.4,2.1,2.3,3.2,3.9
前年同月比(%)/2012年2月,2012,2,0.3,2.9,2.6,3.2,3.1,2.3,2.3,3.3,3.7
前年同月比(%)/2012年3月,2012,3,0.5,2.7,1.9,3.6,2.6,2.1,2.3,3.3,3.6
前年同月比(%)/2012年4月,2012,4,0.4,2.3,2,3.4,2.5,2.1,2.1,3.3,3.5
前年同月比(%)/2012年5月,2012,5,0.2,1.7,1.2,3,2.5,1.9,2,3.2,3.1
前年同月比(%)/2012年6月,2012,6,-0.2,1.7,1.5,2.2,2.2,1.7,1.9,3.3,2.8
,,,,,,,,,,,
東京の物価／平成24年7月,,,,,,,,,,,
参考表４　主要国の消費者物価指数変化率,,,,,,,,,,,
資料　総務省統計局,,,,,,,,,,,
