名称,所在地,経度,緯度
旭丘小,旭丘2-21-1,139.6772026,35.73615903
小竹小,小竹町2-6-7,139.680369,35.74369425
豊玉小,豊玉中4-2-20,139.6518827,35.73244262
豊玉第二小,豊玉上2-16-1,139.6620826,35.73702576
豊玉東小,豊玉北1-16-1,139.6679331,35.73211368
豊玉南小,豊玉南2-14-1,139.6562528,35.7271081
中村小,中村2-8-1,139.6436555,35.73049614
中村西小,中村北4-17-1,139.6353414,35.73354847
練馬第三小,貫井1-36-15,139.635319,35.73673709
早宮小,早宮4-10-17,139.6507508,35.75174869
開進第一小,早宮2-1-31,139.6578997,35.75413622
開進第二小,桜台5-10-5,139.6581924,35.74161575
開進第三小,桜台2-18-1,139.6663473,35.74330379
開進第四小,羽沢2-33-1,139.6720613,35.74737068
仲町小,氷川台2-18-24,139.6680879,35.7574945
南町小,練馬2-7-5,139.6530862,35.74010934
北町小,北町1-14-11,139.6643963,35.76445877
北町西小,北町7-3-8,139.6540604,35.7611845
練馬小,春日町6-11-36,139.6365225,35.75197278
練馬第二小,貫井2-31-13,139.6337549,35.74082218
練馬東小,春日町1-30-11,139.6476642,35.75153593
田柄小,田柄2-19-19,139.6439159,35.76535342
田柄第二小,田柄1-5-27,139.6430224,35.75858434
光が丘秋の陽小,光が丘2-1-1,139.635122,35.76115379
向山小,向山2-14-11,139.6405187,35.74013114
高松小,高松3-16-1,139.6272153,35.74909835
春日小,春日町5-12-1,139.6402318,35.74645363
光が丘四季の香小,高松5-24-1,139.6249988,35.76114498
光が丘春の風小,光が丘7-2-1,139.6258509,35.75515161
光が丘夏の雲小,光が丘3-6-1,139.6319157,35.75681275
光が丘第八小,光が丘1-4-1,139.6374841,35.7677163
石神井東小,南田中3-9-1,139.6200495,35.73690604
下石神井小,下石神井2-20-18,139.6059918,35.73174669
光和小,石神井町2-16-34,139.6071877,35.74564351
谷原小,谷原2-9-26,139.6139438,35.75020789
南田中小,南田中5-15-37,139.6112507,35.73650659
南が丘小,南田中2-13-1,139.617299,35.73336545
富士見台小,富士見台4-16-10,139.6232012,35.74421405
石神井小,石神井台1-1-25,139.5993673,35.73503153
石神井西小,関町北1-1-5,139.5806814,35.72350868
石神井台小,石神井台8-6-33,139.5814778,35.73471969
上石神井小,上石神井4-10-9,139.5890621,35.72716307
上石神井北小,石神井台5-1-32,139.5888153,35.73524761
立野小,立野町17-13,139.5808333,35.71768322
関町小,関町北3-23-34,139.5716185,35.72456978
関町北小,関町北5-13-40,139.5737374,35.73184295
豊溪小,土支田2-26-28,139.6158573,35.76239115
旭町小,旭町2-29-1,139.6273649,35.77222042
大泉第一小,大泉町3-16-23,139.599555,35.76532802
大泉東小,東大泉1-22-1,139.5914501,35.74821521
大泉北小,大泉町4-28-22,139.5961881,35.76172853
大泉学園小,大泉学園町4-7-1,139.5932959,35.76528324
泉新小,三原台3-18-30,139.6008602,35.75393784
橋戸小,大泉町2-11-25,139.6023585,35.75849673
八坂小,土支田4-48-1,139.6117342,35.76834943
大泉小,東大泉4-25-1,139.5839093,35.75273022
大泉第二小,南大泉4-29-11,139.5737061,35.74393535
大泉第三小,大泉学園町3-22-1,139.5794345,35.76260749
大泉第四小,西大泉1-24-1,139.5741313,35.7550255
大泉第六小,南大泉5-25-29,139.5717676,35.75141342
大泉西小,西大泉4-25-1,139.5722383,35.76485206
大泉南小,東大泉6-28-1,139.5812259,35.74424492
大泉学園緑小,大泉学園町5-11-47,139.58525,35.76584784
大泉桜学園（大泉学園桜小）,大泉学園町9-2-2,139.5916925,35.77637148
旭丘中,旭丘2-40-1,139.6779457,35.73750996
豊玉中,豊玉南2-1-20,139.6577628,35.7285104
豊玉第二中,豊玉北2-24-5,139.6638882,35.73558929
中村中,中村南1-32-21,139.645358,35.72735567
開進第一中,早宮1-16-50,139.6588251,35.75148432
開進第二中,練馬2-27-28,139.6534293,35.74316943
開進第三中,桜台3-28ｰ1,139.6656521,35.74516621
開進第四中,羽沢3-24-1,139.6743103,35.75043875
北町中,北町3-1-34,139.6568088,35.76658743
練馬中,高松1-24-1,139.6352877,35.74668644
練馬東中,春日町2-14-22,139.6482663,35.75688345
貫井中,貫井2-14-13,139.632745,35.73870753
田柄中,田柄3-3-1,139.641265,35.75894362
豊溪中,旭町3-5-10,139.6282645,35.7735822
光が丘第一中,光が丘6-5-1,139.6223456,35.75908787
光が丘第二中,光が丘7-1-1,139.6257635,35.75399537
光が丘第三中,光が丘3-2-1,139.6307889,35.75548451
石神井中,石神井台1-32-1,139.5960069,35.74063745
石神井東中,高野台1-8-34,139.6171131,35.74192454
石神井西中,関町南3-10-3,139.5805927,35.71994334
石神井南中,下石神井2-7-23,139.6086874,35.72982022
上石神井中,上石神井4-15-27,139.5883307,35.72798129
南が丘中,南田中4-8-23,139.6133022,35.73328547
谷原中,谷原4-10-5,139.6153507,35.75570666
三原台中,三原台3-13-41,139.5992983,35.75432356
大泉中,東大泉4-27-35,139.5855083,35.75328119
大泉第二中,東大泉6-21-1,139.5831227,35.74449233
大泉西中,西大泉3-19-27,139.5795287,35.75789666
大泉北中,大泉町5-4-32,139.5968809,35.75915291
大泉学園中,大泉学園町4-17-32,139.5897265,35.7660552
大泉桜学園（大泉学園桜中）,大泉学園町9-2-1,139.5904884,35.77682505
関中,関町北4-34-23,139.574973,35.73032402
八坂中,土支田4-47-21,139.6126357,35.76921585
北原小,谷原4-9-1,139.6137677,35.75536262
