項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
,総数,Total,4116,18824,3304,2350
1,たばこ,Cigarettes,693,1966,409,438
2,こんろ,Gas table,523,1099,548,427
3,かまど,Kitchen stove,3,-,3,-
4,風呂かまど,Bathtub water heater ,5,17,5,3
5,炉,Furnace,18,79,17,4
6,焼却炉,Incinerator,2,-,1,1
7,ストーブ,Space heater ,101,2193,155,179
8,こたつ,Kotatsu， a Japanese table with a heating device,3,10,3,3
9,ボイラー,Hot water boiler,7,-,4,2
10,煙突・煙道,Chimney and flue,1,-,1,1
11,排気管,Exhaust pipe,31,-,2,-
12,電気機器,Electric machinery and appliances,431,1355,397,192
13,電気装置,Electric equipment,88,184,70,9
14,電灯電話配線,Lighting and telephone wiring,198,979,144,86
15,内燃機関,Internal-combustion engine,6,-,1,-
16,配線器具,Wiring devices ,279,508,275,109
17,火遊び,Playing with matches/lighters,21,16,11,5
18,マッチ・ライター,Matches and lighters,40,91,30,28
19,たき火,Bonfire,42,403,32,19
20,切断機・溶接機,Welding and cutting machines,43,704,23,-
21,灯火,Lighting,46,611,53,67
22,衝突の火花,Sparks caused by collision,1,-,-,-
23,取灰,Ash,4,21,3,-
24,火入れ,Kindling,1,-,-,-
25,放火,Arson,583,1895,278,173
26,放火の疑い,Suspected arson,58,15,21,10
27,交通機関内配線,Wiring installed in transportation facilities ,32,-,8,3
28,その他,Others　,557,1354,451,205
29,不明・調査中,Unknown and currently under investigation,299,5324,359,386
,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,
20-18  出火原因別出火件数及び焼損面積 （平成31･令和元年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2019 ),,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,
