保険者番号,保険者別,賦課期日現在／所得割の課税対象額(千円),賦課期日現在／資産割の課税対象額(千円),賦課期日現在／課税対象世帯数(世帯),賦課期日現在／課税対象被保険者数(人),賦課期日現在／軽減世帯数(世帯),賦課期日現在／災害等による減免世帯数(世帯),賦課期日現在／その他の減免世帯数(世帯),賦課期日現在／限度額を超える世帯数(世帯)
,公営計,115157853,421663,72185,99815,31820,6,23,2227
,特別区計,71529178,0,43391,58567,19778,5,18,1532
,市町村計,43628675,421663,28794,41248,12042,1,5,695
,多摩計,43467235,417488,28598,40959,11929,1,5,695
,島しょ計,161440,4175,196,289,113,0,0,0
1,千代田区,318965,,165,190,61,0,0,16
2,中央区,786229,,407,516,144,0,5,22
3,港区,2661235,,658,1117,299,0,0,86
4,新宿区,2171757,,1288,1623,578,1,1,54
5,文京区,3138830,,1516,1611,568,1,0,61
6,台東区,1077774,,902,1124,427,1,0,16
7,墨田区,1978068,,1886,2339,834,0,0,44
8,江東区,3419320,,3089,3821,1347,0,0,63
9,品川区,2546431,,1525,2465,746,0,0,68
10,目黒区,2907414,,1333,1819,755,0,2,32
11,大田区,4753175,,3598,4590,1289,0,0,29
12,世田谷区,9508267,,3918,5641,1658,0,0,288
13,渋谷区,1987491,,1120,1361,423,0,1,98
14,中野区,2335326,,1133,1409,490,1,0,54
15,杉並区,3762007,,1420,2487,677,0,0,92
16,豊島区,1917269,,1413,1722,603,0,0,65
17,北区,2129615,,1965,2465,988,0,0,14
18,荒川区,1119642,,913,1157,486,0,0,25
19,板橋区,3742920,,2956,3711,1425,0,0,92
20,練馬区,4897698,,2502,3517,1561,0,0,110
21,足立区,5104425,,2808,5061,1423,1,9,19
22,葛飾区,4854541,,3320,4278,1484,0,0,78
23,江戸川区,4410779,,3556,4543,1512,0,0,106
24,八王子市,6100385,,4692,6532,1314,0,0,75
25,立川市,1418957,,784,1488,361,0,1,7
26,武蔵野市,755384,,388,534,136,0,0,16
27,三鷹市,1625886,,1050,1462,411,0,0,23
28,青梅市,1407257,,1369,1633,624,0,1,5
29,府中市,2283403,,1662,2206,698,0,1,39
30,昭島市,1321253,,1081,1486,446,0,0,5
31,調布市,2270045,,1013,1904,443,0,2,28
32,町田市,5365904,,2906,4139,1811,0,0,35
33,福生市,812753,,723,796,264,0,0,7
34,羽村市,763415,,395,528,166,0,0,6
35,瑞穂町,324081,,139,349,66,0,0,6
36,あきる野市,731089,43228,631,892,267,0,0,8
37,日の出町,151227,,166,250,75,0,0,0
39,檜原村,36269,,40,54,27,0,0,0
40,奥多摩町,64905,,71,106,35,0,0,0
42,日野市,1651362,79858,1332,1557,792,1,0,15
44,多摩市,1701302,,928,1868,389,0,0,6
45,稲城市,1625813,,575,896,223,0,0,12
46,国立市,860036,,449,676,157,0,0,41
47,狛江市,1068743,50712,604,665,229,0,0,20
48,小金井市,1229252,,798,1114,297,0,0,26
49,国分寺市,755227,,476,731,173,0,0,7
51,武蔵村山市,838173,41045,545,819,145,0,0,204
52,東大和市,916540,72983,717,960,273,0,0,23
53,東村山市,1881817,,1180,1689,469,0,0,15
54,清瀬市,567109,30373,490,743,196,0,0,8
55,東久留米市,1094019,,856,1225,376,0,0,9
57,西東京市,2010072,,1343,1954,595,0,0,32
58,小平市,1835557,99289,1195,1703,471,0,0,17
59,大島町,79937,2076,86,115,55,0,0,0
60,利島村,,,,,,,,
61,新島村,24240,664,17,39,6,0,0,0
62,神津島村,5729,354,7,12,3,0,0,0
63,三宅村,13478,394,18,33,11,0,0,0
64,御蔵島村,,,,,,,,
65,八丈町,27715,386,60,75,33,0,0,0
66,青ヶ島村,,,,,,,,
67,小笠原村,,,,,,,,
