"科目","金額[百万円]"
"年度","2018"
"決算日","20190331"
"資産の部 固定資産","3460353"
"資産の部 固定資産 有形固定資産","3338484"
"資産の部 固定資産 有形固定資産 事業用資産","631079"
"資産の部 固定資産 有形固定資産 事業用資産 土地","429516"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","-"
"資産の部 固定資産 有形固定資産 事業用資産 建物","329210"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-135417"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","8349"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-4872"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","4294"
"資産の部 固定資産 有形固定資産 インフラ資産","2705976"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2615099"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1416"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-691"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","104183"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-14031"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","3822"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2393"
"資産の部 固定資産 無形固定資産","2584"
"資産の部 固定資産 無形固定資産 ソフトウェア","2574"
"資産の部 固定資産 無形固定資産 その他","10"
"資産の部 固定資産 投資その他の資産","119285"
"資産の部 固定資産 投資その他の資産 投資及び出資金","852"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","293"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","559"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","-"
"資産の部 固定資産 投資その他の資産 投資損失引当金","-"
"資産の部 固定資産 投資その他の資産 長期延滞債権","2065"
"資産の部 固定資産 投資その他の資産 長期貸付金","606"
"資産の部 固定資産 投資その他の資産 基金","115872"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","115872"
"資産の部 固定資産 投資その他の資産 その他","-"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-111"
"資産の部 流動資産","65587"
"資産の部 流動資産 現金預金","16344"
"資産の部 流動資産 未収金","946"
"資産の部 流動資産 短期貸付金","562"
"資産の部 流動資産 基金","47755"
"資産の部 流動資産 基金 財政調整基金","47755"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","-"
"資産の部 流動資産 その他","-"
"資産の部 流動資産 徴収不能引当金","-19"
"資産の部 資産合計","3525940"
"負債の部 固定負債","17679"
"負債の部 固定負債 地方債","504"
"負債の部 固定負債 長期未払金","3052"
"負債の部 固定負債 退職手当引当金","14122"
"負債の部 固定負債 損失補償等引当金","-"
"負債の部 固定負債 その他","-"
"負債の部 流動負債","8889"
"負債の部 流動負債 1年内償還予定地方債","225"
"負債の部 流動負債 未払金","531"
"負債の部 流動負債 未払費用","-"
"負債の部 流動負債 前受金","-"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","945"
"負債の部 流動負債 預り金","7188"
"負債の部 流動負債 その他","-"
"負債の部 負債合計","26568"
"純資産の部 固定資産等形成分","3508669"
"純資産の部 余剰分（不足分）","-9297"
"純資産の部 純資産合計","3499372"
"負債及び純資産合計","3525940"

"一般会計財務書類（貸借対照表）(平成31年3月31日現在)","Ver201903"
