年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
平成30年5月,2018,5,100.5,100.5,100.8,102,99.2,99.1,94.4,98.3,102.6,103.2,98.9,101.9,103,101
平成30年6月,2018,6,100.5,100.5,100.8,102,99.2,99.1,94.9,99.6,102.1,103.4,98.6,101.9,102.9,100.9
平成30年7月,2018,7,100.6,100.5,100.8,102.7,99.4,99.2,95,99.4,99.6,103.4,99.2,101.9,102.2,100.7
平成30年8月,2018,8,101.3,101,101.7,103.7,99.4,99.1,95.4,98.2,99.3,104.2,99.6,101.9,105.8,100.9
平成30年9月,2018,9,101.4,101,101.7,104.3,99.5,99.2,96,98.7,104.2,104,98.7,101.9,103.3,101
平成30年10月,2018,10,101.7,101.3,102.1,104.2,99.6,99.4,96.7,100.2,104.2,104.1,98.9,101.9,104.7,101.7
平成30年11月,2018,11,101.4,101.3,101.8,103.1,99.6,99.3,97.3,100.7,104.5,104,98.7,101.9,104.2,101.8
平成30年12月,2018,12,101.2,101.2,101.6,102.7,99.6,99.3,97.9,99.9,102.8,103.9,98.3,101.9,104.7,101.7
平成31年1月,2019,1,101.3,100.9,101.6,104,99.6,99.5,98.7,100,99,103.9,98.1,101.9,103.3,101.5
平成31年2月,2019,2,101.4,101.2,101.8,103.5,99.7,99.6,99.5,101.1,100.1,103.8,98.1,101.9,104.3,101.5
平成31年3月,2019,3,101.4,101.3,101.7,103.1,99.8,99.6,99.8,101.1,101.9,103.9,98.6,102,103.3,101.9
平成31年4月,2019,4,101.8,101.7,102.2,103.3,99.8,99.7,99.4,102.1,103.7,104.1,98.2,102.7,105.6,102.2
令和元年5月,2019,5,101.6,101.6,102,103.4,99.8,99.7,98.9,102,103.6,104.3,98.2,102.6,104.4,101.9
令和元年6月,2019,6,101.6,101.5,102,103.8,99.9,99.8,98.3,102,102.9,104,97.2,102.6,104.5,101.9
令和元年7月,2019,7,101.5,101.4,101.9,103.9,99.9,99.8,97.7,101.9,100.8,104.2,98.2,102.6,103.7,102
令和元年8月,2019,8,101.8,101.7,102.3,104,99.8,99.8,97,101.6,100.4,104.1,98.7,102.6,107,102.2
令和元年9月,2019,9,101.8,101.4,102.2,104.8,99.8,99.8,96.1,101.8,103.8,104.2,97.6,102.6,104.2,102.3
令和元年10月,2019,10,102.1,101.8,102.7,105.4,100.2,101.2,95.8,103.6,105.9,105.2,98.5,95.6,107,100.6
令和元年11月,2019,11,102.2,102,102.7,105.3,100.2,101.2,97,103.6,106.7,104.9,98.8,95.6,106.4,100.8
令和元年12月,2019,12,102.2,102,102.8,105.1,100.1,101.1,97.2,102.9,105.9,104.9,99.1,95.6,107.6,100.6
令和2年1月,2020,1,101.9,101.7,102.4,105.5,100.2,101.2,97,101.8,102.3,105.3,99.4,95.6,105.3,100.7
令和2年2月,2020,2,101.8,101.7,102.2,104.9,100.2,101.3,96.7,103.1,102.5,105.1,99.1,95.7,105.2,101
令和2年3月,2020,3,101.8,101.7,102.2,104.7,100.3,101.4,96.9,102.8,103.8,105.2,99.1,95.8,105,101
令和2年4月,2020,4,102,101.7,102.5,105.6,100.3,101.4,96.9,102.9,105.5,105,98,94.4,105.7,100.9
令和2年5月,2020,5,102,101.8,102.5,105.6,100.5,101.8,97,103.7,105.4,105.1,98,93.5,105.7,101.1
令和2年6月,2020,6,101.9,101.6,102.3,105.4,100.5,101.8,96.9,103.5,105.2,105.2,98.1,92.2,105.3,100.8
令和2年7月,2020,7,102.1,101.8,102.5,105.7,100.5,101.8,96.3,104.2,103.2,105.3,99,93.8,105.8,100.8
令和2年8月,2020,8,102.1,101.4,102.6,107,100.5,101.8,95.6,104.1,102.7,105.1,99.4,93.4,103.8,100.9
令和2年9月,2020,9,101.9,101.3,102.4,106.8,100.5,101.9,94.2,104.5,106.6,105,98.4,93.6,102,101.1
令和2年10月,2020,10,101.9,101.4,102.3,106.3,100.6,102.1,92.5,105.2,107.6,105.1,98.5,93.9,102.3,101.6
令和2年11月,2020,11,101.4,101.3,101.7,104.7,100.6,102.1,90.9,105.9,107.9,105.1,98.4,93.9,102.1,101.9
令和2年12月,2020,12,101,101.1,101.2,103.8,100.7,102.1,89.5,104.8,105.8,105,98.5,93.9,102.9,101.5
令和3年1月,2021,1,101.4,101.2,101.7,104.9,100.8,102.7,88.8,104.6,102.5,104.9,98.4,93.9,105.6,101.4
令和3年2月,2021,2,101.5,101.4,101.8,104.8,100.9,103,89,106,103,105,98.5,93.9,105.2,102.2
令和3年3月,2021,3,101.6,101.6,102,104.4,100.9,103.2,90,106.5,104.7,104.9,98.9,93.9,105.9,102.1
令和3年4月,2021,4,101.4,101.4,101.8,104.1,100.8,103,91.6,107.4,106.2,104.8,94.1,94.9,106.9,102.4
令和3年5月,2021,5,101.7,101.6,102,104.5,100.8,103,94,107.1,106,104.9,94.5,95.2,106.5,102.3
前月比(％)／令和2年5月,2020,5,0.1,0.1,0,0,0.2,0.4,0.1,0.8,-0.1,0.1,0,-1,0,0.2
前月比(％)／令和2年6月,2020,6,-0.2,-0.1,-0.2,-0.2,0,0,-0.1,-0.2,-0.2,0.1,0,-1.4,-0.3,-0.3
前月比(％)／令和2年7月,2020,7,0.2,0.1,0.2,0.3,0,0,-0.6,0.6,-1.9,0.1,1,1.8,0.5,0
前月比(％)／令和2年8月,2020,8,0,-0.3,0.1,1.2,0,0,-0.7,-0.1,-0.5,-0.2,0.4,-0.4,-2,0.1
前月比(％)／令和2年9月,2020,9,-0.2,-0.2,-0.2,-0.1,0,0.1,-1.5,0.4,3.8,-0.1,-1,0.2,-1.7,0.2
前月比(％)／令和2年10月,2020,10,-0.1,0.1,-0.1,-0.5,0.1,0.2,-1.8,0.7,0.9,0,0,0.4,0.3,0.6
前月比(％)／令和2年11月,2020,11,-0.5,-0.1,-0.6,-1.5,0.1,0,-1.8,0.7,0.3,0,-0.1,0,-0.3,0.2
前月比(％)／令和2年12月,2020,12,-0.4,-0.2,-0.4,-0.9,0,0,-1.5,-1.1,-1.9,-0.1,0.1,0,0.8,-0.4
前月比(％)／令和3年1月,2021,1,0.4,0.2,0.5,1.1,0.2,0.6,-0.8,-0.2,-3.1,-0.1,-0.1,0,2.6,-0.1
前月比(％)／令和3年2月,2021,2,0.1,0.1,0.1,-0.1,0.1,0.3,0.2,1.4,0.4,0.1,0.1,-0.1,-0.3,0.8
前月比(％)／令和3年3月,2021,3,0.1,0.3,0.2,-0.4,-0.1,0.1,1.1,0.4,1.7,-0.1,0.4,0,0.6,-0.1
前月比(％)／令和3年4月,2021,4,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,1.8,0.9,1.4,-0.1,-4.8,1.1,1,0.3
前月比(％)／令和3年5月,2021,5,0.2,0.2,0.3,0.4,0.1,0.1,2.6,-0.3,-0.2,0.1,0.3,0.3,-0.3,-0.2
前年同月比(％)／令和2年5月,2020,5,0.4,0.2,0.5,2.2,0.7,2.1,-1.9,1.7,1.7,0.8,-0.1,-8.9,1.2,-0.8
前年同月比(％)／令和2年6月,2020,6,0.3,0.2,0.3,1.5,0.6,1.9,-1.4,1.5,2.2,1.1,0.9,-10.2,0.8,-1.1
前年同月比(％)／令和2年7月,2020,7,0.6,0.4,0.7,1.8,0.6,2,-1.5,2.2,2.4,1.1,0.9,-8.6,2.1,-1.1
