年月,西暦（年）,月,総合,財,財／生鮮食品を除く財,財／農水畜産物,財／農水畜産物／生鮮商品,財／農水畜産物／他の農水畜産物,財／農水畜産物／他の農水畜産物／米類,財／工業製品,財／工業製品／食料工業製品,財／工業製品／繊維製品,財／工業製品／石油製品,財／工業製品／他の工業製品,財／電気・都市ガス・水道,財／出版物,サービス,サービス/持家の帰属家賃を除くサービス,サービス/公共サービス,サービス/一般サービス,サービス/一般サービス／外食,サービス/一般サービス／民営家賃,サービス/一般サービス／民営家賃／民営家賃（木造）,サービス/一般サービス／民営家賃／民営家賃（非木造）,サービス/一般サービス／持家の帰属家賃,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（木造）,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（非木造）,サービス/一般サービス／他のサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金,
ウエイト,,,10000,4319,3908,678,629,49,49,2960,1317,429,75,1138,552,130,5681,3827,1162,4518,550,451,- ,- ,1854,- ,- ,1663,484,709,3126,1748,
品目数,,,585,444,382,75,72,3,3,357,140,65,3,149,3,9,141,140,43,98,24,1,- ,- ,1,- ,- ,72,46,110,288,49,
年・年度平均指数／平成27年平均,2015,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
年・年度平均指数／平成28年平均,2016,,99.8,99.2,98.8,103,103,102.9,102.9,100.3,101,100.1,87.6,100.4,88.6,100.3,100.3,100.6,100.3,100.3,100.9,99.7,99.7,99.7,99.8,99.7,99.8,100.9,99.8,101,98.7,96.6,
年・年度平均指数／平成29年平均,2017,,100,99.5,99.2,103.7,103.5,106.6,106.6,100.3,101.3,100.6,97.5,99.3,89.9,100.8,100.3,100.8,101,100.1,101.1,99.3,99.4,99.2,99.3,99.5,99.2,101,97.8,101.3,99.4,97.5,
年・年度平均指数／平成30年平均,2018,,100.9,101.1,100.5,107,106.7,110.5,110.5,101.1,102.1,101.6,109,99.2,94.1,101.8,100.8,101.4,101.9,100.5,101.9,99.4,99.5,99.3,99.4,99.7,99.2,101.5,97.4,101.9,101.5,99.5,
年・年度平均指数／令和元年平均,2019,,101.7,102.3,101.9,106.2,105.9,110.6,110.6,102.1,103.2,102.2,106.6,100.6,97.5,104.9,101.3,102,101.8,101.2,103.7,99.7,99.9,99.7,99.8,100.1,99.6,102.3,99.1,102.7,102.7,100.7,
年・年度平均指数／令和2年平均,2020,,101.8,103,102.4,108,107.8,110.6,110.6,103.4,103.8,104.4,101,102.6,94.1,106,100.9,101.4,99.6,101.3,106.1,99.9,100.3,99.8,99.9,100.4,99.6,101.5,100.9,105,102.9,98.2,
年・年度平均指数／平成29年度平均,2017,,100.3,100.2,99.5,105.8,105.6,107.7,107.7,100.5,101.5,100.8,99.6,99.4,91.1,101.1,100.4,100.9,101.2,100.2,101.2,99.2,99.4,99.2,99.3,99.5,99.1,101.1,98.1,101.4,100.2,98,
年・年度平均指数／平成30年度平均,2018,,101.1,101.3,100.9,105.5,105.1,110.6,110.6,101.2,102.2,101.6,109.1,99.3,96,102.4,100.9,101.6,102.1,100.6,102.2,99.4,99.6,99.4,99.6,99.9,99.3,101.7,97.6,102.1,101.6,100.3,
年・年度平均指数／令和元年度平均,2019,,101.8,102.5,102.2,106.1,105.8,110.9,110.9,102.6,103.5,102.9,107.7,101.1,96.8,105.3,101.3,102.1,101.1,101.4,104.6,99.8,100,99.7,99.8,100.1,99.6,102.5,99.5,103.3,102.8,100,
年・年度平均指数／令和2年度平均,2020,,101.7,102.7,102.2,107.9,107.7,109.8,109.8,103.4,103.8,104.6,99.8,102.9,92,106.1,100.9,101.4,99.7,101.3,106.1,99.9,100.2,99.9,100,100.4,99.7,101.5,101.2,105.1,102.4,97.6,
前年(度)比(％)／平成27年平均,2015,,0.7,0.9,0.5,4.1,5.2,-6.9,-7.1,1,1.9,1,-15.6,1.6,-2.8,1.3,0.6,1.1,1.2,0.5,2.2,-0.5,-0.1,-0.6,-0.4,0.1,-0.8,1.1,2.1,1.1,0.7,-0.2,
前年(度)比(％)／平成28年平均,2016,,-0.2,-0.8,-1.2,3,3,2.9,2.9,0.3,1,0.1,-12.4,0.4,-11.4,0.3,0.3,0.6,0.3,0.3,0.9,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,0.9,-0.2,1,-1.3,-3.4,
前年(度)比(％)／平成29年平均,2017,,0.1,0.3,0.4,0.7,0.5,3.6,3.6,0,0.4,0.5,11.3,-1.2,1.5,0.5,0,0.2,0.6,-0.1,0.2,-0.4,-0.3,-0.5,-0.4,-0.2,-0.6,0.2,-2,0.3,0.7,0.9,
前年(度)比(％)／平成30年平均,2018,,0.9,1.6,1.3,3.2,3.1,3.6,3.6,0.7,0.7,0.9,11.8,-0.1,4.6,0.9,0.4,0.6,0.9,0.3,0.8,0.1,0,0.1,0.1,0.2,0.1,0.5,-0.4,0.6,2.1,2,
前年(度)比(％)／令和元年平均,2019,,0.8,1.1,1.4,-0.7,-0.8,0.1,0.1,1,1.1,0.6,-2.1,1.4,3.7,3.1,0.5,0.6,-0.1,0.7,1.7,0.4,0.4,0.4,0.4,0.4,0.4,0.8,1.7,0.7,1.1,1.2,
前年(度)比(％)／令和2年平均,2020,,0.1,0.7,0.5,1.6,1.8,0,0,1.2,0.6,2.2,-5.3,2.1,-3.5,1,-0.4,-0.6,-2.2,0.1,2.4,0.2,0.4,0.1,0.1,0.3,0,-0.8,1.9,2.3,0.2,-2.5,
前年(度)比(％)／平成29年度平均,2017,,0.5,1.1,1,2.2,2.1,3.6,3.6,0.3,0.6,0.4,9.8,-0.7,4.6,0.7,0.1,0.3,0.7,-0.1,0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.4,0.1,-0.9,0.1,1.6,1.8,
前年(度)比(％)／平成30年度平均,2018,,0.8,1.1,1.4,-0.3,-0.5,2.7,2.7,0.7,0.7,0.8,9.5,0,5.5,1.3,0.6,0.7,0.9,0.5,0.9,0.2,0.2,0.2,0.3,0.4,0.2,0.6,-0.6,0.7,1.4,2.3,
前年(度)比(％)／令和元年度平均,2019,,0.8,1.2,1.3,0.6,0.7,0.3,0.3,1.4,1.3,1.2,-1.2,1.8,0.8,2.8,0.4,0.4,-1,0.7,2.3,0.3,0.5,0.3,0.2,0.2,0.2,0.8,2,1.2,1.1,-0.3,
前年(度)比(％)／令和2年度平均,2020,,-0.1,0.2,0,1.6,1.8,-1,-1,0.8,0.2,1.7,-7.3,1.7,-5,0.8,-0.4,-0.7,-1.5,-0.1,1.5,0.2,0.2,0.2,0.2,0.3,0.1,-1,1.7,1.8,-0.3,-2.4,
月別指数／令和2年5月,2020,5,102,103.3,102.8,107.9,107.8,109.3,109.3,103.4,104.1,105.4,94.5,102.4,96.3,106,101.1,101.6,99.7,101.5,106.1,99.9,100.3,99.8,100,100.5,99.6,102,100.9,105.5,103.2,98.9,
月別指数／令和2年6月,2020,6,101.9,103.1,102.7,107.1,106.8,110,110,103.4,104.2,104.8,97.2,102.4,96.2,106,100.9,101.4,99.5,101.3,106,99.9,100.3,99.8,100,100.5,99.7,101.5,100.8,105.1,103,98.7,
月別指数／令和2年7月,2020,7,102.1,103.1,102.5,108.6,108.4,111.4,111.4,103.1,104,102.6,97.8,102.8,95.6,105.8,101.3,101.9,99.8,101.7,106.1,99.9,100.3,99.8,100,100.5,99.6,102.6,101.8,103.6,103.2,98.7,
月別指数／令和2年8月,2020,8,102.1,103.7,102.2,113.7,113.9,111.1,111.1,103,103.7,101.9,99.5,102.7,94.8,106,100.9,101.4,99.9,101.1,106.1,99.9,100.2,99.8,99.9,100.4,99.6,101.2,101.5,103.3,104.1,98.6,
月別指数／令和2年9月,2020,9,101.9,103.9,102.5,113.3,113.5,110.5,110.5,103.6,103.8,105.8,100.2,102.9,93.1,106.2,100.4,100.7,99.3,100.7,106.1,99.9,100.2,99.9,100,100.4,99.7,100,101.3,106.1,103.8,97.6,
月別指数／令和2年10月,2020,10,101.9,103.6,102.6,111,111.2,109.5,109.5,104.1,103.9,107.1,99.2,103.5,91.3,106.2,100.5,100.8,99.4,100.8,106.2,100,100.2,99.9,100,100.4,99.7,100.2,101.8,106.9,103.1,97.2,
月別指数／令和2年11月,2020,11,101.4,102.5,102.3,105.5,105.2,109.2,109.2,104,103.5,107.5,97.8,103.7,89.4,106.2,100.5,100.8,99.3,100.8,106.3,100.1,100.3,100,100.1,100.4,99.8,100.1,101.9,107.3,101.5,96.7,
月別指数／令和2年12月,2020,12,101,101.4,101.6,102.9,102.3,110.6,110.6,103.3,103.2,105.6,99.4,102.9,87.9,106,100.7,101,99.3,101.1,106.2,100.1,100.3,100,100.1,100.4,99.9,100.8,101,105.8,100.4,96.2,
月別指数／令和3年1月,2021,1,101.4,101.5,101.1,106.4,106.2,108.7,108.7,102.9,103.6,102,101.2,102.5,87.1,106.2,101.3,101.9,99.9,101.7,106.2,100,100.2,99.9,100.1,100.5,99.8,102.5,100.4,103.2,101.3,96.3,
月別指数／令和3年2月,2021,2,101.5,101.8,101.6,105.8,105.5,109.1,109.1,103.5,103.7,102.8,104.1,103.4,87.2,106.2,101.2,101.8,99.9,101.6,106.1,99.9,100.2,99.9,100.1,100.5,99.7,102.2,101.6,104.2,101.3,96.3,
月別指数／令和3年3月,2021,3,101.6,102,102,104.2,103.8,108.8,108.8,103.8,103.7,104.8,108.3,103.2,88.4,106.5,101.4,102,100.3,101.6,106.3,99.9,100.1,99.9,99.9,100.3,99.7,102.4,101.4,105.3,101.3,97,
月別指数／令和3年4月,2021,4,101.4,102.3,102.4,103.5,103.2,107.2,107.2,104,103.7,106.3,110.7,103.2,90.1,106.7,100.8,101.2,100,101,106,99.9,100.1,99.8,99.9,100.3,99.7,100.7,100.9,106.3,101.6,97.3,
月別指数／令和3年5月,2021,5,101.7,102.9,102.9,104.6,104.3,108.8,108.8,104.1,103.7,106,111,103.4,92.9,106.7,100.8,101.1,100.3,100.9,106.1,99.9,100,99.9,100,100.3,99.8,100.4,101.3,106.2,102.3,98.4,
前月比(％)／令和2年5月,2020,5,0.1,0.1,0.2,-0.1,-0.1,-0.6,-0.6,0.2,0.2,-0.1,-4.5,0.5,0.1,0,0,0,0.3,0,0,0,0.1,0,0.2,0.3,0.1,-0.3,0.9,0.1,0,0.2,
前月比(％)／令和2年6月,2020,6,-0.2,-0.2,-0.1,-0.8,-0.9,0.7,0.7,0,0.1,-0.6,2.9,-0.1,-0.1,0,-0.2,-0.3,-0.2,-0.2,0,0,0,0,0,0,0,-0.5,-0.1,-0.3,-0.1,-0.2,
前月比(％)／令和2年7月,2020,7,0.2,0,-0.3,1.4,1.4,1.2,1.2,-0.2,-0.2,-2.1,0.6,0.4,-0.7,-0.2,0.4,0.5,0.2,0.4,0.1,0,0,0,0,0,0,1.1,1,-1.4,0.2,0,
前月比(％)／令和2年8月,2020,8,0,0.6,-0.2,4.7,5.1,-0.2,-0.2,-0.2,-0.2,-0.6,1.7,-0.1,-0.8,0.2,-0.4,-0.5,0.2,-0.5,0,0,-0.1,0,-0.1,-0.1,0,-1.3,-0.3,-0.3,0.9,-0.1,
