年度,Fiscal year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned,設置者保有 Owned／校舎 School buildings,設置者保有 Owned／講堂，屋内運動場 Auditoriums， gymnasiums ,設置者保有 Owned／寄宿舎 Dormitories,借用建物 Rented buildings
平成28,2016,総数,Total,,15075301,15012430,12906252,2066791,39387,62871
平成29,2017,総数,Total,,15070283,14984389,12886159,2071292,26938,85894
平成30,2018,総数,Total,,15249197,15169648,13041662,2096081,31905,79549
令和元,2019,総数,Total,,15219946,15162111,13050430,2079776,31905,57835
令和2,2020,総数,Total,,15266600,15207705,13089408,2086642,31655,58895
令和2,2020,幼稚園,Kindergartens,,133983,120916,120916,-,-,13067
令和2,2020,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,10044,9055,8391,664,-,989
令和2,2020,小学校,Elementary schools,,7437860,7427097,6449461,976128,1508,10763
令和2,2020,中学校,Junior high schools,,4245823,4243196,3597976,645220,-,2627
令和2,2020,義務教育学校,Compulsory education schools ,,130981,130981,112656,18325,-,-
令和2,2020,高等学校,Senior high schools,,2542022,2510573,2115254,382570,12749,31449
令和2,2020,特別支援学校 ,Special needs schools,1),645217,645217,579371,52434,13412,-
令和2,2020,専修学校,Specialized training schools,,55340,55340,46893,4461,3986,-
令和2,2020,高等専門学校,Colleges of technology,,65330,65330,58490,6840,-,-
,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-5  学校施設の面積 (2) 用途別学校建物面積 (平成28～令和2年度) a 公立 17-5  LAND AREA OF SCHOOL FACILITIES (2) SCHOOL BUILDING AREA BY USE  ( Fiscal Years 2016-2020 ) a PUBLIC,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,
注 1) 区立特別支援学校は除く。     ,,,,,,,,,,
Note: 1) Except those established by ward.,,,,,,,,,,
資料：都総務局総務部企画計理課，教育庁都立学校教育部高等学校教育課・特別支援教育課，地域教育支援部義務教育課 Source: Bureau of General Affairs， TMG; Office of Education， TMG 　   ,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,
