一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
356,練馬区向山１－１６,35.737926,139.639023,JGD2011,都道補助１３３号,B,2008-12-02,2008-12-03,4,2,3.5,1.2,60,55
357,足立区新田２－４,35.773075,139.740738,JGD2011,都道環状７号線（環七通り）,c,2008-05-23,2008-05-24,4,4,3.0 ,1.5,70,68
358,足立区大谷田４－１,35.777340,139.837265,JGD2011,都道環状７号線（環七通り）,c,2008-11-10,2008-11-11,4,4,4.0 ,1.5,74,71
362,足立区西新井本町２－３－１,35.777260,139.775710,JGD2011,都道王子金町江戸川線,c,2008-10-29,2008-10-30,4,2,1.0 ,1.5,67,64
363,足立区本木南町２,35.760323,139.781052,JGD2011,都道新荒川葛西堤防線,c,2008-09-03,2008-09-04,4,4,7.1,1.5,70,66
364,足立区綾瀬３－１２－１５,35.764210,139.828583,JGD2011,都道言問大谷田線,b,2008-11-26,2008-11-27,4,2,6.0 ,1.5,67,62
365,足立区綾瀬１－１１,35.756969,139.821121,JGD2011,都道,b,2008-11-10,2008-11-11,4,2,3.0 ,1.5,70,66
367,足立区谷中２－２３,35.776302,139.835541,JGD2011,都道王子金町江戸川線（環状７号線）,c,2008-11-05,2008-11-06,4,4,5.0 ,1.0 ,70,69
368,足立区中川４－３０,35.771381,139.847061,JGD2011,都道環状７号線,c,2008-11-05,2008-11-06,4,4,5.0 ,1.0 ,69,67
369,足立区加賀２－２０,35.792164,139.758179,JGD2011,都道足立川口線,c,2008-11-05,2008-11-06,4,4,6.0 ,1.0 ,71,68
370,足立区入谷７－１７,35.800655,139.760117,JGD2011,都道東京鳩ヶ谷線,c,2008-11-05,2008-11-06,4,6,6.0 ,1.0 ,72,69
371,足立区入谷９－１５,35.807961,139.756073,JGD2011,都道東京鳩ヶ谷線,c,2008-11-05,2008-11-06,4,2,5.0 ,1.0 ,66,62
373,足立区小台１－１２,35.756477,139.764496,JGD2011,都道新荒川堤防線,c,2008-11-05,2008-11-06,4,2,14.0 ,1.0 ,62,54
375,足立区谷中２－２３,35.776302,139.835541,JGD2011,都道王子金町江戸川線（環状７号線）,C,2008-11-05,2008-11-06,4,4,5.0 ,1.2,70,69
376,足立区中川４－３０,35.771381,139.847061,JGD2011,都道環状７号線,C,2008-11-05,2008-11-06,4,4,5.0 ,1.2,69,67
377,足立区加賀２－２０,35.792164,139.758179,JGD2011,都道足立川口線,C,2008-11-05,2008-11-06,4,4,6.1,1.2,71,68
378,足立区入谷７－１７,35.800655,139.760117,JGD2011,都道東京鳩ヶ谷線（２）,C,2008-11-05,2008-11-06,4,6,6.2,1.2,72,69
379,足立区入谷９－１５,35.807961,139.756073,JGD2011,都道東京鳩ヶ谷線（３）,C,2008-11-05,2008-11-06,4,2,4.7,1.2,66,62
381,足立区小台１－１０,35.757740,139.763123,JGD2011,都道新荒川堤防線,C,2008-11-05,2008-11-06,4,2,13.7,1.2,62,55
382,葛飾区水元３－２０,35.782383,139.865417,JGD2011,都道王子金町江戸川線（岩槻街道）,b,2008-09-04,2008-09-11,4,2,5.0 ,1.2,63,58
383,葛飾区西水元６－１６,35.788822,139.856949,JGD2011,都道王子金町江戸川線,b,2008-07-23,2008-07-30,4,2,1.5,1.2,66,62
384,葛飾区東金町８－２,35.779060,139.883957,JGD2011,都道松戸草加線,c,2008-07-23,2008-07-30,4,4,4.9,1.2,67,62
385,葛飾区柴又４－３０,35.752903,139.877029,JGD2011,都道王子金町江戸川線（柴又街道）,c,2008-09-04,2008-09-11,4,2,5.0 ,1.2,66,63
386,葛飾区亀有３－３８,35.763786,139.850296,JGD2011,都道環状７号線（環七通り）,c,2008-07-31,2008-08-07,4,4,4.3,1.2,69,66
387,葛飾区高砂１－２,35.741302,139.863144,JGD2011,都道環状７号線（環七通り）,c,2008-07-31,2008-08-07,4,5,4.1,2.3,71,69
390,葛飾区堀切６－１,35.752026,139.827789,JGD2011,都道言問大谷田線,c,2008-09-04,2008-09-11,4,4,10.0 ,1.6,69,66
391,葛飾区小菅３－６,35.755337,139.824203,JGD2011,都道千住小松川葛西沖線,c,2008-09-04,2008-09-11,4,2,0.3,1.2,68,62
392,葛飾区小菅２－１９,35.750191,139.825821,JGD2011,都道千住小松川葛西沖線（平和橋通り）,c,2008-08-19,2008-08-26,4,5,4.1,1.2,69,62
