規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成27,2015,年平均,100,-0.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,100.5,0.6,101.7,100.2,106.4,101.6,102.6,101.6,96.9,102.8,104,94.6,93.3,106.5,97.9,103.1,96.9
５人以上,平成29,2017,年平均,101.1,0.6,104.1,101.8,100.9,100.7,102.1,104.3,101.2,103.2,102.8,94.1,94,103.3,100.3,99.5,94.1
５人以上,平成30,2018,年平均,100.3,-0.8,105.1,97.6,109.2,102.5,98.5,113.4,100.2,101.7,103.3,92.7,96.4,98,97.5,109.4,92
５人以上,平成31・令和元,2019,年平均,99.7,-0.6,111.9,97.6,112.8,104.8,101.6,105.8,100.1,98.6,106.7,85.6,98.5,93,94.3,100.7,97.8
５人以上,令和２,2020,年平均,98.4,-1.3,107.9,95.6,109.5,104,85.3,105.3,100.9,97.8,101.6,77.9,103.8,94,98.2,97.7,95.8
５人以上,令和２,2020,1月,82.6,-0.6,86.9,74.4,85.2,84.9,75.7,85.2,98.7,81.3,84.3,82.1,98.4,72.9,85.2,76.9,85.2
５人以上,令和２,2020,2月,81.3,1,88.3,78.9,87.3,84.3,78.5,85.6,80.9,77.9,87.6,77.8,95.4,72.4,83.5,76.5,82
５人以上,令和２,2020,3月,88.2,-2.1,91.4,88.9,91.1,87.9,75.9,92.6,105.7,78.1,101.6,76.7,100,79.6,88.6,78.6,86.3
５人以上,令和２,2020,4月,84.2,-0.4,89.8,78.4,98,90,75.6,91.3,77,81.4,89.4,69.1,97.8,83.7,85.5,84,85.9
５人以上,令和２,2020,5月,82.3,-4.4,84.9,76.6,138.4,85.2,77.7,84.2,93.5,80,84,66.1,89.9,78.1,81.6,74,83.7
５人以上,令和２,2020,6月,148.9,-1.2,197.3,138.8,170.3,168.7,111.4,147.6,182.7,156.7,147.6,82.9,132.2,166.1,138.8,191.7,130.7
５人以上,令和２,2020,7月,108.5,-2.4,120.1,121.7,82.8,108.9,90.6,135.9,83.2,112.3,112.1,82.4,107.6,86.4,98.1,81.2,102
５人以上,令和２,2020,8月,80.8,-1.7,84.6,75.6,84.1,85.8,69.6,85.8,78.8,79.9,82,75.8,89.7,71.9,84.1,77.6,84.6
５人以上,令和２,2020,9月,82.4,-0.5,83,77,84.3,84.6,74.2,88.1,81.1,80.5,88.5,76.8,95.2,73.2,87.3,76.5,83.5
５人以上,令和２,2020,10月,81.7,-1.2,82.6,76,85.5,85.1,75,84.1,74.8,80.4,87.9,77,100.8,77.2,88,87.2,84.6
５人以上,令和２,2020,11月,85.2,-3.7,90.5,84.4,84,90.2,78,87.8,81.6,80.1,87.1,77.9,101.6,77.7,88.4,76.3,85.3
５人以上,令和２,2020,12月,175.1,0.7,196.9,177,223.8,193.7,142.1,196.3,173.6,186.1,166.7,90.3,137.5,189.4,170.3,193.6,156.7
５人以上,令和３,2021,1月,82.7,0.1,88.2,74.4,86.5,88.1,71.6,86.3,75.7,84.1,81.7,78.6,100.5,74.3,91.4,82.4,87
５人以上,令和３,2021,1月（前年同月比（％））,－,－,1.5,0,1.5,3.8,-5.4,1.3,-23.3,3.4,-3.1,-4.3,2.1,1.9,7.3,7.2,2.1
30人以上,平成27,2015,年平均,100,-1.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成28,2016,年平均,100.2,0.4,100.6,99.6,106.8,101.1,102.6,101.1,96.8,102.1,103.2,102.8,87.3,103.4,95.9,104.8,98
30人以上,平成29,2017,年平均,100.8,0.6,106.1,101.2,104,101.1,102,105.2,96.5,106.4,99.6,98.3,85.5,101.9,97,99.3,95.1
