規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成27,2015,年平均,100,0.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,95.1,-4.9,93.6,94.6,110.1,97,95.2,95.2,95.7,96.2,101.6,99.4,71.7,105,98.8,95.6,88.7
５人以上,平成29,2017,年平均,94.7,-0.4,111,94.1,88.4,87.8,94.4,96,93.8,100.8,106.9,101,79.9,119.4,90.8,89.2,83.2
５人以上,平成30,2018,年平均,90.6,-4.3,112.4,106,95.3,74.4,90.4,98.4,84.2,95.3,93.7,102.3,90,172.1,97.3,165.6,78.2
５人以上,平成31・令和元,2019,年平均,94.8,4.6,110.2,100.1,109.4,85.8,102.7,103,90.2,98.1,95,95.3,87.3,165.2,94.8,152.9,85.3
５人以上,令和２,2020,年平均,85.7,-9.6,97.3,83.1,109.6,83.9,92.1,91.7,95.2,86.5,85.4,61.2,60.7,127.7,88.8,116.9,78
５人以上,令和２,2020,1月,90.8,1.8,95.7,85.4,106.9,83.7,99,98.8,91.9,91.5,86.8,98.6,96.6,140,100,150.6,83.9
５人以上,令和２,2020,2月,93.3,-1,109.6,88.6,114.5,86.8,110.1,96.5,91.9,94.3,95.4,91.3,95.4,152.5,96.4,119,83.1
５人以上,令和２,2020,3月,93.3,-4.3,109.1,84.6,132.7,92.1,110.6,101.2,100,97.2,96,69.6,63.2,132.5,98.2,144.3,80.6
５人以上,令和２,2020,4月,81.7,-18.3,99.5,75.6,94.3,82.1,95.5,84.7,99.5,82.3,79.5,42,36.8,105,89.3,105.1,71
５人以上,令和２,2020,5月,66.7,-28.5,78.1,62.6,83,68.9,68.2,68.2,84.3,68.8,72.2,26.1,31,85,75,89.9,58.9
５人以上,令和２,2020,6月,76.7,-17.8,87.7,74,96.2,79.5,75.3,80,90.8,75.9,76.2,43.5,44.8,122.5,78.6,97.5,71.8
５人以上,令和２,2020,7月,86.7,-8.7,97.9,75.6,103.1,85.3,92.4,94.1,104.3,84.4,82.1,56.5,48.3,140,82.1,126.6,80.6
５人以上,令和２,2020,8月,81.7,-10,93,82.1,105,78.4,85.9,84.7,95.1,83.7,80.1,58,46,122.5,85.7,92.4,76.6
５人以上,令和２,2020,9月,84.2,-10.6,94.7,83.7,117.6,83.2,86.4,92.9,89.2,85.8,82.1,59.4,51.7,137.5,85.7,108.9,79
５人以上,令和２,2020,10月,91.7,-5.9,102.7,95.9,123.9,89.5,93.9,98.8,101.6,92.2,87.4,68.1,75.9,135,91.1,111.4,83.1
５人以上,令和２,2020,11月,90.8,-6.9,100,94.3,116.4,87.9,92.9,98.8,98.4,93.6,91.4,62.3,72.4,135,92.9,116.5,83.9
５人以上,令和２,2020,12月,90.8,-4.4,100,95.1,121.4,88.9,95.5,101.2,95.1,87.9,95.4,59.4,66.7,125,91.1,140.5,83.1
５人以上,令和３,2021,1月,85.8,-5.5,83.4,82.1,92.5,80.5,84.3,98.8,86.5,92.2,99.3,37.7,77,120,96.4,136.7,91.1
