"施設名","年度","宿泊利用人員 大人[人]","宿泊利用人員 小人[人]","宿泊利用人員 合計[人]","1部屋当たり定員[人]","人員利用率[%]","1日当たり部屋数","部屋利用率[%]"
"大平台みなと荘","2016","20981","1200","22181","5","54.4","25","96.3"
"大平台みなと荘","2017","20246","1207","21453","5","48.1","25","87.3"
"大平台みなと荘","2018","19220","1285","20505","5","45.7","25","83.7"
"大平台みなと荘","2019","15594","1170","16764","5","42.4","25","79.5"
"大平台みなと荘","2020","10883","899","11782","5","32.8","25","63.6"
"ホテル暖香園","2016","2951","225","3176","5","46.5","3～9","86.0"
"ホテル暖香園","2017","2815","201","3016","5","45.9","3～7","85.6"
"ホテル暖香園","2018","545","14","559","5","52.0","3～7","96.7"
"熱川プリンスホテル","2018","2309","190","2499","5","48.9","3～6","93.5"
"熱川プリンスホテル","2019","2661","237","2898","5","47.5","3～6","90.4"
"熱川プリンスホテル","2020","2020","175","2195","5","36.3","3～6","70.9"

"令和3年度港区行政資料集　施設利用状況一覧 通年保養施設","Ver202103",,,,,,,
