実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
jissu,nen,実数_平成22年平均,2010,,209,2.39,0.42,71.9,193645,187698,18198,6742,11457,5313,164186,158005,5947,160351,267586,70582,20840,21524,9433,8210,16923,23690,1928,35813,58644
jissu,nen,実数_平成23年平均,2011,,220,2.36,0.38,72.3,194222,189043,15608,7257,8350,6550,166886,161524,5179,162790,263748,72403,18564,20027,10080,8522,17589,21344,1793,33395,60033
jissu,nen,実数_平成24年平均,2012,,223,2.4,0.4,72.4,189350,184094,18541,8026,10515,6197,159357,154753,5256,159378,272919,73837,22975,22449,9678,8945,18346,23660,3284,31061,58685
jissu,nen,実数_平成25年平均,2013,,238,2.42,0.42,73.2,192310,184314,18617,5420,13198,6886,158810,155120,7996,158608,281130,73278,25174,23374,10359,8865,18574,24016,1158,32610,63723
jissu,sihan,実数_平成25年1～3月,2013,1～3,235,2.34,0.36,73.1,132122,127504,10723,3139,7584,5818,110963,108400,4618,108655,268251,68436,15916,29432,9020,8260,17992,25570,784,32239,60603
jissu,sihan,実数_平成25年4～6月,2013,4～6,252,2.4,0.4,73,252687,233814,10130,3949,6182,7170,216513,214673,18874,203654,277102,73597,29476,22046,9463,9546,19494,21829,2195,32573,56882
jissu,sihan,実数_平成25年7～9月,2013,7～9,232,2.45,0.46,73.5,136389,131804,20689,6267,14422,7140,103974,101552,4585,104226,296464,73472,26098,20594,12323,8502,18487,28156,760,34042,74028
jissu,sihan,実数_平成25年10～12月,2013,10～12,230,2.49,0.47,73.4,248040,244133,32926,8323,24603,7416,203791,195854,3907,217897,282702,77606,29207,21423,10629,9151,18322,20507,892,31584,63380
jissu,sihan,実数_平成26年1～3月,2014,1～3,248,2.42,0.45,72.4,125721,119794,19479,4560,14920,7369,92946,87424,5927,104434,277283,69384,21356,30429,10978,8052,17362,27421,682,30455,61163
jissu,tuki,実数_平成25年5月,2013,5,251,2.38,0.39,72.8,31958,25367,8235,3281,4955,5426,11705,10041,6592,-1544,279031,74546,37562,22600,10996,9583,18812,22331,196,32773,49631
