年月,西暦（年）,月,消費者物価指数2015年=100(平成27年=100)/全国,消費者物価指数2015年=100(平成27年=100)/東京都区部,戦前基準指数(昭和09～11年=1)/企業物価指数,注1)消費水準指数全国2015年=100(平成27年=100)/二人以上の世帯,東京都生計分析調査（勤労者世帯）/実収入（円）,東京都生計分析調査（勤労者世帯）/消費支出（円）,東京都生計分析調査（勤労者世帯）/注3)平均消費性向（％）,東京都生計分析調査（勤労者世帯）/注4)公共的料金負担率（％）,注2)実質賃金指数東京都/調査産業計
平成8年平均,1996,,97.7,101.4,688,110.9,629627,379877,72.6,28.5,-
平成9年平均,1997,,99.5,102.7,698.4,111.2,655940,386106,71.7,28.9,- 
平成10年平均,1998,,100.1,103.5,687.5,108.7,656646,377118,69.2,27.4,- 
平成11年平均,1999,,99.8,103.1,664.3,107.9,642848,366762,68.5,28.2,- 
平成12年平均,2000,,99.1,102.1,664.2,107.2,643946,372835,69.7,28.9,- 
平成13年平均,2001,,98.4,101,658,106.1,628068,364721,69.8,29.5,- 
平成14年平均,2002,,97.5,100,645.7,106.5,633711,361608,68.2,29.4,- 
平成15年平均,2003,,97.2,99.6,637.3,106,583065,355982,73.2,29.8,- 
平成16年平均,2004,,97.2,99.5,644.7,106.4,596372,362122,72.7,30.1,- 
平成17年平均,2005,,96.9,98.9,665,106.4,578340,352303,72.8,29.5,- 
平成18年平均,2006,,97.2,99,692.7,104.5,585818,350664,72.4,29.5,102.6
平成19年平均,2007,,97.2,99.1,711.9,105.6,574514,346256,73,29.9,103.7
平成20年平均,2008,,98.6,100.1,736.6,103.5,581293,343972,72.4,29.2,103.8
平成21年平均,2009,,97.2,98.9,664.4,103.8,598723,359096,74.1,29.1,99.2
平成22年平均,2010,,96.5,98,668.5,104.3,615748,363141,73.2,28.4,100
平成23年平均,2011,,96.3,97.5,680.9,102.4,"565,071","337,458",73.8,30.2,99.8
平成24年平均,2012,,96.2,97,674.4,103.3,"575,440","348,158",75.2,29.6,99.4
平成25年平均,2013,,96.6,97.1,711.1,104.8,"578,628","363,721",78.2,30,99.7
平成26年平均,2014,,99.2,99.3,735.4,102.1,"585,636","353,261",75.8,28.7,97.1
平成27年平均,2015,,100,100,710,100,"574,733","354,241",77,29.6,95.7
平成26年５月,2014,5,99.9,100,734.6,92.3,"498,218","358,028",93,29.8,79.2
平成26年6月,2014,6,99.8,99.8,735.2,96.1,"856,786","328,938",50.7,26.6,158.2
平成26年7月,2014,7,99.9,99.7,736.4,95.6,"612,077","346,076",72.5,26.2,105.3
平成26年8月,2014,8,100,100,737.8,96,"506,907","338,381",82.6,25.3,77
平成26年9月,2014,9,100.3,100.2,743.6,96.8,"466,190","372,079",100,28.5,80.3
平成26年10月,2014,10,100,100.1,737.1,98.3,"519,617","338,522",81.8,31,77
平成26年11月,2014,11,99.6,99.7,746.3,99.5,"475,452","326,069",84.9,28.2,79.6
平成26年12月,2014,12,99.7,99.8,742.5,113.2,"979,250","407,852",50.8,26.5,182
平成27年１月,2015,1,99.6,99.6,723.1,99.3,"502,885","380,771",94.5,29.9,77.3
平成27年2月,2015,2,99.4,99.5,713.4,101,"509,393","342,866",82.2,31,76.3
平成27年3月,2015,3,99.7,99.8,718.4,108.7,"500,360","370,134",92.3,30.8,85.8
平成27年4月,2015,4,100.2,100.4,715.3,105.8,"521,125","423,571",100.3,38.8,80.6
平成27年5月,2015,5,100.4,100.4,718.4,97.1,"482,508","375,467",99.7,28.6,82.4
平成27年6月,2015,6,100.2,100.2,724,94.4,"862,848","324,527",49.6,26.6,148.8
平成27年7月,2015,7,100.1,100,717.8,95.7,"590,877","330,863",70.5,25.5,108.3
平成27年8月,2015,8,100.2,100.1,711.3,99.3,"497,942","335,029",82.6,25.6,77.5
平成27年9月,2015,9,100.3,100.2,699.6,96.6,"450,322","324,185",89.4,32.4,78.1
平成27年10月,2015,10,100.2,100.2,694,96.4,"518,855","336,083",78.8,28.4,79.6
平成27年11月,2015,11,99.9,99.8,695.2,96.7,"470,092","339,540",91.4,28.9,81.7
平成27年12月,2015,12,99.8,99.9,688.9,109,"989,585","367,859",45.5,26.2,172.6
平成28年１月,2016,1,99.5,99.4,673.7,96.6,"478,334","358,222",93,28.5,80.2
平成28年2月,2016,2,99.6,99.7,663.9,99.1,"519,169","345,302",83.3,35.6,76.6
平成28年3月,2016,3,99.7,99.9,661.2,103.3,"519,410","375,300",91.2,32.4,85.5
平成28年4月,2016,4,99.9,100,656.7,105.6,"557,320","406,673",90.1,36.7,80.5
平成28年5月,2016,5,100,100,656.3,96.9,"510,231","353,854",91,29.5,82.7
平成28年6月,2016,6,99.9,99.8,652.5,92.7,"869,728","321,578",48.3,25.4,151.5
平成28年7月,2016,7,99.6,99.5,651.8,95.6,"668,423","346,604",64.8,26.3,107.4
平成28年8月,2016,8,99.7,99.6,646.4,95.1,"546,189","345,687",78.6,25.5,77.6
平成28年9月,2016,9,99.8,99.7,648.2,94.9,"503,975","341,432",83.4,33.8,78.4
平成28年10月,2016,10,100.4,100.3,651.6,96.3,- ,- ,- ,- ,- 
,,,,,,,,,,,
東京の物価／平成28年11月,,,,,,,,,,,
参考表１　主要指標,,,,,,,,,,,
 2015年=100(平成27年=100）,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員、世帯主の年齢階級別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、これを消費者物価指数で除して実質化し、さらに平成27年平均を基準として指数化したもの。,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100  ,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,
