id,q1,q2,q3,q4_1,q4_2,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q6_ア,q6_イ,q6_ウ,q6_エ,q6_オ,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q8_1_1,q8_1_2,q8_1_3,q8_1_4,q8_1_5,q8_1_6,q8_1_7,q8_2_1,q8_2_2,q8_2_3,q8_2_4,q8_2_5,q8_2_6,q8_2_7,q8_3_1,q8_3_2,q8_3_3,q8_3_4,q8_3_5,q8_3_6,q8_3_7,q9_1,q9_2,q9_3,q9_4,q9_5,q9_6,q9_7,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q12_1_1,q12_1_2,q12_1_3,q12_2_1,q12_2_2,q12_2_3,q12_3_1,q12_3_2,q12_3_3,q13_ア,q13_イ,q13_ウ,q13_エ,q13_オ,q13_カ,q13_キ,q13_ク,q13_ケ,q13_コ,q13_サ,q13_シ,q13_ス,q14_1,q14_2,q15_1,q15_2a,q15_2b,q15_2c,q15_2d,q15_2e,q15_2f,q15_3_1,q15_3_2,q15_3_3,q15_3_4,q15_3_5,q16_1,q16_2,q16_3,q17_a,q17_b,q17_c,q17_d,q17_e,q19_a,q19_b,q19_c,q19_d,q19_e,q19_f,q19_g,q19_h,q19_i,q19_j,q19_k,q20,q21,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q22_11,q22_12,q22_13
22,4,7,1,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,4,4,4,1,4,4,,,,1,4,4,1,4,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,3,3,1,5,5,5,5,5,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
23,4,3,6,,,2,2,,2,2,,,,,,,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,1,3,,,,,,1,4,4,1,4,4,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
24,3,7,5,5,,4,,,2,,,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,3,2,2,3,2,2,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,1,0,0,0,1,0,0,0,0,1,1,1,3,1,,4,2,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
25,2,7,6,2,2,,,4,,,0,5,6,5,5,6,,,,,,,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,4,4,4,4,4,4,2,4,4,2,4,4,2,4,4,0,0,1,0,0,1,0,0,0,0,0,0,1,3,3,2,,,,,,,,,,,,2,2,1,1,5,2,,5,0,0,0,0,0,0,0,0,0,1,0,2,,1,1,0,0,1,0,0,0,0,1,0,0,0
26,2,7,4,2,2,1,,,1,,,5,6,2,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,2,2,4,2,2,4,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,1,0,0,0,0,1,3,1,1,5,5,2,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,1,0,0,0
27,1,7,4,4,4,40,15,25,40,15,25,5,3,6,6,6,,,,,,,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,5,2,2,5,2,2,5,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,5,4,1,2,1,1,1,1,0,1,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
28,2,3,3,,,,1,1,,1,1,,,,,,,,,5,,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,,,,1,,,1,4,4,1,4,4,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,2,5,,,,,,,,,,,,,1,3,1,1,5,1,4,1,1,0,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
29,2,7,4,2,2,4,0,4,4,0,4,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,2,2,4,2,2,4,2,2,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,2,2,2,4,1,0,0,0,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
30,2,7,6,4,4,3,1,2,3,1,2,5,6,6,6,6,,,,,,,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,4,4,4,4,4,4,2,4,4,2,4,4,2,4,4,0,0,0,0,1,1,1,0,1,0,0,0,0,4,1,2,,,,,,,,,,,,1,1,1,1,2,5,5,1,0,0,1,1,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,1,0,0,0,0
31,1,7,3,,,3,2,1,1,1,0,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,1,,,,,,,,1,,,1,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,2,,,,,,,,,,,,2,2,1,5,5,2,2,1,1,0,0,1,0,0,0,0,0,0,0,2,,1,1,0,0,0,0,0,0,0,0,0,0,0
32,2,7,6,1,1,3,,,3,,,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,3,,,,,,5,4,4,5,4,4,5,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,5,6,1,,,,,,,,,,,,,,1,1,1,,2,1,0,0,1,0,0,0,0,1,1,0,0,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0
33,1,7,4,,,38,2,36,36,2,34,4,3,3,6,6,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,3,3,4,3,5,4,4,5,4,4,5,4,4,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,1,1,2,4,5,5,5,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
34,,7,6,3,3,7,4,3,5,4,1,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,3,,,,,,2,2,4,2,2,3,2,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,,,,,,1,1,1,1,1,5,1,,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0
35,3,7,2,4,4,1,1,,1,1,,5,4,4,5,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,,,,,,,4,4,4,1,4,4,2,4,4,2,4,4,2,4,4,0,1,1,0,0,0,1,0,0,0,0,0,0,3,3,1,0,1,1,1,0,0,1,0,0,0,0,3,1,1,1,1,5,5,5,0,1,0,1,0,0,0,0,0,0,0,2,,0,0,0,1,0,0,1,1,0,0,1,0,0
36,3,7,5,4,4,9,1,8,7,1,6,5,6,6,5,6,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,5,2,4,5,2,4,5,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,2,,,,,,,,,,,,1,1,1,1,4,5,2,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,1,1,1,0,1,1,0,0
37,3,7,4,3,3,2,,1,2,,1,5,6,6,6,6,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,2,,,,,,,,,,,,2,2,1,2,5,5,4,1,0,0,0,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
38,4,7,3,1,1,2,,,2,,,5,2,6,1,6,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,4,3,4,3,4,4,5,4,4,5,4,4,5,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,,,,,,,,,,,,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
39,2,7,5,3,3,4,2,2,3,3,0,5,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,5,5,2,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
40,3,7,4,2,2,1,1,,1,1,,5,6,2,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,4,4,,4,4,4,5,2,4,5,2,4,5,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,4,1,4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41,3,7,2,2,2,3,3,,5,5,,4,6,6,6,6,,,,,,,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
42,2,7,6,2,2,2,2,,2,2,,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,3,,,,,,1,4,4,1,4,4,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,3,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,1,1,1,0,0,0,0
43,2,8,4,3,3,9,4,5,8,3,5,5,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,4,4,4,3,4,4,5,4,4,5,4,4,5,4,4,1,1,1,0,0,1,1,0,1,0,0,0,0,2,2,2,,,,,,,,,,,,1,1,1,1,2,1,1,1,0,0,0,1,0,1,1,0,0,0,0,2,,0,0,0,1,0,0,0,1,0,0,0,0,0
44,2,7,3,3,3,8,5,3,5,4,1,4,2,6,6,6,,,,,,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,2,2,2,1,2,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,2,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
45,3,7,5,3,3,2,2,,1,1,,5,6,6,6,6,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,2,,,,,,,,,,,,2,1,1,1,2,1,4,1,0,0,1,1,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
46,4,7,6,2,2,0,,,0,,,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,3,3,4,4,4,5,4,2,5,4,2,5,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,2,1,2,1,2,3,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
47,1,1,1,5,,,,,12,,10,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,1,1,1,3,3,3,,,,3,2,4,3,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,1,0,0,,,,,,3,3,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,1,0,0,1,1,0,1,0,0,0
48,3,7,5,2,2,3,2,1,4,3,1,3,6,6,6,6,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,1,0,0,0,0,1,0,0,1,0,0,0,1,4,1,2,,,,,,,,,,,,3,1,1,1,5,2,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
49,1,7,4,4,4,4,,,2,,,5,4,6,6,6,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,,,,,,,4,4,1,1,4,4,3,4,4,2,4,4,3,4,4,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,0,1,2,1,2,4,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
50,3,7,6,1,1,1,,,1,,,5,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,2,2,2,2,,,1,2,1,1,1,2,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,5,5,5,5,5,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
51,1,7,2,4,4,0,0,0,9,3,6,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,1,3,3,1,4,4,,,,5,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,1,0,0,0,0,,1,1,,,,,,1,0,0,1,0,0,0,0,0,0,0,2,,0,0,0,1,0,0,1,1,0,0,0,0,0
52,1,1,4,4,4,20,2,18,20,2,18,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,1,3,3,1,3,1,5,4,4,5,4,4,5,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,4,3,2,,,,,,,,,,,,2,2,2,5,5,5,5,5,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,2,7,3,5,4,8,8,0,12,12,0,2,6,6,6,6,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,1,4,4,4,5,4,4,5,4,4,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,,,,,,,,,,,,1,1,1,1,2,5,3,1,0,0,0,0,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
