5-(5)　　利島港,,,,,
④　海上出入貨物,,,,,単位： トン
品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"24,700","3,278","21,422"
【一般】,,,"24,690","3,273","21,417"
(1)　農水産品,,,"1,076",393,683
　　　　麦,,11,‐,‐,‐
　　　　米,,21,26,‐,26
　　　　とうもろこし,,22,‐,‐,‐
　　　　豆類,,23,10,‐,10
　　　　その他雑穀,,24,‐,‐,‐
　　　　野菜・果物,,31,454,98,356
　　　　綿花,,41,‐,‐,‐
　　　　その他農産品,,51,‐,,‐
　　　　羊毛,,61,‐,‐,‐
　　　　その他畜産品,,71,115,,115
         水産品,,81,471,295,176
(2)　林産品,,,191,‐,191
　　　　原木,,91,‐,‐,‐
　　　　製材,,92,181,‐,181
　　　　樹脂類,,101,‐,‐,‐
　　　　木材チップ,,111,10,‐,10
　　　　その他林産品,,112,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐
(3)　鉱産品,,,"13,331",‐,"13,331"
　　　　石炭,,131,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐
　　　　金属鉱,,151,‐,‐,‐
　　　　砂利・砂,,161,"12,031",‐,"12,031"
　　　　石材,,162,"1,300",‐,"1,300"
　　　　原油,,171,‐,‐,‐
　　　　りん鉱石,,181,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐
　　　　原塩,,201,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐
(4)  金属機械工業品,,,"2,722","1,056","1,666"
　　　　鉄鋼,,221,‐,‐,‐
　　　　鋼材,,222,‐,‐,‐
　　　　非鉄金属,,231,5,‐,5
　　　　金属製品,,241,490,7,483
　　　　鉄道車両,,251,‐,‐,‐
　　　　完成自動車,,252,690,394,296
　　　　その他輸送用車両,,253,45,21,24
　　　　二輪自動車,,254,9,2,7
　　　　自動車部品,,255,35,‐,35
　　　　その他輸送機械,,256,86,59,27
　　　　産業機械,,261,"1,248",541,707
　　　　電気機械,,262,82,28,54
　　　　測量・光学・医療用機械,,263,‐,‐,‐
　　　　事務用機器,,264,‐,‐,‐
　　　　その他機械,,265,32,4,28
(5)　化学工業品,,,"2,720",82,"2,638"
　　　　陶磁器,,271,‐,‐,‐
　　　　セメント,,281,334,‐,334
　　　　ガラス類,,291,143,‐,143
　　　　窯業品,,301,943,‐,943
　　　　重油,,311,853,‐,853
　　　　揮発油,,320,73,‐,73
　　　　その他の石油,,321,148,‐,148
　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　LPG（液化石油ガス）,,323,48,‐,48
　　　　石油製品,,324,‐,‐,‐
　　　　コークス,,331,‐,‐,‐
　　　　石炭製品,,341,‐,‐,‐
　　　　化学薬品,,351,24,‐,24
　　　　化学肥料,,361,24,‐,24
"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,130,82,48
(6)　軽工業品,,,711,‐,711
　　　　紙、パルプ,,381,‐,‐,‐
　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　その他繊維工業品,,401,7,‐,7
　　　　砂糖,,411,‐,‐,‐
　　　　製造食品,,421,331,‐,331
　　　　飲料,,422,221,‐,221
　　　　水,,423,81,‐,81
　　　　たばこ,,424,12,‐,12
　　　　その他食料工業品,,425,59,‐,59
(7)　雑工業品,,,291,‐,291
　　　　がん具,,431,‐,‐,‐
　　  　衣服・身廻品・はきもの,,441,7,‐,7
"　       文房具・運動娯楽用品・
         楽器",,442,33,‐,33
　　　　家具装備品,,443,75,‐,75
　　　　その他日用品,,444,6,‐,6
　　　　ゴム製品,,451,10,‐,10
　　　　木製品,,461,139,‐,139
　　　　その他製造工業品,,471,21,‐,21
(8)　特殊品,,,"3,648","1,742","1,906"
　　　　金属くず,,481,121,121,‐
　　　　再利用資材,,491,‐,,‐
　　　　動植物性製造飼肥料,,501,5,‐,5
　　　　廃棄物,,511,407,407,‐
　　　　廃土砂,,512,‐,,‐
　　　　輸送用容器,,521,873,539,334
　　　　取合せ品,,531,"2,242",675,"1,567"
(9)　分類不能のもの,,541,‐,,‐
【自航】,,,10,5,5
