地域１,地域２,地域３,平成２４年の沈下面積１～２ｃｍ（ｋｍ２／年）,平成２４年の沈下面積２ｃｍ以上（ｋｍ２／年）,平成２５年の沈下面積１～２ｃｍ（ｋｍ２／年）,平成２５年の沈下面積２ｃｍ以上（ｋｍ２／年）,平成２６年の沈下面積１～２ｃｍ（ｋｍ２／年）,平成２６年の沈下面積２ｃｍ以上（ｋｍ２／年）,平成２７年の沈下面積１～２ｃｍ（ｋｍ２／年）,平成２７年の沈下面積２ｃｍ以上（ｋｍ２／年）,平成２８年の沈下面積１～２ｃｍ（ｋｍ２／年）,平成２８年の沈下面積２ｃｍ以上（ｋｍ２／年）
区部,低地,江東、墨田、江戸川区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区部,低地,足立、葛飾区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区部,低地,北、板橋の低地と荒川区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区部,低地,台東、千代田、港、品川、大田の低地と中央区,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
区部,台地,北、板橋の台地と練馬、豊島、中野、杉並区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区部,台地,台東、千代田、港、品川、大田の台地と文京、新宿、渋谷、目黒、世田谷区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区部計,,－,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
区部計,,－,0.0,,0.0,,0.0,,0.1,,0.0,
多摩地域,,瑞穂町、青梅市、あきる野市、八王子市、多摩市および町田市を結ぶ線の東側の地域,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
多摩地域,,,0.0,,0.0,,0.0,,0.4,,0.0,
合計,,－,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
合計,,－,0.0,,0.0,,0.0,,0.5,,0.0,
