シーン設定１,シーン設定２,シーン設定３,冬・昼間・深夜（棟）,冬・昼間（人）,冬・深夜（人）
建物被害,建物全壊計,,1282,,
建物被害,原因別,揺れ,0,,
建物被害,原因別,液状化,0,,
建物被害,原因別,急傾斜地崩壊等,122,,
建物被害,原因別,火災,0,,
建物被害,原因別,津波,1160,,
人的被害,死者計,,,1332,1774
人的被害,原因別,揺れ,,0,0
人的被害,原因別,急傾斜地崩壊等,,9,10
人的被害,原因別,火災,,0,0
人的被害,原因別,津波,,1323,1764
人的被害,原因別,屋外転倒・落下物,,0,0
人的被害,原因別,（屋内収容物）,,0,0
人的被害,負傷者計,,,63,90
人的被害,負傷者計,（うち重傷者）,,19,29
人的被害,原因別,揺れ,,11,14
人的被害,原因別,急傾斜地崩壊等,,9,11
人的被害,原因別,火災,,0,0
人的被害,原因別,津波,,43,65
人的被害,原因別,屋外転倒・落下物,,0,0
人的被害,原因別,（屋内収容物）,,0,0
その他,自力脱出困難者,,,0,0
その他,津波要救助者,,,41,52
