区分１,区分２,総数,１,２,３,４,５,６,７,８,９,１０,１１,１２
出生,三宅村,6,0,0,0,0,0,1,0,2,0,0,0,3
出生,御蔵島村,2,0,0,0,0,0,0,1,0,0,0,0,1
出生,計,8,0,0,0,0,0,1,1,2,0,0,0,4
婚姻,三宅村,10,0,1,1,0,1,1,2,1,1,2,0,0
婚姻,御蔵島村,1,0,1,0,0,0,0,0,0,0,0,0,0
婚姻,計,11,0,2,1,0,1,1,2,1,1,2,0,0
離婚,三宅村,5,0,1,1,0,0,1,1,0,0,0,1,0
離婚,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
離婚,計,5,0,1,1,0,0,1,1,0,0,0,1,0
死亡,三宅村,6,0,1,0,0,0,1,0,1,0,1,0,2
死亡,御蔵島村,2,0,0,0,1,0,0,0,0,0,0,0,1
死亡,計,8,0,1,0,1,0,1,0,1,0,1,0,3
死産,三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0
死産,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
死産,計,0,0,0,0,0,0,0,0,0,0,0,0,0
合計,,32,0,4,2,1,1,4,4,4,1,3,1,7
