日本標準産業分類,日本標準産業分類,日本標準産業分類,日本標準産業分類,日本標準産業分類,,,
大分類,中分類,中分類,小分類・細分類,,回答割合（％）,本報告書での分類,本報告書で特に別集計した分類（特定10業種）
Ｇ 情報通信業,39,情報サービス業,391,ソフトウェア業,12.2,情報・コンテンツ業,ソフトウェア業
Ｇ 情報通信業,39,情報サービス業,3921,情報処理サービス業,2,情報・コンテンツ業,
Ｇ 情報通信業,39,情報サービス業,3922,情報提供サービス業,0.9,情報・コンテンツ業,
Ｇ 情報通信業,40,インターネット附随サービス業,401,インターネット附随サービス業,2.6,情報・コンテンツ業,インターネット附随サービス業
Ｇ 情報通信業,41,映像・音声・文字情報制作業,411,映像情報制作・配給業,2.9,情報・コンテンツ業,映像情報制作・配給業
Ｇ 情報通信業,41,映像・音声・文字情報制作業,412,音声情報制作業,0.6,情報・コンテンツ業,
Ｇ 情報通信業,41,映像・音声・文字情報制作業,414,出版業,2.3,情報・コンテンツ業,出版業
Ｇ 情報通信業,41,映像・音声・文字情報制作業,415,広告制作業,2,情報・コンテンツ業,
Ｇ 情報通信業,41,映像・音声・文字情報制作業,4161,ニュース供給業,0,情報・コンテンツ業,
Ｇ 情報通信業,その他上記に含まれない情報・コンテンツ業,,,,1.6,情報・コンテンツ業,
Ｌ 学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,7211,法律事務所,1.7,専門サービス業,
Ｌ 学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,7212,特許事務所,0.7,専門サービス業,
Ｌ 学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,722,公証人役場，司法書士事務所，土地家屋調査士事務所,1.8,専門サービス業,
Ｌ 学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,723,行政書士事務所,0.7,専門サービス業,
Ｌ 学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,7241,公認会計士事務所,0.2,専門サービス業,
Ｌ 学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,7242,税理士事務所,9.3,専門サービス業,税理士事務所
Ｌ 学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,725,社会保険労務士事務所,1.7,専門サービス業,
Ｌ 学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,726,デザイン業,4.4,専門サービス業,デザイン業
Ｌ 学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,7281,経営コンサルタント業,7.6,専門サービス業,経営コンサルタント業
Ｌ 学術研究，専門・技術サービス業,73,広告業,731,広告業,2.2,専門サービス業,
Ｌ 学術研究，専門・技術サービス業,その他上記に含まれない専門サービス業,,,,4.4,専門サービス業,
Ｌ 学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,7421,建築設計業,7.7,技術サービス業,建築設計業
Ｌ 学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,7422,測量業,0.9,技術サービス業,
Ｌ 学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,7429,その他の土木建築サービス業,1.3,技術サービス業,
Ｌ 学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,743,機械設計業,1.1,技術サービス業,
Ｌ 学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,744,商品・非破壊検査業,0.2,技術サービス業,
Ｌ 学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,745,計量証明業,0.2,技術サービス業,
Ｌ 学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,746,写真業,1.7,技術サービス業,
Ｌ 学術研究，専門・技術サービス業,その他上記に含まれない技術サービス業,,,,1.4,技術サービス業,
Ｋ 不動産業，物品賃貸業,70,物品賃貸業,701,各種物品賃貸業,0.5,事業サービス業,
Ｋ 不動産業，物品賃貸業,70,物品賃貸業,702,産業用機械器具賃貸業,0.5,事業サービス業,
Ｋ 不動産業，物品賃貸業,70,物品賃貸業,703,事務用機械器具賃貸業,0.1,事業サービス業,
Ｋ 不動産業，物品賃貸業,70,物品賃貸業,704,自動車賃貸業,0.3,事業サービス業,
Ｋ 不動産業，物品賃貸業,その他上記に含まれない物品賃貸業,,,,0.3,事業サービス業,
Ｒ サービス業（他に分類されないもの）,88,廃棄物処理業,881,一般廃棄物処理業,0.7,事業サービス業,
Ｒ サービス業（他に分類されないもの）,88,廃棄物処理業,882,産業廃棄物処理業,0.8,事業サービス業,
Ｒ サービス業（他に分類されないもの）,89,自動車整備業,891,自動車整備業,2.3,事業サービス業,自動車整備業
Ｒ サービス業（他に分類されないもの）,90,機械等修理業（別掲を除く）,901,機械修理業（電気機械器具を除く）,1.1,事業サービス業,
Ｒ サービス業（他に分類されないもの）,90,機械等修理業（別掲を除く）,902,電気機械器具修理業,0.6,事業サービス業,
Ｒ サービス業（他に分類されないもの）,91,職業紹介・労働者派遣業,911,職業紹介業,0.9,事業サービス業,
Ｒ サービス業（他に分類されないもの）,91,職業紹介・労働者派遣業,912,労働者派遣業,1.4,事業サービス業,
Ｒ サービス業（他に分類されないもの）,92,その他の事業サービス業,921,速記・ワープロ入力・複写業,0.3,事業サービス業,
Ｒ サービス業（他に分類されないもの）,92,その他の事業サービス業,922,建物サービス業,4.7,事業サービス業,建物サービス業
Ｒ サービス業（他に分類されないもの）,92,その他の事業サービス業,923,警備業,0.6,事業サービス業,
Ｒ サービス業（他に分類されないもの）,その他上記に含まれない事業サービス業,,,,6.5,事業サービス業,
業種不明,,,,,1.7,,
全体,,,,,100,,
