,,思う                ,どちらともいえない  ,思わない            ,無回答,ｎ
,今回調査（全体）,15.8,31.3,52.5,0.3,297
業種別,情報・コンテンツ業,15.4,29.2,55.4,0,65
業種別,専門サービス業,22.5,28.4,48,1,102
業種別,技術サービス業,13.2,26.3,60.5,0,38
業種別,事業サービス業,10.1,36,53.9,0,89
特定10業種別,ソフトウェア業,9.7,16.1,74.2,0,31
特定10業種別,インターネット附随サービス業,0,0,100,0,1
特定10業種別,映像情報制作・配給業,33.3,44.4,22.2,0,9
特定10業種別,出版業,40,20,40,0,5
特定10業種別,税理士事務所,15.4,26.9,53.8,3.8,26
特定10業種別,デザイン業,30.8,38.5,30.8,0,13
特定10業種別,経営コンサルタント業,26.7,33.3,40,0,15
特定10業種別,建築設計業,18.8,12.5,68.8,0,16
特定10業種別,自動車整備業,0,62.5,37.5,0,8
特定10業種別,建物サービス業,15.4,34.6,50,0,26
従業者規模別,1～2人,12.5,28.1,59.4,0,128
従業者規模別,3～5人,17.1,36.6,46.3,0,82
従業者規模別,6～9人,23.5,29.4,47.1,0,34
従業者規模別,10～29人,15.6,31.3,53.1,0,32
従業者規模別,30人以上,22.2,38.9,38.9,0,18
年間売上高増減別（３年前）,大幅(10％以上)増加,23.1,23.1,53.8,0,26
年間売上高増減別（３年前）,やや(10％未満)増加,14.3,32.1,53.6,0,28
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,9.1,28.6,61,1.3,77
年間売上高増減別（３年前）,やや(10％未満)減少,14.3,32.7,53.1,0,49
年間売上高増減別（３年前）,大幅(10％以上)減少,21.8,33.7,44.6,0,101
売上高経常利益率,黒字,15.9,30,53.5,0.6,170
売上高経常利益率,赤字,13.5,37.1,49.4,0,89
経常損益の変化別（３年前）,増益,14.5,34.5,50.9,0,55
経常損益の変化別（３年前）,横ばい,16.5,25.8,56.7,1,97
経常損益の変化別（３年前）,減益,18.3,34.1,47.6,0,126
