市区町村コード,投票区,都道府県名,市区町村名,名称,名称_カナ,有権者数(男),有権者数(女),有権者数(合計),投票者数(男),投票者数(女),投票者数(合計),投票率(男),投票率(女),投票率(合計),最終確認日,備考
132217,第1投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"1,957","2,058","4,015",903,"1,059","1,962",46.14,51.46,48.87,2020年12月16日,
132217,第2投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"2,686","2,596","5,282","1,336","1,419","2,755",49.74,54.66,52.16,2020年12月16日,
132217,第3投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"3,394","3,680","7,074","1,784","2,062","3,846",52.56,56.03,54.37,2020年12月16日,
132217,第4投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"2,628","2,928","5,556","1,362","1,542","2,904",51.83,52.66,52.27,2020年12月16日,
132217,第5投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"2,118","2,339","4,457","1,015","1,189","2,204",47.92,50.83,49.45,2020年12月16日,
132217,第6投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"1,975","2,276","4,251",970,"1,170","2,140",49.11,51.41,50.34,2020年12月16日,
132217,第7投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"2,438","2,876","5,314","1,227","1,544","2,771",50.33,53.69,52.15,2020年12月16日,
132217,第8投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"2,329","2,543","4,872","1,115","1,251","2,366",47.87,49.19,48.56,2020年12月16日,
132217,第9投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"2,287","2,639","4,926","1,195","1,477","2,672",52.25,55.97,54.24,2020年12月16日,
132217,第10投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"2,004","2,152","4,156","1,022","1,206","2,228",51.00,56.04,53.61,2020年12月16日,
132217,第11投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"2,340","2,541","4,881","1,309","1,465","2,774",55.94,57.65,56.83,2020年12月16日,
132217,第12投票区,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"3,175","3,339","6,514","1,692","1,854","3,546",53.29,55.53,54.44,2020年12月16日,
132217,合計,東京都,清瀬市,清瀬市長選挙,キヨセシチョウセンキョ,"29,331","31,967","61,298","14,930","17,238","32,168",50.90,53.92,52.48,2020年12月16日,
