区分,コード,金融機関名,ペイジー対応,備考
都市銀行,1,みずほ銀行,＊,
都市銀行,9,三井住友銀行,＊,
都市銀行,5,三菱ＵＦＪ銀行,＊,
都市銀行,10,りそな銀行,＊,
地方銀行・第二地方銀行,542,愛知銀行,＊,
地方銀行・第二地方銀行,117,青森銀行,＊,
地方銀行・第二地方銀行,119,秋田銀行,＊,
地方銀行・第二地方銀行,129,足利銀行,＊,
地方銀行・第二地方銀行,172,阿波銀行,＊,
地方銀行・第二地方銀行,161,池田泉州銀行,＊,
地方銀行・第二地方銀行,174,伊予銀行,＊,
地方銀行・第二地方銀行,123,岩手銀行,＊,
地方銀行・第二地方銀行,576,愛媛銀行,＊,
地方銀行・第二地方銀行,183,大分銀行,,
地方銀行・第二地方銀行,152,大垣共立銀行,,
地方銀行・第二地方銀行,188,沖縄銀行,＊,
地方銀行・第二地方銀行,185,鹿児島銀行,＊,
地方銀行・第二地方銀行,159,関西みらい銀行,＊,
地方銀行・第二地方銀行,191,北九州銀行,＊,
地方銀行・第二地方銀行,509,北日本銀行,＊,
地方銀行・第二地方銀行,163,紀陽銀行,,
地方銀行・第二地方銀行,158,京都銀行,＊,
地方銀行・第二地方銀行,137,きらぼし銀行,＊,
地方銀行・第二地方銀行,508,きらやか銀行,,
地方銀行・第二地方銀行,128,群馬銀行,＊,
地方銀行・第二地方銀行,522,京葉銀行,＊,
地方銀行・第二地方銀行,578,高知銀行,,
地方銀行・第二地方銀行,17,埼玉りそな銀行,＊,
地方銀行・第二地方銀行,179,佐賀銀行,＊,
地方銀行・第二地方銀行,167,山陰合同銀行,＊,
地方銀行・第二地方銀行,157,滋賀銀行,＊,
地方銀行・第二地方銀行,175,四国銀行,,
地方銀行・第二地方銀行,149,静岡銀行,＊,
地方銀行・第二地方銀行,538,静岡中央銀行,＊,
地方銀行・第二地方銀行,125,七十七銀行,＊,
地方銀行・第二地方銀行,151,清水銀行,＊,
地方銀行・第二地方銀行,180,十八銀行,＊,
地方銀行・第二地方銀行,153,十六銀行,＊,
地方銀行・第二地方銀行,121,荘内銀行,＊,
地方銀行・第二地方銀行,130,常陽銀行,＊,
地方銀行・第二地方銀行,181,親和銀行,＊,
地方銀行・第二地方銀行,150,スルガ銀行,＊,
地方銀行・第二地方銀行,512,仙台銀行,,
地方銀行・第二地方銀行,532,大光銀行,＊,
地方銀行・第二地方銀行,546,第三銀行,＊,
地方銀行・第二地方銀行,140,第四銀行,＊,
地方銀行・第二地方銀行,514,大東銀行,＊,
地方銀行・第二地方銀行,164,但馬銀行,,
地方銀行・第二地方銀行,178,筑邦銀行,＊,
地方銀行・第二地方銀行,134,千葉銀行,＊,
地方銀行・第二地方銀行,135,千葉興業銀行,＊,
地方銀行・第二地方銀行,544,中京銀行,＊,
地方銀行・第二地方銀行,168,中国銀行,＊,
地方銀行・第二地方銀行,131,筑波銀行,＊,
地方銀行・第二地方銀行,526,東京スター銀行,＊,
地方銀行・第二地方銀行,126,東邦銀行,＊,
地方銀行・第二地方銀行,124,東北銀行,＊,
地方銀行・第二地方銀行,516,東和銀行,＊,
地方銀行・第二地方銀行,517,栃木銀行,＊,
地方銀行・第二地方銀行,166,鳥取銀行,＊,
地方銀行・第二地方銀行,145,富山銀行,＊,
地方銀行・第二地方銀行,534,富山第一銀行,,
地方銀行・第二地方銀行,543,名古屋銀行,＊,
地方銀行・第二地方銀行,162,南都銀行,＊,
地方銀行・第二地方銀行,190,西日本シティ銀行,＊,
地方銀行・第二地方銀行,143,八十二銀行,＊,
地方銀行・第二地方銀行,525,東日本銀行,＊,
地方銀行・第二地方銀行,182,肥後銀行,＊,
地方銀行・第二地方銀行,155,百五銀行,,
地方銀行・第二地方銀行,173,百十四銀行,＊,
地方銀行・第二地方銀行,169,広島銀行,＊,
地方銀行・第二地方銀行,147,福井銀行,＊,
地方銀行・第二地方銀行,177,福岡銀行,＊,
地方銀行・第二地方銀行,513,福島銀行,,
地方銀行・第二地方銀行,141,北越銀行,,
地方銀行・第二地方銀行,120,北都銀行,＊,
地方銀行・第二地方銀行,501,北洋銀行,＊,
地方銀行・第二地方銀行,144,北陸銀行,＊,
地方銀行・第二地方銀行,116,北海道銀行,,
地方銀行・第二地方銀行,146,北國銀行　,＊,
地方銀行・第二地方銀行,154,三重銀行,＊,
地方銀行・第二地方銀行,118,みちのく銀行,＊,
地方銀行・第二地方銀行,562,みなと銀行,＊,
地方銀行・第二地方銀行,184,宮崎銀行,,
地方銀行・第二地方銀行,133,武蔵野銀行,＊,
地方銀行・第二地方銀行,569,もみじ銀行,,
地方銀行・第二地方銀行,122,山形銀行,,
地方銀行・第二地方銀行,170,山口銀行,＊,
地方銀行・第二地方銀行,142,山梨中央銀行,＊,
地方銀行・第二地方銀行,138,横浜銀行,＊,
地方銀行・第二地方銀行,187,琉球銀行,＊,
信託銀行,300,ＳＭＢＣ信託銀行,,
信託銀行,289,みずほ信託銀行,,
信託銀行,294,三井住友信託銀行,,
信託銀行,288,三菱ＵＦＪ信託銀行,,
その他の銀行等,398,あおぞら銀行,,
その他の銀行等,401,シティバンク、エヌ・エイ,,
その他の銀行等,2004,商工組合中央金庫,,
その他の銀行等,397,新生銀行,,
その他の銀行等,2963,中央労働金庫,＊,
その他の銀行等,36,楽天銀行,＊,
その他の銀行等,33,ジャパンネット銀行,＊,
その他の銀行等,9900,ゆうちょ銀行,＊,東京都内、関東各県及び山梨県内に所在するゆうちょ銀行及び郵便局。ただし、納入通知書及び納付書に「Ｐａｙ－ｅａｓｙ（ペイジー）マーク」が記載されているものは、全国のゆうちょ銀行及び郵便局でご利用になれます。
信用金庫,1000,信金中央金庫,,
信用金庫,1252,青木信用金庫,＊,
信用金庫,1303,朝日信用金庫,＊,
信用金庫,1327,足立成和信用金庫,＊,
信用金庫,1358,青梅信用金庫,＊,
信用金庫,1323,亀有信用金庫,＊,
信用金庫,1283,川崎信用金庫,＊,
信用金庫,1305,興産信用金庫,＊,
信用金庫,1326,小松川信用金庫,＊,
信用金庫,1336,西京信用金庫,＊,
信用金庫,1310,さわやか信用金庫,＊,
信用金庫,1319,芝信用金庫,＊,
信用金庫,1282,湘南信用金庫,＊,
信用金庫,1344,城南信用金庫,＊,
信用金庫,1351,城北信用金庫,＊,
信用金庫,1345,昭和信用金庫,＊,
信用金庫,1356,巣鴨信用金庫,＊,
信用金庫,1341,西武信用金庫,＊,
信用金庫,1348,世田谷信用金庫,＊,
信用金庫,1352,瀧野川信用金庫,＊,
信用金庫,1360,多摩信用金庫,＊,
信用金庫,1321,東栄信用金庫,＊,
信用金庫,1349,東京信用金庫,＊,
信用金庫,1333,東京三協信用金庫,＊,
信用金庫,1311,東京シティ信用金庫,＊,
信用金庫,1320,東京東信用金庫,＊,
信用金庫,1262,東京ベイ信用金庫,＊,
信用金庫,1253,飯能信用金庫,＊,
信用金庫,1346,目黒信用金庫,＊,
