三鷹市 固定資産台帳（平成29年度末）,,,,,,,,,,（単位：円）
会計区分,資産区分,資産名称,取得年月日,取得価額等,減価償却累計額,現在価額,"耐用
年数",用途,数量,"単位
呼称"
一般会計,有形固定資産/物品/美術品,靉嘔　油彩画　「虹の四季」より春,2007/3/12,"4,000,000",0,"4,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,靉嘔　油彩画　「虹の四季」より夏,2007/3/12,"4,000,000",0,"4,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,靉嘔　油彩画　「虹の四季」より秋,2007/3/12,"4,000,000",0,"4,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,靉嘔　油彩画　「虹の四季」より冬,2007/3/12,"4,000,000",0,"4,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,池田宗広　ブロンズ像　モニュメント　人物像「ハーモニー」,1995/3/31,"33,361,700",0,"33,361,700",,,1,体
一般会計,有形固定資産/物品/美術品,宇佐美圭司　油彩画　レイチェル,1994/11/14,"3,340,000",0,"3,340,000",,,1,枚
一般会計,有形固定資産/物品/美術品,宇佐美圭司　油彩画　切断の内側に空が,1994/11/14,"3,340,000",0,"3,340,000",,,1,枚
一般会計,有形固定資産/物品/美術品,宇佐美圭司　油彩画　還元,2006/3/29,"3,990,000",0,"3,990,000",,,1,枚
一般会計,有形固定資産/物品/美術品,宇佐美圭司　油彩画　連帯,2006/3/30,"3,000,000",0,3000000,,,1,枚
一般会計,有形固定資産/物品/美術品,大塚オーミ陶業　陶板　翔べ色たちよ！跳ねろ音たちよ！,1995/7/31,"9,708,000",0,9708000,,,1,枚
一般会計,有形固定資産/物品/美術品,大村清隆　ブロンズ像　母子像,1965/11/3,"3,300,000",0,3300000,,,1,体
一般会計,有形固定資産/物品/美術品,オノサトトシノブ　水彩画　―（失題）,1993/10/6,"3,500,000",0,3500000,,,1,枚
一般会計,有形固定資産/物品/美術品,加納光於　版画　植物　Ｎo.1,1994/4/28,"4,000,000",0,"4,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,北村西望　ブロンズ像　平和の像,1989/11/30,"20,600,000",0,"20,600,000",,,1,体
一般会計,有形固定資産/物品/美術品,小畠廣志　彫刻　レッグウｫーマー,1998/5/18,"3,000,000",0,"3,000,000",,,1,体
一般会計,有形固定資産/物品/美術品,桜井浜江　油彩画　淵,2005/2/18,"6,000,000",0,"6,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,桜井浜江　油彩画　風景,2005/2/18,"4,000,000",0,"4,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,桜井浜江　油彩画　海,2005/2/18,"7,000,000",0,"7,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,桜井浜江　油彩画　海,2005/2/18,"7,000,000",0,"7,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,桜井浜江　油彩画　花無惨,2005/2/18,"7,000,000",0,"7,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,桜井浜江　油彩画　風景,2008/3/5,"3,500,000",0,"3,500,000",,,1,枚
一般会計,有形固定資産/物品/美術品,桜井寛　油彩画　横たわる裸婦,2005/7/27,"3,000,000",0,"3,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,桜井寛　油彩画　二つのベット・人体,2005/7/27,"3,000,000",0,"3,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,桜井寛　油彩画　椅子による若い男,2005/7/27,"3,000,000",0,"3,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,桜井寛　油彩画　椅子による男,2005/7/27,"3,000,000",0,"3,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,高野勝　モニュメント　「はばたき」,1995/3/31,"18,138,300",0,"18,138,300",,,1,体
一般会計,有形固定資産/物品/美術品,高松次郎　油彩画等　平面上の空間（Ａ）,1993/3/31,"6,000,000",0,"6,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,高松次郎　油彩画等　平面上の空間（Ｂ）,1993/3/31,"6,000,000",0,"6,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,高松次郎　油彩画等　形・飛翔,1993/3/31,"5,000,000",0,"5,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,高松次郎　油彩画等　はばたく永遠,1995/4/1,"5,000,000",0,"5,000,000",,,1,枚
一般会計,有形固定資産/物品/美術品,高松次郎　油彩画等　点（ＪＴ－１３）,2000/3/9,"4,200,000",0,"4,200,000",,,1,枚
一般会計,有形固定資産/物品/美術品,高松次郎　油彩画等　波　ＪＴ－229（青）、ＪＴ－230（白）,2002/5/21,"5,000,000",0,"5,000,000",,,2,枚
一般会計,有形固定資産/物品/美術品,豊福知徳　彫刻　憩いの像,1994/6/15,"10,000,000",0,"10,000,000",,,1,体
一般会計,有形固定資産/物品/美術品,豊福知徳　彫刻　半円柱Ⅰ,1994/11/18,"11,400,000",0,"11,400,000",,,1,体
一般会計,有形固定資産/物品/美術品,豊福知徳　彫刻　群像,1995/10/13,"3,300,000",0,"3,300,000",,,1,体
