No,観測地点 1),Location of observatory 1),水準基標番号 Bench mark number,測量開始年,Year of start of measurement,平成14年 2002,平成15年 2003,平成16年 2004,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014,平成27年 2015,平成28年 2016,(参考) 測量開始年からの変動量累計 (単位 ｍ) (Reference) Accumulated total since the beginning of observation (in meters) 3) 
13,江戸川区 中葛西,Nakakasai， Edogawa-ku,9836,大正7,1918,-0.2,0.47,0.03,0.32,0.71,-0.41,0.47,0.07,-0.07,2),0.5,0.46,-0.41,…,0.25,-2.3723
14,江戸川区 船堀,Funabori， Edogawa-ku,9835,大正7,1918,-0.5,0.41,-0.07,0.56,0.71,-0.22,0.4,0.28,-0.17,2),0.43,0.36,0.08,-0.3,0.49,-2.9663
15,八王子市 小宮町,Komiya-machi， Hachioji-shi,八王(1),昭和50,1975,-0.89,-0.31,0.08,0.1,-0.02,0.07,0.24,0.22,-0.36,2),0.58,-0.24,0.23,0.13,0.68,0.0252
16,三鷹市 大沢,Osawa， Mitaka-shi,三鷹(4),昭和47,1972,-0.34,-0.36,-0.37,0.4,-0.56,-0.03,0.46,-0.41,-0.62,2),0.2,-0.12,0.62,-0.1,0.41,-0.1735
17,清瀬市 旭が丘,Asahigaoka， Kiyose-shi,清瀬(1),昭和48,1973,-0.54,-0.34,-0.44,-0.99,0.37,0.06,0.34,-0.56,-0.75,2),-0.11,-0.13,0.73,-1.31,-0.41,-0.7277
18,清瀬市 中里,Nakazato， Kiyose-shi,清瀬(3),昭和48,1973,-0.18,-0.52,-0.17,-0.18,-0.23,-0.22,0.49,-0.28,-0.91,2),0.41,-0.25,0.84,-0.33,0.34,-0.611
19,武蔵村山市 本町,Honmachi， Musashimurayama-shi,武村(2),昭和50,1975,-0.05,-0.25,0.15,-0.59,-0.04,-0.17,0.75,0.1,-0.86,2),-0.13,0.32,0.02,0.25,0.6,-0.0396
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,
19-12 地盤沈下量 (平成14～平成28年) 19-12  ANNUAL GROUND SUBSIDENCE ( 2002-2016 ),,,,,,,,,,,,,,,,,,,,,
負の値（－）は沈下，正の値は隆起を表わす。,,,,,,,,,,,,,,,,,,,,,
Negative numbers (-) indicate subsidence， positive numbers indicate uplift.,,,,,,,,,,,,,,,,,,,,,
注 1) 観測地点については，毎年観測が可能な地点を選択した。,,,,,,,,,,,,,,,,,,,,,
2) 平成23年は，東北地方太平洋沖地震の影響で地殻変動と地盤沈下の区別ができないため，地盤沈下量の算出ができない。  ,,,,,,,,,,,,,,,,,,,,,
3) (参考）測量開始からの変動量累計には，大正12年関東大震災及び平成23年東北地方太平洋沖地震による変動を含む。,,,,,,,,,,,,,,,,,,,,,
4)平成28年は，江戸川区の(9836)が復旧したので観測を再開した。,,,,,,,,,,,,,,,,,,,,,
Note: 1) The observation points selected are those where observations can be conducted every year.  ,,,,,,,,,,,,,,,,,,,,,
2) An annual ground subsidence for 2011 is not shown because land subsidence cannot be differentiated from crustal movements caused by the 2011 Tohoku earthquake. ,,,,,,,,,,,,,,,,,,,,,
3) (Reference) Total change since measurement of data began include crustal movements caused by the Great Kanto Earthquake in 1923 and Tohoku Earthquake in 2011.,,,,,,,,,,,,,,,,,,,,,
4) Measurement of data resumed at observation point (9836) in Edogawa-ku in 2016.,,,,,,,,,,,,,,,,,,,,,
資料: 都土木技術支援・人材育成センター Source: Civil Engineering Support and Training Center， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　cm／年）(In centimeters／year),,,,,,,,,,,,,,,,,,,,,
