地域階層,地域コード,地域,District,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014,平成27年 2015,平成28年 2016,平成29年 2017
0,13000,総数,Tokyo-to,1765,1718,1676,1650,1751,1851,1989,2181
1,13100,区部,All ku,2075,2024,1973,1949,2101,2226,2369,2603
2,13101,千代田区,Chiyoda-ku ,5224,4867,4726,4700,5557,5901,5940,6175
2,13102,中央区,Chuo-ku,5251,5492,5351,5504,6307,6922,7294,8291
2,13103,港区,Minato-ku ,3535,3326,3195,3101,3307,3522,3682,3942
2,13104,新宿区,Shinjuku-ku,3306,3280,3220,3191,3368,3542,3885,4033
2,13105,文京区,Bunkyo-ku ,1072,1032,1009,1013,1058,1102,1149,1218
2,13106,台東区,Taito-ku ,1167,1055,1022,1020,1244,1278,1121,1197
2,13107,墨田区,Sumida-ku,577,570,564,571,585,598,614,637
2,13108,江東区,Koto-ku,600,596,588,586,602,617,634,698
2,13109,品川区,Shinagawa-ku,1184,1125,1104,1123,1239,1296,1311,1373
2,13110,目黒区,Meguro-ku,1456,1320,1286,1232,1425,1467,1398,1500
2,13111,大田区,Ota-ku,678,663,654,659,723,740,733,778
2,13112,世田谷区,Setagaya-ku,764,739,726,725,737,751,777,816
2,13113,渋谷区,Shibuya-ku,4182,3976,3814,3785,3771,3986,4610,5309
2,13114,中野区,Nakano-ku ,877,862,843,836,855,874,908,951
2,13115,杉並区,Suginami-ku,664,667,662,661,666,687,719,766
2,13116,豊島区,Toshima-ku,1406,1415,1412,1408,1530,1596,1619,1738
2,13117,北区,Kita-ku,682,671,666,664,681,691,711,743
2,13118,荒川区,Arakawa-ku,634,619,613,612,678,690,650,682
2,13119,板橋区,Itabashi-ku,559,553,544,541,559,567,570,592
2,13120,練馬区,Nerima-ku,603,598,593,592,606,611,626,656
2,13121,足立区,Adachi-ku,435,439,441,426,459,468,452,474
2,13122,葛飾区,Katsushika-ku,444,451,447,413,420,427,434,446
2,13123,江戸川区,Edogawa-ku,571,559,549,492,507,516,528,545
1,,市・郡部,All shi and gun,527,525,523,510,524,536,548,560
2,13201,八王子市,Hachioji-shi,438,427,416,409,414,420,429,436
2,13202,立川市,Tachikawa-shi,979,957,950,954,979,1032,1108,1180
2,13203,武蔵野市,Musashino-shi,1301,1285,1278,1278,1324,1377,1453,1550
2,13204,三鷹市,Mitaka-shi,707,695,689,689,699,712,736,760
2,13205,青梅市,Ome-shi,208,202,198,188,188,190,191,192
2,13206,府中市,Fuchu-shi,476,465,462,460,469,479,492,507
2,13207,昭島市,Akishima-shi,252,254,250,247,303,306,294,299
2,13208,調布市,Chofu-shi,529,520,585,585,645,667,644,673
2,13209,町田市,Machida-shi,688,700,692,623,638,650,665,682
2,13210,小金井市,Koganei-shi,594,582,580,579,587,594,606,618
2,13211,小平市,Kodaira-shi,332,322,315,304,308,310,312,315
2,13212,日野市,Hino-shi,376,366,364,363,369,376,384,393
2,13213,東村山市,Higashimurayama-shi,326,320,317,292,296,298,300,297
2,13214,国分寺市,Kokubunji-shi,544,530,528,526,536,545,553,564
2,13215,国立市,Kunitachi-shi,576,566,563,562,568,571,575,588
2,13218,福生市,Fussa-shi　,293,283,277,273,275,280,284,287
2,13219,狛江市,Komae-shi,463,456,452,449,449,452,454,456
2,13220,東大和市,Higashiyamato-shi,202,196,191,190,222,223,194,195
2,13221,清瀬市,Kiyose-shi,342,332,329,329,334,337,341,344
2,13222,東久留米市,Higashikurume-shi,304,296,294,294,298,299,302,278
2,13223,武蔵村山市,Musashimurayama-shi,154,150,147,145,145,146,148,148
2,13224,多摩市,Tama-shi,396,388,387,386,390,390,391,392
2,13225,稲城市,Inagi-shi,227,223,222,222,224,228,232,237
2,13227,羽村市,Hamura-shi,233,177,174,171,173,174,176,178
2,13228,あきる野市,Akiruno-shi,152,175,171,168,169,170,171,171
2,13229,西東京市,Nishitokyo-shi,372,364,362,362,367,372,378,388
2,13303,瑞穂町,Mizuho-machi,123,121,117,115,115,117,118,119
2,13305,日の出町,Hinode-machi,…,…,…,…,90,90,91,92
2,13307,檜原村,Hinohara-mura,…,…,…,…,…,…,…,…
2,13308,奥多摩町,Okutama-machi,…,…,…,…,…,…,…,…
1,13350,島部,All islands,35,34,32,32,31,30,30,30
2,13361,大島町,Oshima-machi,70,65,61,57,48,46,45,45
2,13363,新島村,Niijima-mura,10,10,10,10,9,9,9,9
2,13364,神津島村,Kozushima-mura,10,10,10,10,10,10,10,10
2,13381,三宅村,Miyake-mura,12,12,12,11,11,11,11,11
2,13401,八丈町,Hachijo-machi,40,37,34,32,31,31,31,31
2,13421,小笠原村,Ogasawara-mura,69,69,69,73,75,75,75,75
,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 13 　物価・地価 13   PRICES,,,,,,,,,,,
13-5  地価公示の平均価格の推移（商業地）（平成22～29年） 13-5 CHANGES IN AVERAGE POSTED LAND PRICES ( COMMERCIAL LAND ) ( 2010-2017 ),,,,,,,,,,,
各年１月1日現在,,,,,,,,,,,
Figures are as of Jan. 1 of the year stated.,,,,,,,,,,,
資料：都財務局財産運用部管理課「平成29年地価公示価格」（ホームページ） Source: Bureau of Finance， TMG,,,,,,,,,,,
地域階層(0:東京都　1:区部・市・郡部・島部　2:区市町村),,,,,,,,,,,
（単位 ：千円／m2） (Thousands of yen／m2),,,,,,,,,,,
