年度,Fiscal year,貸切利用回数 Group use (number of times)／陸上競技場 Athletic field(回 times),貸切利用回数 Group use (number of times)／体育館 Gymnasium(回 times),貸切利用回数 Group use (number of times)／屋内球技場 Indoor ball sports field(回 times),貸切利用回数 Group use (number of times)／第1球技場 No.1 ball sports ground(回 times),貸切利用回数 Group use (number of times)／第2球技場 No.2 ball sports ground(回 times),貸切利用回数 Group use (number of times)／補助競技場 Supported sports ground(回 times),貸切利用回数 Group use (number of times)／硬式野球場 Baseball field (回 times),貸切利用回数 Group use (number of times)／弓道場 Japanese archery range(回 times),貸切利用回数 Group use (number of times)／軟式野球場 Rubber baseball field (時間 hours) ,貸切利用回数 Group use (number of times)／テニスコート Tennis courts (時間 hours) ,一般公開利用者数 Individual users／弓道場 Japanese archery range(人 persons),一般公開利用者数 Individual users／トレーニングルーム Training room(人 persons),一般公開利用者数 Individual users／水泳場 Swimming pool(人 persons),一般公開利用者数 Individual users／東京オリンピックメモリアルギャラリー Tokyo Olympic memorial gallery (人 persons),スポーツ教室 Sports programs／回数 Times held(回 times),スポーツ教室 Sports programs／人数 Participants(人 persons)
平成21,2009,347,935,1883,957,1527,1536,1116,238,1461,6154,3486,131721,32251,20586,342,21582
平成22,2010,92,877,1764,924,1870,1855,924,298,1522,6132,2693,129334,50049,21034,318,29764
平成23,2011,314,897,1652,905,1869,1917,781,348,1214,6311,2563,139011,-,20103,302,21269
平成24,2012,339,986,1848,971,1944,1958,1183,302,1317,3859,2559,160279,-,14983,305,25617
平成25,2013,311,965,1640,803,1965,1991,837,339,1302,7827,2279,166201,-,64263,285,50570
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS,,,,,,,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (2) 駒沢オリンピック公園総合運動場 (平成21～25年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (2) METROPOLITAN KOMAZAWA OLYMPIC PARK GENERAL SPORTS GROUND ( Fiscal Years 2009-2013 ) ,,,,,,,,,,,,,,,,,
注 1) 軟式野球場及びテニスコートは1回が2時間である。 ,,,,,,,,,,,,,,,,,
2) 平成23年度より水泳場は営業を休止している。,,,,,,,,,,,,,,,,,
3) 東京オリンピックメモリアルギャラリーは平成24年10月から平成25年7月まで改修工事に伴い休館。,,,,,,,,,,,,,,,,,
Note: 1) The use of the Rubber baseball field and Tennis courts is limited to 2 hours at a time.,,,,,,,,,,,,,,,,,
2) The Swimming pool has been closed since fiscal 2011.,,,,,,,,,,,,,,,,,
3) Tokyo Olympic Memorial Gallery was Closed from October 2012 to July 2013 due to renovations.,,,,,,,,,,,,,,,,,
資料：オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,,,,,,,,,,
