業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,0,0,-,2,0,0.0,15,1,6.7,5,1,20.0,12,0,0.0,25,1,4.0,5,0,0.0
食料品等中心店,0,0,-,0,0,-,0,0,-,1,1,100.0,0,0,-,1,0,0.0,0,0,-
コンビニエンスストア,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
食料品スーパー,0,0,-,0,0,-,1,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-
総合スーパー,0,0,-,0,0,-,1,0,0.0,0,0,-,0,0,-,1,0,0.0,0,0,-
百貨店,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
業務用,0,0,-,1,0,0.0,4,0,0.0,1,0,0.0,0,0,-,1,1,100.0,0,0,-
加工業者,0,0,-,0,0,-,1,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-
問屋・納入業者,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
都内の中央卸売市場,0,0,-,0,0,-,1,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-
都内の地方卸売市場,0,0,-,0,0,-,1,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-
都外の中央卸売市場,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
都外の地方卸売市場,0,0,-,9,2,22.2,3,0,0.0,0,0,-,0,0,-,1,0,0.0,0,0,-
その他,0,0,-,0,0,-,3,1,33.3,0,0,-,3,0,0.0,0,0,-,1,0,0.0
不明,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
計,0,0,-,12,2,16.7,30,2,6.7,7,2,28.6,15,0,0.0,29,2,6.9,6,0,0.0
