業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,2,1,50.0,3,3,100.0,33,33,100.0,5,5,100.0,1,1,100.0,0,0,-,0,0,-
食料品等中心店,0,0,-,0,0,-,4,3,75.0,2,2,100.0,0,0,-,0,0,-,0,0,-
コンビニエンスストア,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
食料品スーパー,0,0,-,0,0,-,11,11,100.0,6,6,100.0,0,0,-,0,0,-,0,0,-
総合スーパー,0,0,-,0,0,-,11,10,90.9,0,0,-,0,0,-,0,0,-,0,0,-
百貨店,0,0,-,0,0,-,1,1,100.0,1,1,100.0,0,0,-,0,0,-,0,0,-
業務用,3,2,66.7,1,0,0.0,15,15,100.0,1,1,100.0,2,2,100.0,0,0,-,0,0,-
加工業者,1,1,100.0,1,1,100.0,12,12,100.0,1,1,100.0,0,0,-,0,0,-,0,0,-
問屋・納入業者,10,8,80.0,24,23,95.8,48,45,93.8,11,10,90.9,0,0,-,1,1,100.0,0,0,-
都内の中央卸売市場,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
都内の地方卸売市場,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
都外の中央卸売市場,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
都外の地方卸売市場,0,0,-,1,1,100.0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
その他,0,0,-,3,3,100.0,5,5,100.0,0,0,-,0,0,-,0,0,-,0,0,-
不明,2,2,100.0,3,3,100.0,0,0,-,0,0,-,1,1,100.0,0,0,-,0,0,-
計,18,14,77.8,36,34,94.4,140,135,96.4,27,26,96.3,4,4,100.0,1,1,100.0,0,0,-
