年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,
年・年度平均指数／平成26年平均,2014,,99.2,99.5,99,97,100,99.2,102.6,98.5,97.8,99.1,102,98.4,98.1,99,
年・年度平均指数／平成27年平均,2015,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
年・年度平均指数／平成28年平均,2016,,99.9,99.7,99.9,101.7,99.9,100.4,92.7,99.6,101.8,100.9,98,101.6,101,100.7,
年・年度平均指数／平成29年平均,2017,,100.4,100.2,100.5,102.4,99.7,100.5,95.2,99.1,102,101.8,98.3,102.2,101.3,100.9,
年・年度平均指数／平成30年平均,2018,,101.3,101,101.7,103.9,99.6,100.5,99,98,102.2,103.3,99.6,102.7,102.1,101.4,
年・年度平均指数／令和元年平均,2019,,101.8,101.7,102.3,104.3,99.8,101.5,101.3,100.2,102.6,104,99,101.1,103.8,101.4,
年・年度平均指数／平成25年度平均,2013,,96.9,97.2,96.3,93.9,99.9,98.3,98,95.4,95.9,98,99.7,96.7,95,96.3,
年・年度平均指数／平成26年度平均,2014,,99.8,100,99.7,98,100,99.6,103.5,99,98.7,99.5,102,98.9,98.9,99.5,
年・年度平均指数／平成27年度平均,2015,,100,100,100,100.5,100,100.1,98.1,100.1,100.5,100.2,99.5,100.4,100.3,100.2,
年・年度平均指数／平成28年度平均,2016,,100,99.7,100,102,99.8,100.4,92.2,99.6,102,101,98.1,101.9,101.1,100.8,
年・年度平均指数／平成29年度平均,2017,,100.7,100.4,100.9,103.1,99.7,100.5,96.2,98.8,102.1,102.2,98.6,102.3,101.5,101.1,
年・年度平均指数／平成30年度平均,2018,,101.4,101.2,101.8,103.6,99.6,100.6,100.3,98.2,102.2,103.7,99.6,102.8,102.5,101.6,
前年(度)比(％)／平成26年平均,2014,,2.7,2.6,3.3,3.8,0,0.9,6.2,3.8,2.2,1,2.6,1.9,3.7,3.7,
前年(度)比(％)／平成27年平均,2015,,0.8,0.5,1,3.1,0,0.8,-2.6,1.5,2.2,0.9,-1.9,1.6,1.9,1,
前年(度)比(％)／平成28年平均,2016,,-0.1,-0.3,-0.1,1.7,-0.1,0.4,-7.3,-0.4,1.8,0.9,-2,1.6,1,0.7,
前年(度)比(％)／平成29年平均,2017,,0.5,0.5,0.6,0.7,-0.2,0.1,2.7,-0.5,0.2,0.9,0.3,0.6,0.4,0.3,
前年(度)比(％)／平成30年平均,2018,,1,0.9,1.2,1.4,-0.1,0.1,4,-1.1,0.1,1.5,1.4,0.4,0.8,0.5,
前年(度)比(％)／令和元年平均,2019,,0.5,0.6,0.6,0.4,0.3,1,2.3,2.2,0.4,0.7,-0.7,-1.5,1.6,0,
前年(度)比(％)／平成25年度平均,2013,,0.9,0.8,1.1,0.8,-0.4,-0.3,5.4,-0.7,0.5,-0.6,1.7,0.6,-0.1,2,
前年(度)比(％)／平成26年度平均,2014,,2.9,2.8,3.5,4.4,0.1,1.4,5.7,3.8,2.9,1.6,2.3,2.3,4.2,3.4,
前年(度)比(％)／平成27年度平均,2015,,0.2,0,0.3,2.6,0,0.5,-5.3,1.1,1.8,0.6,-2.6,1.5,1.5,0.7,
前年(度)比(％)／平成28年度平均,2016,,-0.1,-0.2,0,1.4,-0.2,0.3,-6,-0.5,1.5,0.8,-1.4,1.4,0.8,0.6,
