年・期,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／就業率（％、ポイント）,男女計／完全失業率（％、ポイント）,男／１５歳以上人口（千人）,男／１５歳以上人口／労働力人口（千人）,男／１５歳以上人口／労働力人口／就業者数（千人）,男／１５歳以上人口／労働力人口／完全失業者数（千人）,男／１５歳以上人口／非労働力人口（千人）,男／労働力人口比率（％、ポイント）,男／就業率（％、ポイント）,男／完全失業率（％、ポイント）,女／１５歳以上人口（千人）,女／１５歳以上人口／労働力人口（千人）,女／１５歳以上人口／労働力人口／就業者数（千人）,女／１５歳以上人口／労働力人口／完全失業者数（千人）,女／１５歳以上人口／非労働力人口（千人）,女／労働力人口比率（％、ポイント）,女／就業率（％、ポイント）,女／完全失業率（％、ポイント）
実数／平成26年１～３月平均,2014,01～03,11801,7518,7244,274,4280,63.7,61.4,3.6,5797,4324,4167,158,1470,74.6,71.9,3.7,6004,3193,3077,116,2810,53.2,51.2,3.6
実数／平成26年４～６月平均,2014,04～06,11846,7714,7424,290,4125,65.1,62.7,3.8,5818,4391,4216,175,1424,75.5,72.5,4,6029,3323,3208,115,2701,55.1,53.2,3.5
実数／平成26年７～９月平均,2014,07～09,11854,7540,7240,300,4308,63.6,61.1,4,5820,4338,4172,166,1478,74.5,71.7,3.8,6033,3202,3068,134,2830,53.1,50.9,4.2
実数／平成26年10～12月平均,2014,10～12,11860,7626,7341,285,4229,64.3,61.9,3.7,5823,4358,4177,181,1464,74.8,71.7,4.2,6037,3268,3164,104,2764,54.1,52.4,3.2
実数／平成27年１～３月平均,2015,01～03,11873,7560,7276,285,4306,63.7,61.3,3.8,5830,4344,4174,170,1483,74.5,71.6,3.9,6044,3216,3102,115,2823,53.2,51.3,3.6
実数／平成27年４～６月平均,2015,04～06,11932,7751,7476,275,4170,65,62.7,3.5,5856,4404,4239,165,1444,75.2,72.4,3.7,6076,3347,3237,110,2725,55.1,53.3,3.3
実数／平成27年７～９月平均,2015,07～09,11941,7694,7441,253,4246,64.4,62.3,3.3,5861,4425,4263,162,1435,75.5,72.7,3.7,6080,3268,3178,91,2810,53.8,52.3,2.8
実数／平成27年10～12月平均,2015,10～12,11999,7716,7427,289,4280,64.3,61.9,3.7,5890,4443,4262,180,1445,75.4,72.4,4.1,6109,3274,3164,109,2835,53.6,51.8,3.3
実数／平成28年１～３月平均,2016,01～03,12014,7634,7366,268,4377,63.5,61.3,3.5,5898,4362,4222,140,1534,74,71.6,3.2,6116,3272,3144,128,2843,53.5,51.4,3.9
実数／平成28年４～６月平均,2016,04～06,12068,7765,7497,268,4300,64.3,62.1,3.5,5921,4437,4290,148,1483,74.9,72.5,3.3,6146,3328,3207,121,2817,54.1,52.2,3.6
実数／平成28年７～９月平均,2016,07～09,12080,7803,7592,211,4266,64.6,62.8,2.7,5927,4458,4334,124,1463,75.2,73.1,2.8,6153,3346,3258,87,2803,54.4,52.9,2.6
実数／平成28年10～12月平均,2016,10～12,12098,7869,7611,258,4226,65,62.9,3.3,5935,4460,4305,155,1473,75.1,72.5,3.5,6162,3408,3305,103,2752,55.3,53.6,3
実数／平成29年１～３月平均,2017,01～03,12110,7795,7560,235,4309,64.4,62.4,3,5942,4413,4279,133,1526,74.3,72,3,6168,3382,3281,101,2783,54.8,53.2,3
実数／平成29年４～６月平均,2017,04～06,12159,7912,7686,226,4240,65.1,63.2,2.9,5962,4486,4353,134,1474,75.2,73,3,6198,3426,3333,93,2766,55.3,53.8,2.7
実数／平成29年７～９月平均,2017,07～09,12175,7970,7757,213,4200,65.5,63.7,2.7,5969,4509,4384,125,1459,75.5,73.4,2.8,6206,3461,3373,88,2741,55.8,54.4,2.5
実数／平成29年10～12月平均,2017,10～12,12189,7953,7723,230,4227,65.2,63.4,2.9,5974,4456,4314,142,1516,74.6,72.2,3.2,6214,3497,3409,88,2711,56.3,54.9,2.5
対前年・対前年同期増減数／平成23年平均,2011,,306,303,334,-31,7,1,1.3,-0.7,121,157,181,-24,-33,1.1,1.7,-0.8,185,146,153,-7,42,0.8,1.1,-0.4
対前年・対前年同期増減数／平成24年平均,2012,,36,-14,8,-22,51,-0.4,-0.1,-0.3,12,-8,8,-16,21,-0.3,0,-0.3,24,-6,0,-6,30,-0.3,-0.2,-0.2
対前年・対前年同期増減数／平成25年平均,2013,,46,69,93,-24,-27,0.4,0.5,-0.3,19,-13,0,-13,29,-0.4,-0.2,-0.3,27,82,93,-11,-57,1.2,1.3,-0.5
対前年・対前年同期増減数／平成26年平均,2014,,64,124,149,-25,-58,0.7,1,-0.4,28,38,53,-15,-9,0.3,0.5,-0.4,37,87,96,-10,-50,1.1,1.3,-0.4
対前年・対前年同期増減数／平成27年平均,2015,,85,76,88,-12,9,0.2,0.3,-0.2,38,48,49,-1,-10,0.3,0.4,-0.1,46,27,39,-11,20,0,0.3,-0.4
対前年・対前年同期増減数／平成28年平均,2016,,140,93,117,-24,47,0,0.2,-0.4,67,28,56,-27,40,-0.4,0.1,-0.6,72,64,61,4,8,0.4,0.4,0.1
対前年・対前年同期増減数／平成29年平均,2017,,93,140,165,-25,-48,0.6,0.9,-0.3,42,37,44,-8,5,0.1,0.3,-0.2,53,104,120,-18,-54,1.2,1.4,-0.6
対前年・対前年同期増減数／平成24年４～６月平均,2012,04～06,27,-29,-18,-11,55,-0.4,-0.3,-0.2,8,19,38,-18,-12,0.2,0.6,-0.4,19,-48,-55,7,67,-0.9,-1.1,0.3
対前年・対前年同期増減数／平成24年７～９月平均,2012,07～09,46,79,98,-19,-31,0.4,0.6,-0.3,15,16,20,-5,1,0.1,0.2,-0.1,31,64,78,-15,-33,0.8,1.1,-0.6
対前年・対前年同期増減数／平成24年10～12月平均,2012,10～12,47,-45,-18,-27,90,-0.7,-0.3,-0.3,16,-35,2,-37,50,-0.8,-0.2,-0.9,31,-10,-20,10,39,-0.4,-0.6,0.3
対前年・対前年同期増減数／平成25年１～３月平均,2013,01～03,41,24,20,5,10,0,0,0,14,25,20,3,-15,0.3,0.2,0.1,26,-1,-1,0,25,-0.2,-0.2,0
対前年・対前年同期増減数／平成25年４～６月平均,2013,04～06,47,71,117,-46,-30,0.3,0.8,-0.6,18,-43,-21,-24,61,-0.9,-0.6,-0.5,28,114,136,-22,-91,1.6,2,-0.9
対前年・対前年同期増減数／平成25年７～９月平均,2013,07～09,50,21,58,-37,24,-0.1,0.2,-0.5,22,-20,0,-20,41,-0.6,-0.3,-0.5,28,40,58,-17,-16,0.4,0.7,-0.6
対前年・対前年同期増減数／平成25年10～12月平均,2013,10～12,50,162,179,-17,-114,1.2,1.2,-0.4,21,-10,1,-11,30,-0.4,-0.2,-0.2,28,172,178,-6,-143,2.6,2.7,-0.4
対前年・対前年同期増減数／平成26年１～３月平均,2014,01～03,57,99,153,-54,-36,0.5,1,-0.8,25,8,62,-52,19,-0.2,0.8,-1.2,33,90,91,-1,-55,1.2,1.2,-0.2
対前年・対前年同期増減数／平成26年４～６月平均,2014,04～06,66,146,172,-26,-77,0.9,1.1,-0.4,30,0,4,-3,30,-0.4,-0.3,-0.1,38,146,169,-23,-107,2.1,2.5,-0.8
対前年・対前年同期増減数／平成26年７～９月平均,2014,07～09,66,122,138,-16,-56,0.7,0.9,-0.3,27,57,81,-24,-32,0.6,1.1,-0.6,38,65,57,8,-24,0.8,0.7,0.2
対前年・対前年同期増減数／平成26年10～12月平均,2014,10～12,66,130,133,-3,-64,0.7,0.8,-0.1,29,84,65,19,-53,1,0.7,0.4,38,46,68,-22,-13,0.4,0.8,-0.7
対前年・対前年同期増減数／平成27年１～３月平均,2015,01～03,72,42,32,11,26,0,-0.1,0.2,33,20,7,12,13,-0.1,-0.3,0.2,40,23,25,-1,13,0,0.1,0
対前年・対前年同期増減数／平成27年４～６月平均,2015,04～06,86,37,52,-15,45,-0.1,0,-0.3,38,13,23,-10,20,-0.3,-0.1,-0.3,47,24,29,-5,24,0,0.1,-0.2
対前年・対前年同期増減数／平成27年７～９月平均,2015,07～09,87,154,201,-47,-62,0.8,1.2,-0.7,41,87,91,-4,-43,1,1,-0.1,47,66,110,-43,-20,0.7,1.4,-1.4
対前年・対前年同期増減数／平成27年10～12月平均,2015,10～12,139,90,86,4,51,0,0,0,67,85,85,-1,-19,0.6,0.7,-0.1,72,6,0,5,71,-0.5,-0.6,0.1
対前年・対前年同期増減数／平成28年１～３月平均,2016,01～03,141,74,90,-17,71,-0.2,0,-0.3,68,18,48,-30,51,-0.5,0,-0.7,72,56,42,13,20,0.3,0.1,0.3
対前年・対前年同期増減数／平成28年４～６月平均,2016,04～06,136,14,21,-7,130,-0.7,-0.6,0,65,33,51,-17,39,-0.3,0.1,-0.4,70,-19,-30,11,92,-1,-1.1,0.3
対前年・対前年同期増減数／平成28年７～９月平均,2016,07～09,139,109,151,-42,20,0.2,0.5,-0.6,66,33,71,-38,28,-0.3,0.4,-0.9,73,78,80,-4,-7,0.6,0.6,-0.2
対前年・対前年同期増減数／平成28年10～12月平均,2016,10～12,99,153,184,-31,-54,0.7,1,-0.4,45,17,43,-25,28,-0.3,0.1,-0.6,53,134,141,-6,-83,1.7,1.8,-0.3
対前年・対前年同期増減数／平成29年１～３月平均,2017,01～03,96,161,194,-33,-68,0.9,1.1,-0.5,44,51,57,-7,-8,0.3,0.4,-0.2,52,110,137,-27,-60,1.3,1.8,-0.9
対前年・対前年同期増減数／平成29年４～６月平均,2017,04～06,91,147,189,-42,-60,0.8,1.1,-0.6,41,49,63,-14,-9,0.3,0.5,-0.3,52,98,126,-28,-51,1.2,1.6,-0.9
対前年・対前年同期増減数／平成29年７～９月平均,2017,07～09,95,167,165,2,-66,0.9,0.9,0,42,51,50,1,-4,0.3,0.3,0,53,115,115,1,-62,1.4,1.5,-0.1
対前年・対前年同期増減数／平成29年10～12月平均,2017,10～12,91,84,112,-28,1,0.2,0.5,-0.4,39,-4,9,-13,43,-0.5,-0.3,-0.3,52,89,104,-15,-41,1,1.3,-0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成29年10～12月平均）,,,,,,,,,,,,,,,,,,,,,,,,,,
第２表　主な就業状態別、男女別15歳以上人口　,,,,,,,,,,,,,,,,,,,,,,,,,,
