年度,Fiscal year,開館日数 Number of open days,観覧人員 Visitors／収蔵映像展 Exhibitions from permanent collection,観覧人員 Visitors／共催展実験劇場 Exhibition under cosponsorship 2),"観覧人員 Visitors／企画展 Special exhibition
",収蔵品数(年度末) Number of collection items (end of fiscal year)／総数 Total,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真作品 Photo works,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真作品 Photo works／海外作品 Overseas works,収蔵品数(年度末) Number of collection items (end of fiscal year)／映像作品資料 Video materials,収蔵品数(年度末) Number of collection items (end of fiscal year)／図書資料 Library books,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真資料 Photo materials
平成22,2010,302,134831,292392,-,98942,22700,5340,2272,73078,892
平成23,2011,298,120591,309066,-,109356,23886,5446,2299,81279,1892
平成24,2012,298,114509,292873,-,115240,24292,5480,2318,85627,3003
平成25,2013,297,115729,288527,-,121111,25081,5519,2329,90583,3118
平成26,2014,152,55073,183771,-,127228,25882,5565,2359,95640,3347
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (3) 東京都写真美術館 (平成22～26年度) 17-12 TOKYO METROPOLITAN MUSEUMS (3) TOKYO PHOTOGRAPHIC ART MUSEUM ( Fiscal Years 2010-2014 ),,,,,,,,,,,
注 1) 平成26年9月24日から、改修工事に伴い全面休館している。,,,,,,,,,,,
2) 共催展・実験劇場欄には自主企画展観覧人員を含む。,,,,,,,,,,,
Note: 1) Since September 24， 2014， the museum has been closed for renovations.,,,,,,,,,,,
2) Special exhibition visitors are included in visitors of co-sponsored exhibits and experimental shows.,,,,,,,,,,,
資料： 公益財団法人東京都歴史文化財団事務局 Source: Tokyo Metropolitan Foundation for History and Culture,,,,,,,,,,,
