年度末,End of fiscal year,図書館,Library,開館日数 1) (年度中) Number of open days (during fiscal year) ,入館者数(年度中) Number of visitors (during fiscal year) ,館外貸出登録者 Number of registered users,職員数 Number of personnel,職員数 Number of personnel／うち司書数 of which librarians
平成24,2012,総数,Total,336,428226,-,110,83
平成25,2013,総数,Total,329,404087,-,106,80
平成26,2014,総数,Total,329,381158,-,102,76
平成26,2014,中央,Central,326,291408,-,87,64
平成26,2014,多摩,Tama,331,89750,-,15,12
,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,
17-9  国公立図書館 (3) 都立図書館入館者，館外貸出登録者及び職員数 (平成24～26年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (3) NUMBERS OF VISITORS， REGISTERED USERS， AND PERSONNEL AT METROPOLITAN LIBRARIES ( End of Fiscal Years 2012-2014 ),,,,,,,,
注 1) 年度の数値は平均開館日数。 ,,,,,,,,
Note: 1) The number of open days for the fiscal year is the average numbers of open days at all metropolitan libraries. ,,,,,,,,
資料：都立中央図書館 Source: Tokyo Metropolitan Central Library,,,,,,,,
