,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）
昭和57年,1980,12100,3198,17278
昭和62年,3112,14319,4522,21953
平成04年度,3650,15068,6070,24788
平成09年度,4613,16125,3250,23988
平成10年度,5237,16045,3443,24725
平成11年度,6361,17487,1738,25586
平成12年度,4913,17811,2317,25041
平成13年度,5717,17278,2222,25217
平成14年度,5171,15862,2470,23503
平成15年度,6737,15346,1493,23576
平成16年度,5963,14872,1576,22411
平成17年度,6603,12936,1181,20720
平成18年度,7836,15206,1405,24448
平成19年度,7566,15378,1164,24107
平成20年度,5807,15075,1030,21912
平成21年度,6274,16076,839,23189
平成22年度,6553,15226,786,22565
平成23年度,6628,16095,1031,23754
平成24年度,7194,15495,877,23566
平成25年度,8694,15152,747,24592
