国(地域)/年月,西暦（年）,月,日本,アメリカ合衆国/(季節調整済),イギリス,ドイツ/(季節調整済),フランス,イタリア/(季節調整済)/(たばこを除く総合),カナダ,韓国
前年比(%)/1998年平均,1998,,0.6,1.6,1.6,0.9,0.6,1.9,0.9,7.5
前年比(%)/1999年平均,1999,,-0.3,2.2,1.4,0.6,0.5,1.7,1.7,0.8
前年比(%)/2000年平均,2000,,-0.7,3.4,0.8,1.4,1.7,2.5,2.7,2.3
前年比(%)/2001年平均,2001,,-0.7,2.8,1.3,2,1.7,2.8,2.6,4.1
前年比(%)/2002年平均,2002,,-0.9,1.6,1.3,1.4,1.9,2.5,2.2,2.7
前年比(%)/2003年平均,2003,,-0.3,2.3,1.4,1.1,2.1,2.6,2.8,3.6
前年比(%)/2004年平均,2004,,0,2.7,1.4,1.6,2.1,2.1,1.9,3.6
前年同月比(%)/2004年７月,2004,7,-0.1,3,1.4,1.8,2.3,2.2,2.3,4.4
前年同月比(%)/2004年８月,2004,8,-0.2,2.7,1.3,2,2.4,2.2,1.9,4.8
前年同月比(%)/2004年９月,2004,9,0,2.5,1.1,1.8,2.1,2,1.8,3.9
前年同月比(%)/2004年10月,2004,10,0.5,3.2,1.2,2,2.1,2,2.3,3.8
前年同月比(%)/2004年11月,2004,11,0.8,3.5,1.5,1.8,2,1.8,2.4,3.3
前年同月比(%)/2004年12月,2004,12,0.2,3.3,1.6,2.1,2.1,1.8,2.1,3
前年同月比(%)/2005年１月,2005,1,-0.1,3,1.6,1.6,1.6,1.6,2,3.1
前年同月比(%)/2005年２月,2005,2,-0.3,3,1.6,1.8,1.6,1.6,2.1,3.3
前年同月比(%)/2005年３月,2005,3,-0.2,3.1,1.9,1.8,1.9,1.9,2.3,3.1
前年同月比(%)/2005年４月,2005,4,0,3.5,1.9,1.6,1.8,1.9,2.4,3.1
前年同月比(%)/2005年５月,2005,5,0.2,2.8,1.9,1.7,1.5,1.8,1.6,3.1
前年同月比(%)/2005年６月,2005,6,-0.5,2.5,2,1.8,1.7,1.7,1.7,2.7
前年同月比(%)/2005年７月,2005,7,-0.3,3.2,2.3,2,1.7,1.9,2,2.5
前年同月比(%)/2005年８月,2005,8,-0.3,3.6,2.4,1.9,1.8,1.8,2.6,2
前年同月比(%)/2005年９月,2005,9,-0.3,4.7,...,2.5,2.2,1.8,...,2.7
,,, , , , , , , , 
東京の物価／平成17年11月,,,,,,,,,,
付属資料５ 主要国の消費者物価指数（増減率）,,,,,,,,,,
資料　総務省統計局「消費者物価指数月報」，内閣府「海外経済データ」,,,,,,,,,,
