内訳,平成27（件）,28（件）,29（件）,30（件）,令和元（件）
サービス業総数,22,23,23,12,11
Ｌ71　学術・開発研究機関,-,2,1,1,- 
Ｌ72　専門サービス業（他に分類されないもの）,4,-,1,2,- 
Ｌ73　広告業,1,1,-,-,1
Ｌ74　技術サービス業（他に分類されないもの）,1,1,-,-,- 
M75　宿泊業,-,-,1,-,- 
Ｍ76　飲食店,1,4,7,2,6
Ｍ77　持ち帰り・配達飲食 サービス業,1,-,-,-,1
Ｎ78　洗濯・理容・美容・浴場業,-,1,1,-,- 
Ｎ79　その他の生活関連サービス業,1,1,-,1,1
Ｎ80　娯楽業,1,3,1,-,- 
Ｒ88　廃棄物処理業,1,1,-,-,1
Ｒ89・90　自動車整備業 ・機械等修理業,-,-,-,-,- 
Ｒ9１　職業紹介・労働者派遣業,3,-,4,2,- 
Ｒ92　その他の事業サービス業,4,7,5,2,- 
Ｒ93　政治・経済・文化団体,1,-,1,-,- 
Ｒ94　宗教,-,1,1,-,- 
Ｒ95　その他のサービス業,3,1,-,2,1
Ｒ96　外国公務,-,-,-,-,- 
