内訳,平成29（件）,30（件）,令和元（件）,2（件）,3（件）,4（件）
サービス業総数,23,12,11,20,28,20
Ｌ71　学術・開発研究機関,1,1,- ,- ,1,- 
Ｌ72　専門サービス業（他に分類されないもの）,1,2,- ,4,3,7
Ｌ73　広告業,-,-,1,- ,- ,- 
Ｌ74　技術サービス業（他に分類されないもの）,-,-,- ,- ,- ,1
M75　宿泊業,1,-,- ,- ,- ,- 
Ｍ76　飲食店,7,2,6,7,4,1
Ｍ77　持ち帰り・配達飲食 サービス業,-,-,1,1,1,1
Ｎ78　洗濯・理容・美容・浴場業,1,-,- ,- ,- ,- 
Ｎ79　その他の生活関連サービス業,-,1,1,1,3,3
Ｎ80　娯楽業,1,-,- ,- ,2,- 
Ｒ88　廃棄物処理業,-,-,1,- ,- ,- 
Ｒ89・90　自動車整備業 ・機械等修理業,-,-,- ,- ,- ,- 
Ｒ9１　職業紹介・労働者派遣業,4,2,- ,3,5,1
Ｒ92　その他の事業サービス業,5,2,- ,3,4,2
Ｒ93　政治・経済・文化団体,1,-,- ,- ,3,2
Ｒ94　宗教,1,-,- ,- ,1,- 
Ｒ95　その他のサービス業,-,2,1,- ,1,2
Ｒ96　外国公務,-,-,- ,1,- ,- 
