1,"東京都生計分析調査　令和 4年 7月","","","","","","","","",""
2,"","","主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―","","","","","","",""
3,"","","エンゲル係数  　 　　〔＝（食料費÷消費支出） ×１００〕","","","","","","",""
4,"年次・月次コード","年次・月次","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
5,"nen","平成27年平均",25.6,45.2,37.2,33.2,29.9,28.6,25.2,15.7
6,"nen","平成28年平均",26.4,48.5,39.2,34.5,31.7,29.4,25.6,15.9
7,"nen","平成29年平均",26.1,48.0,39.1,34.6,31.4,29.0,25.8,15.5
8,"nen","平成30年平均",26.7,49.5,38.5,35.2,32.3,29.5,26.0,16.1
9,"nen","平成31年・令和元年平均",26.9,49.4,40.9,36.3,32.3,29.3,25.3,16.4
10,"nen","令和 2年平均",28.2,50.2,41.6,36.9,33.2,31.1,27.9,17.3
11,"nen","令和 3年平均",28.0,49.1,42.4,37.2,34.4,31.3,27.6,16.8
12,"tuki","令和 3年 7月",29.4,46.9,41.9,36.9,37.1,32.1,28.2,18.5
13,"tuki","令和 3年 8月",30.5,47.2,41.6,40.8,35.1,33.0,30.4,19.3
14,"tuki","令和 3年 9月",28.7,49.7,44.2,40.2,33.5,30.9,27.7,18.1
15,"tuki","令和 3年10月",27.5,49.2,43.0,37.3,33.7,32.0,26.9,15.9
16,"tuki","令和 3年11月",26.7,49.4,40.0,33.6,31.9,30.6,27.1,15.9
17,"tuki","令和 3年12月",29.5,48.8,45.1,40.6,33.0,31.7,28.2,19.1
18,"tuki","令和 4年 1月",26.1,44.6,39.2,35.0,30.3,29.4,26.9,15.4
19,"tuki","令和 4年 2月",27.3,47.0,39.5,35.7,32.7,31.0,26.8,16.4
20,"tuki","令和 4年 3月",27.1,47.9,40.5,35.3,31.1,30.3,25.0,17.6
21,"tuki","令和 4年 4月",23.6,47.6,40.5,34.8,32.2,30.2,23.9,11.6
22,"tuki","令和 4年 5月",27.9,49.0,43.1,35.8,34.9,32.8,27.7,16.2
23,"tuki","令和 4年 6月",29.4,53.9,42.3,36.5,34.5,31.6,27.9,18.8
24,"tuki","令和 4年 7月",28.4,51.9,42.9,39.3,34.3,32.8,27.0,16.7
