1,"東京都生計分析調査　令和 4年12月","","","","","","","","",""
2,"","","主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―","","","","","","",""
3,"","","平均消費性向　　　〔＝（消費支出÷可処分所得） ×１００〕","","","","","","",""
4,"年次・月次コード","年次・月次","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
5,"nen","平成28年平均",73.7,364.0,110.1,84.4,77.5,77.6,69.1,44.3
6,"nen","平成29年平均",77.9,266.3,115.4,93.7,81.7,78.3,77.3,46.7
7,"nen","平成30年平均",70.3,227.3,90.1,87.2,78.1,73.4,70.5,41.6
8,"nen","平成31年・令和元年平均",66.8,189.6,102.8,77.5,74.0,74.5,67.4,36.5
9,"nen","令和 2年平均",61.2,228.2,85.9,74.3,68.7,64.7,59.4,34.9
10,"nen","令和 3年平均",61.2,169.7,83.2,74.1,70.3,68.0,62.0,36.3
11,"nen","令和 4年平均",63.6,216.9,83.5,76.1,72.0,74.5,59.6,38.1
12,"tuki","令和 3年12月",40.9,122.6,66.4,66.3,40.3,47.3,30.9,26.3
13,"tuki","令和 4年 1月",81.7,494.7,104.4,69.6,82.7,65.5,82.4,61.5
14,"tuki","令和 4年 2月",63.9,143.0,62.4,57.6,60.6,64.7,62.5,53.6
15,"tuki","令和 4年 3月",71.7,329.7,90.9,67.6,73.8,65.0,73.1,55.8
16,"tuki","令和 4年 4月",84.8,271.8,68.6,72.2,92.4,70.1,89.5,76.9
17,"tuki","令和 4年 5月",74.8,335.7,82.6,78.9,70.1,73.3,71.4,57.9
18,"tuki","令和 4年 6月",38.3,176.2,52.9,65.7,63.8,51.3,29.7,19.2
19,"tuki","令和 4年 7月",60.8,407.2,93.1,70.9,70.4,74.1,53.9,32.3
20,"tuki","令和 4年 8月",73.7,218.5,95.3,86.4,73.4,74.2,64.6,52.2
21,"tuki","令和 4年 9月",77.0,247.0,93.1,81.4,77.8,76.4,66.9,59.0
22,"tuki","令和 4年10月",73.3,149.2,82.0,77.4,81.7,61.3,56.7,68.1
23,"tuki","令和 4年11月",77.9,288.8,108.9,80.7,81.1,80.5,61.9,56.4
24,"tuki","令和 4年12月",37.8,131.1,70.6,74.1,39.4,32.5,27.1,25.2
