町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,980,739,756,1495
両国二丁目,1366,1071,1093,2164
両国三丁目,1295,955,1017,1972
両国四丁目,1347,1078,1046,2124
千歳一丁目,974,801,854,1655
千歳二丁目,634,559,496,1055
千歳三丁目,1450,1221,1194,2415
緑一丁目,1830,1549,1491,3040
緑二丁目,1781,1637,1739,3376
緑三丁目,1717,1480,1469,2949
緑四丁目,2851,2403,2287,4690
立川一丁目,893,642,700,1342
立川二丁目,877,721,682,1403
立川三丁目,1049,842,876,1718
立川四丁目,1055,806,818,1624
菊川一丁目,996,830,903,1733
菊川二丁目,1470,1084,1256,2340
菊川三丁目,2243,1897,1962,3859
江東橋一丁目,976,750,738,1488
江東橋二丁目,1443,1196,1138,2334
江東橋三丁目,645,482,331,813
江東橋四丁目,1774,1291,1289,2580
江東橋五丁目,1666,1487,1503,2990
横網一丁目,154,170,150,320
横網二丁目,714,599,605,1204
亀沢一丁目,1239,1054,1067,2121
亀沢二丁目,1060,902,1037,1939
亀沢三丁目,1043,1075,1032,2107
亀沢四丁目,1515,1359,1340,2699
石原一丁目,1583,1256,1294,2550
石原二丁目,1474,1295,1290,2585
石原三丁目,1741,1562,1414,2976
石原四丁目,1487,1361,1303,2664
本所一丁目,1608,1459,1464,2923
本所二丁目,913,780,851,1631
本所三丁目,1032,897,917,1814
本所四丁目,1417,1269,1214,2483
東駒形一丁目,866,671,690,1361
東駒形二丁目,854,763,767,1530
東駒形三丁目,929,763,760,1523
東駒形四丁目,1436,1164,1248,2412
吾妻橋一丁目,1362,1055,1149,2204
吾妻橋二丁目,922,682,749,1431
吾妻橋三丁目,882,809,860,1669
錦糸一丁目,1432,1077,1071,2148
錦糸二丁目,469,364,320,684
錦糸三丁目,489,388,358,746
錦糸四丁目,1022,894,934,1828
太平一丁目,1958,1826,1802,3628
太平二丁目,942,777,656,1433
太平三丁目,862,694,659,1353
太平四丁目,2677,2366,2487,4853
横川一丁目,817,855,764,1619
横川二丁目,947,797,715,1512
横川三丁目,670,589,568,1157
横川四丁目,769,665,616,1281
横川五丁目,1471,1242,1649,2891
業平一丁目,1562,1436,1603,3039
業平二丁目,839,726,632,1358
業平三丁目,858,687,686,1373
業平四丁目,1207,924,1039,1963
業平五丁目,1213,1109,1227,2336
向島一丁目,1379,1129,1137,2266
向島二丁目,1571,1292,1416,2708
向島三丁目,2588,2252,2257,4509
向島四丁目,1364,1274,1358,2632
向島五丁目,2562,2167,2139,4306
東向島一丁目,1774,1587,1565,3152
東向島二丁目,2880,2462,2629,5091
東向島三丁目,1708,1683,1728,3411
東向島四丁目,1988,1737,1816,3553
東向島五丁目,2151,1862,2016,3878
東向島六丁目,3026,2766,2787,5553
堤通一丁目,1132,1174,1114,2288
堤通二丁目,2101,1890,2392,4282
墨田一丁目,1462,1505,1676,3181
墨田二丁目,2037,1976,1950,3926
墨田三丁目,2027,1838,1852,3690
墨田四丁目,2449,2352,2423,4775
墨田五丁目,1572,1417,1422,2839
押上一丁目,1357,1056,1173,2229
押上二丁目,2021,1777,1944,3721
押上三丁目,2316,2185,2174,4359
京島一丁目,3612,3409,3694,7103
京島二丁目,972,933,841,1774
京島三丁目,2313,2147,2072,4219
文花一丁目,3014,2591,3119,5710
文花二丁目,1321,1159,1241,2400
文花三丁目,1199,1358,1323,2681
八広一丁目,1844,1737,1658,3395
八広二丁目,2132,2116,2061,4177
八広三丁目,1842,1837,1715,3552
八広四丁目,2258,2217,2177,4394
八広五丁目,1589,1452,1481,2933
八広六丁目,2106,2069,1980,4049
立花一丁目,3520,3084,3289,6373
立花二丁目,921,837,813,1650
立花三丁目,1642,1492,1543,3035
立花四丁目,1870,1874,1810,3684
立花五丁目,1891,2141,2090,4231
立花六丁目,1173,1108,1226,2334
東墨田一丁目,73,78,62,140
東墨田二丁目,738,698,646,1344
東墨田三丁目,401,419,399,818
