年月,西暦（年）,月,総合,財,財／生鮮食品を除く財,財／農水畜産物,財／農水畜産物／生鮮商品,財／農水畜産物／他の農水畜産物,財／農水畜産物／うち米類,財／工業製品,財／工業製品／大企業性製品,財／工業製品／中小企業性製品,財／工業製品／食料工業製品,財／工業製品／繊維製品,財／工業製品／石油製品,財／工業製品／他の工業製品,財／電気・都市ガス・水道,財／出版物,サービス,サービス/持家の帰属家賃を除くサービス,サービス/公共サービス,サービス/一般サービス,サービス／一般サービス／外食,サービス／一般サービス／民営家賃,サービス／一般サービス／持家の帰属家賃,サービス／一般サービス／他のサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
前年（度）比（％）／平成16年平均,2004,,-0.1,-0.2,-0.4,2.9,1.6,11.1,11.3,-0.7,-1.5,-0.1,-0.5,-0.4,4.3,-1.6,-1.1,0.4,-0.1,0.1,-0.3,0,0.8,0,-0.4,0,-4.1,-0.3,0.4,-0.3
前年（度）比（％）／平成17年平均,2005,,-0.5,-1,-0.7,-3.8,-2.3,-13,-13.2,-0.3,-0.8,0.1,0,0,8.7,-1.7,-2,0.4,-0.1,-0.3,-1.1,0.2,0.2,-0.7,0.2,0.3,-3.4,-0.1,-1.1,-1.4
前年（度）比（％）／平成18年平均,2006,,0.1,0.3,-0.1,2.4,2.9,-1.9,-1.9,-0.5,-1.4,0.4,-0.5,0.1,9.4,-1.7,2.2,0.4,0.1,0.1,0,0.1,0.3,-0.2,0.1,0,-6.8,0.5,1,0.7
前年（度）比（％）／平成19年平均,2007,,0.1,-0.3,-0.4,0.5,0.9,-2.1,-2.2,-0.8,-1.1,-0.3,-0.1,-1.5,3.1,-1.7,1.2,0.4,0.2,0.2,0.3,0.2,0.4,-0.4,0.2,0.4,-6.2,-0.4,0.4,0.6
前年（度）比（％）／平成16年度平均,2004,,-0.1,-0.1,-0.5,2.3,3.1,-1.8,-1.9,-0.5,-1.3,0.2,-0.3,0.2,6.7,-1.8,-2.2,0.5,-0.1,-0.1,-0.9,0.1,0.9,-0.1,-0.2,0.3,-3.9,-0.1,0.3,-1.2
前年（度）比（％）／平成17年度平均,2005,,-0.4,-0.9,-0.4,-3.9,-3.3,-8.3,-8.5,-0.2,-0.7,0.1,-0.1,0.1,8.9,-1.5,-0.5,0.4,-0.1,-0.1,-0.6,0.1,0,-0.7,0.2,0.3,-3.3,0.3,-0.9,-0.5
前年（度）比（％）／平成18年度平均,2006,,0.3,0.3,-0.1,2.5,3.1,-1.6,-1.5,-0.5,-1.2,0.5,-0.3,-0.2,6.7,-1.3,1.8,0.4,0.1,0.1,-0.1,0.3,0.4,-0.2,0.1,0.3,-6.2,0.4,1.1,0.6
前年（度）比（％）／平成19年度平均,2007,,0.1,-0.1,-0.1,0.8,1.2,-3,-3.2,-0.5,-0.7,-0.4,0.1,-1.4,7.5,-1.8,1.2,0.3,0.3,0.3,0.4,0.2,0.5,-0.4,0.2,0.4,-6.3,-0.5,0.7,0.7
月別指数／平成19年7月,2007,7,99.9,99.2,98.9,101.2,101.9,96.1,96.1,98,97.3,98.9,99.4,95.8,114,96,102.9,100.7,100.4,100.5,100.4,100.4,100.8,99.2,100.2,100.7,86.9,98.1,100.9,101.3
月別指数／平成19年8月,2007,8,100.3,99.6,98.8,104.4,105.5,96,96,97.8,97.5,98.2,99.3,93.9,116.7,96.2,102.9,100.9,100.9,101.2,101,100.8,100.8,99.2,100.2,102,86.3,97.1,101.8,101.7
月別指数／平成19年9月,2007,9,100.5,100.4,99.5,106.1,107.5,95.6,95.5,98.7,97.4,100.2,99.2,100.1,115.6,96,102.9,100.7,100.5,100.5,100.2,100.6,100.8,99.3,100.4,100.9,86.2,101,102,101.1
月別指数／平成19年10月,2007,10,100.6,100.7,99.9,105.6,107,95.2,95.1,99.1,97.5,100.8,99.3,101.6,116.8,96.1,103.7,100.8,100.5,100.5,100.2,100.5,100.8,99.3,100.4,100.9,86.2,101.9,102.1,101.4
月別指数／平成19年11月,2007,11,100.3,100.1,100.2,99.9,100.7,93.7,93.5,99.5,97.8,101.5,99.3,102.9,121.5,96.3,103.7,100.8,100.4,100.4,100.2,100.4,100.9,99.3,100.4,100.5,85.3,102.9,101.1,101.4
月別指数／平成19年12月,2007,12,100.5,100.4,100.3,101.3,102.3,94,93.9,99.6,97.8,101.6,99.6,102.3,126.3,95.9,103.7,100.8,100.5,100.5,100.5,100.5,100.9,99.4,100.5,100.6,84.5,102.5,101.7,101.6
月別指数／平成20年1月,2008,1,100.2,100,99.6,103.3,104.6,92.8,92.6,98.4,97.8,99.1,100,94.2,125.1,96,104.9,100.8,100.3,100.2,100.6,100.2,101,99.4,100.4,99.9,84.2,97.6,102.5,101.9
月別指数／平成20年2月,2008,2,99.9,99.4,99.2,101.8,102.9,93.1,92.8,97.9,97.8,98,100.2,91.2,124,95.8,104.9,100.7,100.2,100.1,100.3,100.2,101.3,99.4,100.4,99.7,83.7,95.8,102.2,101.7
月別指数／平成20年3月,2008,3,100.5,100.5,100.1,103.8,105.2,93.2,93,98.9,97.8,100.2,100.6,96,124.5,96,104.9,100.7,100.4,100.5,100.6,100.4,101.7,99.4,100.4,100.2,84.2,98.8,102.8,101.9
月別指数／平成20年4月,2008,4,100.8,101.1,100.7,103.7,105.2,92.9,92.7,99.4,97.4,101.8,101.7,99.2,110.2,96,107.2,101.1,100.7,100.8,100.1,100.8,102.2,99.5,100.5,101.1,83.9,100.8,103.2,102.2
月別指数／平成20年5月,2008,5,101.3,101.8,101.4,104.1,105.6,92.6,92.3,100.5,98.7,102.4,102.2,100.2,129.9,95.9,106.7,101,100.9,100.9,100.4,101,102.3,99.5,100.8,101.2,83.6,101.3,104,102.3
月別指数／平成20年6月,2008,6,101.6,102.5,101.9,105.3,106.8,93.4,93.1,101.2,99.6,103,103.3,99.9,139.8,95.7,106.7,101,100.9,101,100.3,101.1,102.5,99.5,100.8,101.3,82.8,101.3,105,102.2
月別指数／平成20年7月,2008,7,101.5,102,101.9,102.8,104,93.9,93.6,100.7,99.8,101.8,103.5,95.7,147,95.5,108.9,100.9,101.1,101.3,100.6,101.2,103,99.4,100.7,101.6,82.3,98.6,105.2,103
前月比（％）／平成19年7月,2007,7,-0.2,-0.8,-0.8,-0.4,-0.4,-0.2,-0.2,-1,-0.1,-1.9,0,-4.8,1.6,-0.6,-0.4,-0.1,0.2,0.3,0.3,0.1,0.2,-0.1,0,0.3,-0.3,-3.1,-0.2,0.1
前月比（％）／平成19年8月,2007,8,0.4,0.4,-0.1,3.2,3.5,-0.1,-0.1,-0.2,0.2,-0.7,-0.1,-2,2.4,0.2,0,0.2,0.5,0.7,0.6,0.4,0,0,0,1.3,-0.7,-1,0.9,0.4
前月比（％）／平成19年9月,2007,9,0.2,0.8,0.7,1.6,1.9,-0.4,-0.5,0.9,-0.1,2,-0.1,6.6,-0.9,-0.2,0,-0.2,-0.4,-0.7,-0.8,-0.2,0,0.1,0.2,-1.1,-0.1,4,0.2,-0.6
前月比（％）／平成19年10月,2007,10,0.1,0.3,0.4,-0.5,-0.5,-0.4,-0.4,0.4,0.1,0.6,0.1,1.5,1,0.1,0.8,0.1,0,0,0,-0.1,0,0,0,0,0,0.9,0.1,0.3
前月比（％）／平成19年11月,2007,11,-0.3,-0.6,0.3,-5.4,-5.9,-1.6,-1.7,0.4,0.3,0.7,0,1.3,4,0.2,0,0,-0.1,-0.1,0,-0.1,0.1,0,0,-0.4,-1,1,-1,0
前月比（％）／平成19年12月,2007,12,0.2,0.3,0.1,1.4,1.6,0.3,0.4,0.1,0,0.1,0.3,-0.6,4,-0.4,0,0,0.1,0.1,0.3,0.1,0,0.1,0.1,0.1,-0.9,-0.4,0.6,0.2
前月比（％）／平成20年1月,2008,1,-0.3,-0.4,-0.7,2,2.2,-1.3,-1.4,-1.2,0,-2.5,0.4,-7.9,-1,0.1,1.2,0,-0.2,-0.3,0.1,-0.3,0.1,0,-0.1,-0.7,-0.4,-4.8,0.8,0.3
前月比（％）／平成20年2月,2008,2,-0.3,-0.6,-0.4,-1.5,-1.6,0.3,0.2,-0.5,0,-1.1,0.2,-3.2,-0.9,-0.2,0,-0.1,-0.1,-0.1,-0.3,0,0.3,0,0,-0.2,-0.6,-1.8,-0.3,-0.2
前月比（％）／平成20年3月,2008,3,0.6,1.1,0.9,2,2.2,0.1,0.2,1,0,2.2,0.4,5.3,0.4,0.2,0,0,0.2,0.4,0.3,0.2,0.4,0,0,0.5,0.6,3.1,0.6,0.2
前月比（％）／平成20年4月,2008,4,0.3,0.6,0.6,-0.1,0,-0.3,-0.3,0.5,-0.4,1.6,1.1,3.3,-11.5,0,2.2,0.4,0.3,0.3,-0.5,0.4,0.5,0.1,0.1,0.9,-0.4,2,0.4,0.3
前月比（％）／平成20年5月,2008,5,0.5,0.7,0.7,0.4,0.4,-0.3,-0.4,1.1,1.3,0.6,0.5,1,17.9,-0.1,-0.5,-0.1,0.2,0.1,0.3,0.2,0.1,0,0.3,0.1,-0.4,0.5,0.8,0.1
前月比（％）／平成20年6月,2008,6,0.3,0.7,0.5,1.2,1.1,0.9,0.9,0.7,0.9,0.6,1.1,-0.3,7.6,-0.2,0,0,0,0.1,-0.1,0.1,0.2,0,0,0.1,-1,0,1,-0.1
前月比（％）／平成20年7月,2008,7,-0.1,-0.5,0,-2.4,-2.6,0.5,0.5,-0.5,0.2,-1.2,0.2,-4.2,5.2,-0.2,2.1,-0.1,0.2,0.3,0.3,0.1,0.5,-0.1,-0.1,0.3,-0.6,-2.7,0.2,0.8
前月比寄与度,,,-0.10 ,-0.21 ,0.00 ,-0.16 ,-0.16 ,0.00 ,0.00 ,-0.14 ,0.03 ,-0.16 ,0.02 ,-0.19 ,0.07 ,-0.02 ,0.11 ,0.00 ,0.12 ,0.12 ,0.04 ,0.04 ,0.03 ,0.00 ,-0.02 ,0.05 ,-0.02 ,-0.20 ,0.06 ,0.15 
前年同月比（％）／平成19年7月,2007,7,-0.1,-0.4,-0.5,0.7,1.2,-2.6,-2.7,-0.9,-1.3,-0.3,0.1,-1.1,3.1,-2.2,0.7,0.2,0.2,0.2,0.3,0.1,0.4,-0.6,0.2,0.1,-6.4,-0.4,0.2,0.4
前年同月比（％）／平成19年8月,2007,8,-0.3,-1,-0.6,-2.1,-2,-2.2,-2.3,-1.1,-1.4,-0.7,0.1,-2.4,0.7,-2,0.7,0.2,0.3,0.3,0.5,0.2,0.4,-0.6,0.2,0.4,-6.5,-1,-0.4,0.5
前年同月比（％）／平成19年9月,2007,9,-0.1,-0.7,-0.8,1,1.3,-1.5,-1.7,-1.3,-1.3,-1.2,-0.2,-2.2,-0.4,-2.1,0.7,0.3,0.3,0.3,0.4,0.3,0.4,-0.4,0.3,0.2,-6.2,-1.1,0.1,0.5
前年同月比（％）／平成19年10月,2007,10,0.1,-0.3,-0.6,2.3,2.9,-1.6,-1.7,-1.1,-1.1,-1.3,-0.3,-2.5,2.8,-1.9,1.3,0.3,0.3,0.2,0.2,0.2,0.4,-0.3,0.3,0.2,-6,-1.2,0.6,0.6
前年同月比（％）／平成19年11月,2007,11,0.3,0.1,-0.2,2.4,3.2,-3.8,-4,-0.7,-0.6,-0.7,-0.4,-1.2,11,-1.8,1.3,0.3,0.4,0.4,0.3,0.4,0.5,-0.2,0.4,0.4,-6.6,-0.4,0.9,0.6
前年同月比（％）／平成19年12月,2007,12,0.4,0.3,0.1,1.6,2.3,-3.1,-3.2,-0.2,-0.1,-0.4,0.2,-1.7,16.8,-1.7,1.3,0.1,0.4,0.4,0.4,0.4,0.4,-0.2,0.4,0.4,-6.7,-0.7,1.2,0.6
前年同月比（％）／平成20年1月,2008,1,0.3,0.1,0.4,-0.9,-0.5,-5,-5.2,0.2,0.3,0,0.6,-1.1,17.1,-1.5,1.3,0,0.4,0.5,0.5,0.3,0.6,-0.3,0.1,0.7,-6.3,-0.3,0.9,0.7
前年同月比（％）／平成20年2月,2008,2,0.4,0.3,0.3,1.1,1.7,-4,-4.3,0,0.4,-0.4,0.6,-1.9,18.8,-1.6,1.3,0.1,0.4,0.5,0.4,0.5,1,-0.2,0.1,0.7,-6.7,-0.7,1.4,0.6
前年同月比（％）／平成20年3月,2008,3,0.6,0.8,0.8,1.3,1.9,-4.3,-4.6,0.6,0.5,0.7,1.1,0.3,19.7,-1.5,1.3,0,0.4,0.6,0.4,0.5,1.1,-0.2,0.2,0.7,-5.4,0.4,1.6,0.6
前年同月比（％）／平成20年4月,2008,4,0.6,0.8,0.9,0.5,1.1,-3.9,-4.1,0.4,0,0.9,2.1,-1.5,4.6,-1.1,3.8,0.4,0.5,0.6,0,0.5,1.7,0,0.2,0.8,-5.5,-0.5,1.9,1
前年同月比（％）／平成20年5月,2008,5,0.9,1.4,1.5,0.6,1.1,-3.2,-3.6,1.3,1.2,1.3,2.7,-1.3,18.3,-1,3.3,0.3,0.5,0.5,0.2,0.6,1.7,0.1,0.5,0.6,-5.2,-0.6,2.5,1
前年同月比（％）／平成20年6月,2008,6,1.5,2.5,2.2,3.6,4.4,-3,-3.3,2.2,2.3,2.2,3.9,-0.7,24.6,-0.9,3.3,0.2,0.7,0.8,0.2,0.8,1.9,0.2,0.6,0.9,-5,0.1,3.9,1
前年同月比（％）／平成20年7月,2008,7,1.6,2.8,3,1.6,2.1,-2.3,-2.6,2.8,2.6,2.9,4.1,-0.1,28.9,-0.5,5.8,0.2,0.7,0.8,0.2,0.8,2.2,0.2,0.5,0.9,-5.3,0.5,4.3,1.7
前年同月比寄与度,,,1.60 ,1.17 ,1.14 ,0.11 ,0.12 ,-0.02 ,-0.02 ,0.77 ,0.38 ,0.39 ,0.50 ,-0.01 ,0.33 ,-0.05 ,0.30 ,0.00 ,0.41 ,0.32 ,0.03 ,0.36 ,0.14 ,0.01 ,0.09 ,0.15 ,-0.16 ,0.04 ,1.32 ,0.32 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成２０年７月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．東京都区部消費者物価財・サービス分類指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
