年月,西暦（年）,月,消費者物価指数（平成17年基準）/全国,消費者物価指数（平成17年基準）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,1)消費水準指数全国(平成17年=100）/二人以上の世帯,1)消費水準指数全国(平成17年=100）/二人以上の世帯のうち勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/3)平均消費性向（％）,生計（東京都勤労者世帯）/4)公共的料金負担率（％）,2)実質賃金指数/調査産業計
昭和62年平均,1987,,88.7,89.6,1599.3,719.3,98.2,97.1,534700,336659,76.2,25.4,…
昭和63年平均,1988,,89.3,90.5,1615.1,712.1,101.2,100.3,552315,344943,75.4,25.8,…
平成元年平均,1989,,91.3,92.9,1659.3,730.4,102.4,101.4,567395,350986,73.8,25.5,…
平成2年平均,1990,,94.1,95.8,1709.8,745.4,103.8,103.2,611320,373462,73.4,25.2,…
平成3年平均,1991,,97.3,98.9,1766.2,741.3,105.7,104.1,630856,389877,74.4,24.8,…
平成4年平均,1992,,98.9,100.9,1800.4,729.3,106.1,104.5,646147,392114,73.2,25.1,…
平成5年平均,1993,,100.2,102.1,1822.6,708.1,106.2,104.7,677044,397896,71.6,26.2,…
平成6年平均,1994,,100.8,102.8,1834.6,693.7,105.2,103.6,669665,395193,70.9,27,…
平成7年平均,1995,,100.7,102.5,1829.5,687.2,104.8,103.4,648892,380868,70.7,27.8,…
平成8年平均,1996,,100.8,102.5,1829.5,688,105.3,104.2,629627,379877,72.6,28.5,…
平成9年平均,1997,,102.7,103.8,1853.3,698.4,105.4,104.6,655940,386106,71.7,28.9,…
平成10年平均,1998,,103.3,104.6,1867.9,687.5,103.2,102.9,656646,377118,69.2,27.4,…
平成11年平均,1999,,103,104.2,1860.6,664.3,102.1,100.9,642848,366762,68.5,28.2,…
平成12年平均,2000,,102.2,103.2,1842.3,664.2,101.4,100.4,643946,372835,69.7,28.9,…
平成13年平均,2001,,101.5,102.1,1822,658,100.2,100,628068,364721,69.8,29.5,…
平成14年平均,2002,,100.6,101,1803.6,645.7,100.5,99.5,633711,361608,68.2,29.4,…
平成15年平均,2003,,100.3,100.6,1796.2,637.3,99.8,98.6,583065,355982,73.2,29.8,95.1
平成16年平均,2004,,100.3,100.5,1794.4,644.7,100,99.9,596372,362122,72.7,30.1,97.1
平成17年平均,2005,,100,100,1785.2,665,100,100,578340,352303,72.8,29.5,100
平成18年平均,2006,,100.3,100.1,1787,692.5,98,97.1,585818,350664,72.4,29.5,100.6
平成19年平均,2007,,100.3,100.2,1788.8,712,98.9,97.8,574514,346256,73,29.9,102.2
平成18年1月,2006,1,100,99.8,1781.6,677.9,96.3,97,464348,340706,87,30.2,80.9
