#LINK
#lang	ja
#attribution_name	新宿区役所情報システム課
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	201910_tyotyobetu_jinkotokei
#download_from	http://linkdata.org/work/rdf1s7742i
#property	世帯数	男	女	計
#object_type_xsd	int	int	int	int
#property_context	Assertion	Assertion	Assertion	Assertion
四谷１丁目	247	203	278	481
四谷２丁目	262	211	230	441
四谷３丁目	285	201	227	428
四谷４丁目	2251	1807	1638	3445
四谷本塩町	315	242	246	488
四谷三栄町	1096	952	1039	1991
四谷坂町	1540	1198	1192	2390
若葉１丁目	1433	1322	1259	2581
若葉２丁目	440	387	405	792
若葉３丁目	645	490	517	1007
須賀町	845	721	687	1408
左門町	1037	712	850	1562
信濃町	628	431	549	980
南元町	1392	1197	1344	2541
荒木町	1709	1267	1277	2544
舟町	989	684	693	1377
愛住町	933	729	715	1444
大京町	2210	1696	2001	3697
霞ヶ丘町	0	0	0	0
内藤町	745	679	608	1287
片町	252	185	173	358
新宿１丁目	3063	2158	1964	4122
新宿２丁目	898	669	516	1185
新宿３丁目	107	92	59	151
新宿４丁目	216	172	112	284
新宿５丁目	2111	1476	1157	2633
新宿６丁目	3171	2322	2035	4357
新宿７丁目	4353	3520	3225	6745
歌舞伎町１丁目	179	143	61	204
歌舞伎町２丁目	1906	1446	829	2275
市谷田町１丁目	16	8	18	26
市谷田町２丁目	341	249	348	597
市谷田町３丁目	206	160	198	358
市谷本村町	1808	1615	1009	2624
市谷砂土原町１丁目	108	98	122	220
市谷砂土原町２丁目	262	213	263	476
市谷砂土原町３丁目	475	493	516	1009
市谷左内町	228	203	227	430
市谷加賀町１丁目	21	14	20	34
市谷加賀町２丁目	1044	733	1093	1826
市谷甲良町	430	390	427	817
市谷船河原町	78	89	93	182
市谷長延寺町	95	46	89	135
市谷鷹匠町	16	17	18	35
市谷山伏町	294	266	279	545
市谷八幡町	61	54	60	114
神楽坂１丁目	13	13	16	29
神楽坂２丁目	139	87	125	212
神楽坂３丁目	285	229	210	439
神楽坂４丁目	98	82	98	180
神楽坂５丁目	395	317	402	719
神楽坂６丁目	563	380	480	860
細工町	267	218	227	445
二十騎町	400	324	363	687
揚場町	55	48	53	101
津久戸町	69	51	47	98
東五軒町	1161	1017	1173	2190
西五軒町	995	855	874	1729
赤城元町	234	184	216	400
南榎町	736	705	737	1442
袋町	374	327	346	673
払方町	497	487	546	1033
南町	382	388	416	804
北町	523	492	522	1014
納戸町	579	493	571	1064
南山伏町	368	329	309	638
北山伏町	389	262	311	573
白銀町	749	623	762	1385
下宮比町	153	94	122	216
矢来町	2583	2202	2521	4723
若宮町	555	489	529	1018
岩戸町	429	292	331	623
中町	264	255	262	517
箪笥町	427	283	332	615
横寺町	598	452	478	930
筑土八幡町	518	384	484	868
新小川町	2028	1647	1658	3305
神楽河岸	0	0	0	0
市谷薬王寺町	2119	1613	1741	3354
市谷柳町	889	610	700	1310
市谷仲之町	1315	1198	1334	2532
赤城下町	775	620	590	1210
天神町	741	523	595	1118
榎町	502	340	349	689
東榎町	263	166	185	351
早稲田町	870	592	676	1268
早稲田南町	478	416	406	822
馬場下町	335	270	257	527
原町１丁目	919	697	811	1508
原町２丁目	708	668	633	1301
原町３丁目	1171	887	1066	1953
喜久井町	1131	997	982	1979
築地町	328	262	286	548
弁天町	2044	1652	1740	3392
中里町	353	332	365	697
山吹町	2419	1696	1900	3596
改代町	410	330	301	631
水道町	704	482	503	985
早稲田鶴巻町	3969	2862	2952	5814
住吉町	1808	1355	1423	2778
市谷台町	908	742	698	1440
河田町	1549	1456	1540	2996
若松町	3450	2844	3044	5888
余丁町	2551	2051	2134	4185
戸山１丁目	1589	1239	1361	2600
戸山２丁目	3277	2121	3289	5410
戸山３丁目	565	458	457	915
富久町	4213	3648	3632	7280
百人町１丁目	3261	2374	1688	4062
百人町２丁目	3683	2764	2201	4965
百人町３丁目	2608	2598	2890	5488
百人町４丁目	1644	1191	1571	2762
大久保１丁目	3271	2248	2046	4294
大久保２丁目	5935	4384	4016	8400
大久保３丁目	2354	2234	2466	4700
戸塚町１丁目	148	93	121	214
西早稲田１丁目	3651	2698	2932	5630
西早稲田２丁目	4133	3089	2982	6071
西早稲田３丁目	4213	3520	3408	6928
高田馬場１丁目	2858	2296	2039	4335
高田馬場２丁目	1291	1004	843	1847
高田馬場３丁目	4225	3190	2764	5954
高田馬場４丁目	4336	3540	3196	6736
下落合１丁目	2011	1362	1261	2623
下落合２丁目	2064	1749	1824	3573
下落合３丁目	2573	2066	2431	4497
下落合４丁目	2711	2222	2393	4615
中落合１丁目	2267	1750	1767	3517
中落合２丁目	2823	2428	2539	4967
中落合３丁目	2432	2047	2185	4232
中落合４丁目	1780	1558	1543	3101
上落合１丁目	3434	2812	2716	5528
上落合２丁目	3347	2570	2440	5010
上落合３丁目	3279	2394	2321	4715
西落合１丁目	2774	2227	2332	4559
西落合２丁目	2580	2114	2127	4241
西落合３丁目	1891	1466	1686	3152
西落合４丁目	1294	1092	1182	2274
中井１丁目	1287	989	806	1795
中井２丁目	1741	1540	1661	3201
北新宿１丁目	5394	3916	3463	7379
北新宿２丁目	3158	2738	2488	5226
北新宿３丁目	4962	3797	3435	7232
北新宿４丁目	4534	3488	3156	6644
西新宿１丁目	35	28	28	56
西新宿２丁目	2	2	5	7
西新宿３丁目	1681	1132	1113	2245
西新宿４丁目	5073	3830	3444	7274
西新宿５丁目	2785	2177	2005	4182
西新宿６丁目	2260	1833	1611	3444
西新宿７丁目	1729	1320	985	2305
西新宿８丁目	2162	1575	1487	3062
合計	221594	174541	173734	348275
