Ａ自治体名（障害者サービス担当館）,拡大読書器,音声拡大読書器,点字プリンタ,カセットレコーダー（例　ソニーＴＣＲＸ１０００Ｔ・２０００Ｔ、その他）,デジタル録音機デジタル録音機　ＤＲ－１,デジタル録音機オタリテック　ＤＸ－５,デジタル録音機オタリテック　ＤＸ－５Ｕ,デジタル録音機その他の機種,デイジー関連ＰＬＥＸＴＡＬＫ　ＰＴＲ１,デイジー関連ＰＬＥＸＴＡＬＫ　ＰＴＲ２,デイジー関連プレクストークポケット　ＰＴＰ１,デイジー関連プレクストークリンクポケット,デイジー関連ＤＡＩＳＹ再生機　ＰＬＥＸＴＡＬＫ　ＰＴＮ１,デイジー関連ＤＡＩＳＹ再生機　ＰＬＥＸＴＡＬＫ　ＰＴＮ２,デイジー関連ＤＡＩＳＹ再生機　ＰＬＥＸＴＡＬＫ　ＰＴＮ３
東京都,2,2,3,10,2,1,1,0,3,3,9,0,0,4,0
千代田区,3,1,0,0,0,0,0,0,0,3,0,0,0,5,0
中央区,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
港区,5,0,0,4,3,0,0,0,2,0,1,0,3,5,0
新宿区（戸山）,1,1,1,5,3,1,0,0,1,4,8,0,3,5,2
文京区,3,2,0,3,0,0,0,0,0,1,0,0,0,2,0
台東区,1,0,0,0,0,0,0,0,0,0,6,0,42,0,0
墨田区,1,1,3,4,4,0,0,2,0,1,0,3,0,4,0
江東区,1,1,1,14,10,0,0,0,0,6,0,0,0,5,0
品川区,1,0,1,2,0,0,0,0,0,0,0,0,3,6,1
目黒区,3,1,2,11,16,0,0,0,1,0,0,0,1,2,0
大田区,3,0,0,10,1,0,0,2,0,0,0,0,0,12,0
世田谷区,2,0,0,0,0,0,0,0,0,1,0,0,0,8,0
渋谷区,1,0,0,3,1,0,0,0,2,3,1,0,2,6,0
中野区,5,0,0,1,1,0,0,0,1,0,0,0,3,3,0
杉並区,0,0,0,12,0,0,0,0,0,0,0,0,4,2,0
豊島区,1,0,2,4,0,0,0,0,0,2,0,0,0,16,0
北区,2,2,1,4,2,0,0,2,0,2,0,0,4,12,0
荒川区,3,1,1,2,9,0,0,0,0,3,0,0,3,13,0
板橋区,5,0,4,5,0,0,0,0,2,1,0,0,10,0,0
練馬区,1,1,1,3,3,0,1,1,0,3,0,0,0,2,0
足立区,2,0,1,0,0,0,0,0,0,7,0,0,0,6,0
葛飾区,3,1,1,0,0,0,0,0,0,2,0,0,3,0,0
江戸川区,4,0,3,5,5,0,0,0,1,3,1,0,0,2,0
八王子市,1,1,0,1,0,0,0,0,0,6,0,0,0,0,0
立川市,3,0,3,6,4,0,0,0,0,1,0,0,2,3,0
武蔵野市,2,2,1,26,2,0,1,0,0,2,0,1,2,5,0
三鷹市,1,1,1,5,4,0,0,0,0,2,0,0,0,3,0
青梅市,2,0,1,2,4,0,0,0,0,0,1,0,4,2,0
府中市,1,1,1,0,1,0,0,0,0,4,0,0,2,4,0
昭島市,1,1,0,6,0,0,1,1,0,2,1,0,2,1,0
調布市,2,0,2,16,3,0,0,0,4,6,4,2,6,9,2
町田市,1,0,2,10,0,0,2,0,0,1,0,0,0,0,0
小金井市,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
小平市,8,0,0,2,1,0,1,0,0,0,0,0,0,5,0
日野市,2,1,1,3,7,0,1,0,1,5,0,0,4,6,0
東村山市(富士見),1,0,0,2,3,0,0,0,0,2,0,0,0,2,0
国分寺市（光）,3,0,0,3,4,0,0,1,0,0,0,0,3,7,0
国立市,0,0,1,8,1,0,0,1,0,8,0,0,5,0,0
福生市,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
狛江市,1,0,0,1,0,0,1,0,1,1,1,0,1,2,0
東大和市,1,0,1,3,0,0,0,0,1,1,0,0,0,0,1
清瀬市,2,1,0,1,3,0,0,0,0,0,1,0,0,2,0
東久留米市,2,0,0,5,1,0,0,0,2,1,0,0,0,4,0
武蔵村山市,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
多摩市（永山）,4,1,2,11,0,0,0,0,1,1,0,2,0,3,0
稲城市,1,1,1,0,0,0,0,0,0,3,0,0,0,2,0
羽村市,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
あきる野市,2,1,1,0,0,0,1,0,0,1,0,0,0,3,0
西東京市（谷戸）,5,0,1,17,1,0,0,0,1,1,0,0,5,4,0
瑞穂町,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
日の出町,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
奥多摩町（古里）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
檜原村,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大島町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神津島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
