測定日,測定位置(高さ m),Ａ１,Ａ２,Ａ３,Ａ４,Ａ５,Ａ６,Ａ７,Ａ８
平成26年 6月25日,1.0,0.05,0.04,0.03,0.03,0.03,0.05,0.04,0.04
平成26年 6月18日,1.0,0.05,0.04,0.03,0.03,0.02,0.05,0.03,0.04
平成26年 6月11日,1.0,0.05,0.04,0.03,0.03,0.02,0.04,0.03,0.04
平成26年 6月4日,1.0,0.06,0.04,0.04,0.03,0.03,0.05,0.04,0.04
平成26年 5月28日,1.0,0.05,0.03,0.03,0.03,0.03,0.04,0.04,0.04
平成26年 5月21日,1.0,0.06,0.05,0.04,0.03,0.03,0.04,0.05,0.04
平成26年 5月14日,1.0,0.07,0.04,0.03,0.03,0.02,0.04,0.04,0.04
平成26年 5月7日,1.0,0.06,0.04,0.03,0.03,0.03,0.04,0.04,0.04
平成26年 4月30日,1.0,0.05,0.04,0.03,0.03,0.03,0.05,0.04,0.04
平成26年 4月23日,1.0,0.06,0.03,0.05,0.03,0.03,0.04,0.04,0.04
平成26年 4月16日,1.0,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04
平成26年 4月9日,1.0,0.06,0.03,0.04,0.03,0.03,0.04,0.05,0.04
平成26年 4月2日,1.0,0.05,0.03,0.04,0.03,0.03,0.04,0.04,0.04
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
