測定日,測定位置(高さ m),B1,B2,B3,B4,B5,B6,B7,B8
平成26年 12月30日,1.0,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.04
平成26年 12月24日,1.0,0.04,0.05,0.04,0.05,0.02,0.03,0.05,0.04
平成26年 12月17日,1.0,0.04,0.05,0.04,0.04,0.03,0.03,0.05,0.04
平成26年 12月10日,1.0,0.03,0.05,0.05,0.04,0.03,0.03,0.04,0.04
平成26年 12月3日,1.0,0.04,0.05,0.04,0.04,0.03,0.02,0.03,0.03
平成26年 11月26日,1.0,0.05,0.06,0.06,0.05,0.04,0.04,0.05,0.06
平成26年 11月19日,1.0,0.03,0.04,0.04,0.04,0.02,0.03,0.04,0.04
平成26年 11月12日,1.0,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.04
平成26年 11月5日,1.0,0.03,0.05,0.04,0.04,0.02,0.02,0.03,0.04
平成26年 10月29日,1.0,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.04
平成26年 10月22日,1.0,0.04,0.06,0.05,0.05,0.03,0.03,0.04,0.05
平成26年 10月15日,1.0,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03
平成26年 10月8日,1.0,0.03,0.04,0.04,0.04,0.02,0.03,0.03,0.04
平成26年 10月1日,1.0,0.04,0.04,0.05,0.05,0.03,0.04,0.05,0.05
