測定日,測定位置(高さ m),B1,B2,B3,B4,B5,B6,B7,B8
平成27年 3月25日,1.0,0.03,0.05,0.04,0.04,0.02,0.03,0.04,0.04
平成27年 3月18日,1.0,0.04,0.04,0.05,0.03,0.02,0.02,0.04,0.04
平成27年 3月11日,1.0,0.03,0.04,0.05,0.04,0.03,0.03,0.04,0.04
平成27年 3月4日,1.0,0.04,0.05,0.05,0.05,0.03,0.03,0.04,0.04
平成27年 2月25日,1.0,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.04
平成27年 2月18日,1.0,0.04,0.05,0.05,0.04,0.02,0.03,0.04,0.04
平成27年 2月10日,1.0,0.03,0.05,0.04,0.04,0.02,0.03,0.04,0.04
平成27年 2月4日,1.0,0.04,0.04,0.04,0.04,0.02,0.03,0.03,0.04
平成27年 1月28日,1.0,0.04,0.05,0.05,0.04,0.03,0.03,0.04,0.05
平成27年 1月21日,1.0,0.03,0.06,0.05,0.04,0.03,0.03,0.03,0.05
平成27年 1月14日,1.0,0.04,0.04,0.04,0.04,0.02,0.02,0.03,0.04
平成27年 1月7日,1.0,0.04,0.05,0.04,0.04,0.02,0.03,0.04,0.04
