実数・増減率,年次コード,年次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主収入（円）,実収入／経常収入／勤め先収入／世帯主収入／うち男（円）,実収入／経常収入／勤め先収入／世帯主収入／定期収入（円）,実収入／経常収入／勤め先収入／世帯主収入／臨時収入（円）,実収入／経常収入／勤め先収入／世帯主収入／賞与（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入／うち女（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／事業・内職収入／家賃収入（円）,実収入／経常収入／事業・内職収入／他の事業収入（円）,実収入／経常収入／事業・内職収入／内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,可処分所得（円）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／食料／穀類（円）,実支出／生計支出／消費支出／食料／魚介類（円）,実支出／生計支出／消費支出／食料／肉類（円）,実支出／生計支出／消費支出／食料／乳卵類（円）,実支出／生計支出／消費支出／食料／野菜・海藻（円）,実支出／生計支出／消費支出／食料／果物（円）,実支出／生計支出／消費支出／食料／油脂・調味料（円）,実支出／生計支出／消費支出／食料／菓子類（円）,実支出／生計支出／消費支出／食料／調理食品（円）,実支出／生計支出／消費支出／食料／飲料（円）,実支出／生計支出／消費支出／食料／酒類（円）,実支出／生計支出／消費支出／食料／外食（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／住居／家賃地代（円）,実支出／生計支出／消費支出／住居／設備修繕・維持（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／光熱・水道／電気代（円）,実支出／生計支出／消費支出／光熱・水道／ガス代（円）,実支出／生計支出／消費支出／光熱・水道／他の光熱（円）,実支出／生計支出／消費支出／光熱・水道／上下水道料（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／家具・家事用品／家庭用耐久財（円）,実支出／生計支出／消費支出／家具・家事用品／室内装備・装飾品（円）,実支出／生計支出／消費支出／家具・家事用品／寝具類（円）,実支出／生計支出／消費支出／家具・家事用品／家事雑貨（円）,実支出／生計支出／消費支出／家具・家事用品／家事用消耗品（円）,実支出／生計支出／消費支出／家具・家事用品／家事サービス（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／被服及び履物／和服（円）,実支出／生計支出／消費支出／被服及び履物／洋服（円）,実支出／生計支出／消費支出／被服及び履物／シャツ・セーター類（円）,実支出／生計支出／消費支出／被服及び履物／下着類（円）,実支出／生計支出／消費支出／被服及び履物／生地・糸類（円）,実支出／生計支出／消費支出／被服及び履物／他の被服（円）,実支出／生計支出／消費支出／被服及び履物／履物類（円）,実支出／生計支出／消費支出／被服及び履物／被服関連サービス（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／保健医療／医薬品（円）,実支出／生計支出／消費支出／保健医療／健康保持用摂取品（円）,実支出／生計支出／消費支出／保健医療／保健医療用品 ・器具（円）,実支出／生計支出／消費支出／保健医療／保健医療サービス（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／交通・通信／交通（円）,実支出／生計支出／消費支出／交通・通信／自動車等関係費（円）,実支出／生計支出／消費支出／交通・通信／通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教育／授業料等（円）,実支出／生計支出／消費支出／教育／教科書・学習参考教材（円）,実支出／生計支出／消費支出／教育／補習教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／教養娯楽／教養娯楽用耐久財（円）,実支出／生計支出／消費支出／教養娯楽／教養娯楽用品（円）,実支出／生計支出／消費支出／教養娯楽／書籍・他の印刷物（円）,実支出／生計支出／消費支出／教養娯楽／教養娯楽サービス（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／消費支出／その他の消費支出／諸雑費（円）,実支出／生計支出／消費支出／その他の消費支出／こづかい（円）,実支出／生計支出／消費支出／その他の消費支出／交際費（円）,実支出／生計支出／消費支出／その他の消費支出／仕送り金（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,平均消費性向（％）,エンゲル係数（％）,選択的支出係数（％）,公共的料金負担率（％）,公共的料金負担率／公共料金等負担率（％）,公共的料金負担率／準公共料金等負担率（％）
Jissu,nen,実数_平成22年,396,3.34,1.56,47.5,615748,607569,577272,525894,505374,437624,3662,84609,42371,41805,9007,5959,4013,1355,591,24338,8179,496013,493268,373533,363141,80444,6824,5723,6868,3758,9247,2661,3288,5893,9168,4242,3289,19483,28533,21606,6927,21911,9592,6524,273,5522,11881,4228,615,671,2781,2580,1006,19128,269,8400,3526,1229,157,1439,2468,1641,13803,2064,1172,2833,7734,42443,12031,15960,14452,29099,20462,632,8005,47225,6039,7857,5210,28119,68676,26564,19128,19997,2986,10392,119735,73.2,22.2,55.7,28.4,17.4,11
Jissu,nen,実数_平成23年,402,3.37,1.55,47.5,565071,557355,530796,475015,452061,408004,3134,63876,47181,46497,8600,3525,1189,1658,678,23035,7716,457212,463261,355402,337458,79519,6806,5391,6771,3657,8766,2572,3301,5918,9163,4645,3256,19275,26425,22385,4040,20711,8843,6248,287,5334,10678,3246,735,716,2573,2595,814,16167,260,6852,2917,1212,184,1292,2180,1271,13493,2002,889,2596,8007,40125,10308,15775,14042,29246,21486,402,7359,39908,3707,7214,4709,24278,61187,23821,15509,19488,2368,17944,107860,73.8,23.6,54.6,30.2,17.7,12.5
Jissu,nen,実数_平成24年,394,3.29,1.59,48,575440,565795,539670,478074,458146,407466,3115,67493,54006,53033,7590,4119,1550,1850,719,22006,9645,463181,472720,360461,348158,80151,6654,5339,6599,3722,8710,2538,3240,5685,9531,4632,3489,20011,28584,21446,7137,22436,9738,7004,320,5374,11281,3272,1394,754,2726,2561,574,17527,223,7315,3376,1232,141,1350,2448,1443,14225,2103,985,2807,8331,43413,11953,17334,14126,27915,20734,426,6755,39868,2934,7415,4263,25256,62758,24589,16938,18729,2501,12304,112259,75.2,23,55.6,29.6,18.3,11.2
Jissu,nen,実数_平成25年,384,3.37,1.64,47.1,578628,570606,549846,482419,465873,408351,3634,70433,59825,57922,7603,2811,1410,564,836,17949,8022,465083,500147,386602,363721,83196,6911,5311,7112,3756,8799,2464,3335,6259,9555,5097,3395,21203,33120,25436,7685,22869,10670,6729,284,5186,11908,3780,720,1157,2757,2804,690,18206,194,7764,3349,1351,165,1401,2629,1353,14311,2161,943,2869,8338,47836,12069,21044,14723,27464,20744,419,6302,40441,2811,7717,4371,25543,64369,25901,14610,19588,4271,22881,113545,78.2,22.9,54.5,30,17.9,12.1
Jissu,nen,実数_平成26年,361,3.35,1.62,48.4,585636,576120,553922,494198,469905,414967,3630,75601,54252,53045,5472,4654,1143,2523,988,17544,9516,465913,476753,357031,353261,83860,6681,5634,7755,3946,9193,2708,3453,6346,10002,4784,3474,19886,29430,22130,7299,22907,10667,6876,295,5068,13005,4524,850,1041,2867,2914,809,18629,370,7692,3449,1355,153,1459,2758,1392,13153,2176,784,2732,7462,46330,11361,20645,14324,25194,18091,365,6739,41353,2811,7991,4038,26514,59400,25599,12960,18056,2785,3770,119723,75.8,23.7,53.9,28.7,17.6,11.1
Jissu,nen,実数_平成27年,373,3.31,1.64,48.5,574733,567024,542219,481340,468465,404193,3795,73352,56596,54745,4283,3756,1439,1646,670,21049,7709,459901,478111,363280,354241,86581,6584,5755,7806,4151,9667,2970,3520,6479,10153,4723,3539,21235,28009,21430,6579,22241,10019,6908,190,5124,11957,3841,882,981,2691,2779,784,18319,310,8295,3196,1253,135,1357,2575,1199,13403,2209,872,2502,7821,42397,10986,16261,15149,30224,23012,426,6786,40164,2246,7374,4172,26373,60946,25747,12952,19290,2959,9039,114831,77,24.4,52.2,29.6,17.4,12.1
Jissu,nen,実数_平成28年,365,3.38,1.68,48.3,605530,599434,572681,493003,470549,412007,3698,77298,71517,69125,8162,5040,3063,1502,474,21713,6096,483888,480773,359130,356829,88441,6661,5605,7929,4428,9424,2955,3563,6519,11059,5124,3198,21977,26752,21147,5606,19634,8796,5560,165,5114,12297,3801,880,1113,2608,3117,778,18337,86,8287,3325,1390,133,1239,2510,1367,13802,2149,1064,2974,7614,39450,11588,12214,15648,34188,25692,332,8165,41175,2412,8414,3865,26484,62752,26671,13420,18407,4254,2301,121642,73.7,24.8,53,29.9,17,12.9
Jissu,nen,実数_平成29年,350,3.33,1.67,49.6,580063,573254,546946,479004,450690,408402,4190,66412,62406,60206,5536,3879,1969,1307,604,22429,6810,467754,482914,370605,364470,88082,6765,5297,8083,4145,9155,2714,3633,6575,11339,4982,3570,21825,27837,19421,8416,20449,9145,5855,176,5273,12250,4121,657,827,2738,3141,767,17369,123,7872,3198,1244,172,1240,2320,1200,13933,2312,1373,2842,7406,47120,11927,19580,15613,32903,24872,415,7617,42284,3356,8218,3776,26935,62242,25215,13461,19599,3968,6135,112309,77.9,24.2,54,28.7,16.8,11.9
Jissu,nen,実数_平成30年,359,3.27,1.71,49.8,632404,626646,592054,503688,481432,409714,5573,88400,77226,76899,11141,7671,4151,2646,874,26921,5757,503418,483473,354487,353941,88365,6836,5127,7988,4071,9265,2740,3606,6805,11571,5241,3085,22031,26641,20097,6545,20830,9631,5756,209,5235,11294,3221,628,973,2591,3033,849,16722,97,7603,2993,1266,114,1169,2405,1074,14161,2110,1070,2823,8158,43335,12330,15275,15730,34420,26504,304,7612,39168,2450,7601,3559,25557,59006,25071,12399,18993,2543,546,128986,70.3,25,52.7,30.1,17.9,12.2
Jissu,nen,実数_平成31年・令和元年,360,3.3,1.7,50.5,673468,662685,624865,523034,497805,420967,5651,96417,88364,86739,13466,7518,3398,2593,1527,30302,10783,539517,501987,368036,360606,90551,6925,5193,7951,4109,8941,2839,3575,7073,11918,5309,3618,23100,26402,18308,8094,21172,9749,6074,237,5111,12628,3625,955,1197,2872,3170,810,16768,162,7728,2980,1168,168,1184,2243,1136,15418,2337,937,2780,9364,46350,13316,18341,14694,32489,24202,385,7903,40890,3301,8383,3651,25556,57937,26231,10653,17012,4041,7430,133951,66.8,25.1,53.3,29.2,18.2,11
