種類,,,,排出量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理／処理量（千t）,中間処理／処理後量（千t）,中間処理／処理後再生利用量（千t）,中間処理／処理後最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,58,0,0,58,48,42,6,42,10,6
燃え殻,,,,0,0,0,0,0,0,0,0,0,0
汚泥,,,,2,0,0,2,1,1,0,1,1,0
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,建設汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,その他の汚泥,,,2,0,0,2,1,1,0,1,1,0
廃油,,,,0,0,0,0,0,0,0,0,0,0
廃酸,,,,0,0,0,0,0,0,0,0,0,0
廃アルカリ,,,,0,0,0,0,0,0,0,0,0,0
廃プラスチック類,,,,16,0,0,16,11,9,2,9,5,2
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0
金属くず,,,,6,0,0,6,6,6,0,6,0,0
ガラス・陶磁器くず,,,,7,0,0,7,6,5,1,5,1,1
鉱さい,,,,0,0,0,0,0,0,0,0,0,0
がれき類,,,,7,0,0,7,7,7,0,7,0,0
がれき類,コンクリート塊,,,4,0,0,4,4,4,0,4,0,0
がれき類,アスファルト･コンクリート塊,,,1,0,0,1,1,1,0,1,0,0
がれき類,その他のがれき類,,,2,0,0,2,2,2,0,2,0,0
石綿含有産業廃棄物,,,,0,0,0,0,0,0,0,0,0,0
ばいじん,,,,0,0,0,0,0,0,0,0,0,0
紙くず,,,,0,0,0,0,0,0,0,0,0,0
木くず,,,,7,0,0,7,6,6,0,6,1,0
繊維くず,,,,0,0,0,0,0,0,0,0,0,0
動植物性残さ,,,,0,0,0,0,0,0,0,0,0,0
動物系固形不要物,,,,0,0,0,0,0,0,0,0,0,0
動物のふん尿,,,,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,12,0,0,12,10,7,3,7,2,3
その他,,,,1,0,0,1,1,1,0,1,0,0
特別管理産業廃棄物,,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃油,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃酸,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃アルカリ,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,感染性廃棄物,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0
