一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
361,葛飾区亀有3-38-17,35.763786,139.850296,JGD2011,環状７号線,c,2002-10-03,2002-10-07,4,4,4.0,1.2,68,67
363,葛飾区東立石2-1-4,35.733753,139.843430,JGD2011,千住小松川葛西沖線,c,2002-10-24,2002-10-28,4,2,4.0,1.8,68,64
364,葛飾区水元3-20-1,35.782383,139.865417,JGD2011,王子金町江戸川線（岩槻街道）,b,2002-10-18,2002-10-21,4,2,4.0,1.2,65,62
365,葛飾区高砂1-2-1,35.741302,139.863144,JGD2011,環状７号線,c,2002-04-23,2002-04-25,4,4,3.0,2.0,71,71
366,葛飾区小菅3-6-17,35.755337,139.824203,JGD2011,千住小松川葛西沖線,c,2002-08-01,2002-08-05,4,2,0.0,1.2,68,63
367,葛飾区小菅2-19-21,35.750191,139.825821,JGD2011,言問大谷田線,c,2002-07-26,2002-07-30,4,4,4.0,1.2,66,60
368,葛飾区奥戸2-37-7,35.734699,139.861832,JGD2011,市川四つ木線,c,2002-09-04,2002-09-09,4,2,3.0,1.8,69,65
369,葛飾区水元5-4-6,35.790070,139.858185,JGD2011,王子金町江戸川線,b,2002-05-22,2002-05-24,4,2,2.0,1.2,70,66
370,葛飾区堀切6-1-1,35.752026,139.827789,JGD2011,言問大谷田線,c,2002-11-14,2002-11-16,4,4,3.0,1.7,70,67
371,葛飾区東金町8-2-21,35.779060,139.883957,JGD2011,松戸草加線,c,2002-05-15,2002-05-17,4,5,6.0,1.2,70,65
372,葛飾区堀切1-42-13,35.741985,139.833939,JGD2011,千住小松川葛西沖線,c,2002-12-12,2002-12-16,4,2,3.0,2.0,70,67
373,葛飾区新小岩1-55-4,35.714241,139.861954,JGD2011,千住小松川葛西沖線,c,2002-09-20,2002-09-25,4,2,4.0,1.2,67,65
375,葛飾区奥戸8-2,35.734505,139.867508,JGD2011,市川四つ木線（奥戸街道）,C,2002-12-02,2002-12-03,4,2,3.0,1.2,71,69
376,葛飾区水元2-1,35.783989,139.854935,JGD2011,王子金町江戸川線,B,2002-12-02,2002-12-03,4,2,1.8,1.2,71,67
377,葛飾区鎌倉3-38,35.748539,139.879196,JGD2011,王子金町江戸川線（柴又街道）,C,2002-12-02,2002-12-03,4,2,2.4,1.2,70,68
378,葛飾区東立石2-1,35.733753,139.843430,JGD2011,千住小松川葛西沖線（平和橋通り）,C,2002-12-02,2002-12-03,4,2,3.3,1.2,69,65
379,葛飾区高砂2-20,35.749195,139.865646,JGD2011,堀切橋金町浄水場線,C,2002-12-02,2002-12-03,4,2,1.4,1.2,69,67
384,江戸川区平井5-4-3,35.705532,139.839294,JGD2011,御徒町小岩線（蔵前橋通り）,c,2002-10-15,2002-10-18,4,4,4.0,2.0,74,73
385,江戸川区西小岩3-2-15,35.734657,139.873581,JGD2011,市川四ツ木線（奥戸街道）,b,2003-01-21,2003-01-24,4,2,4.0,1.0,71,69
386,江戸川区船堀5-7,35.683525,139.871384,JGD2011,東京市川線（新大橋通り）,c,2002-07-02,2002-07-05,4,4,6.0,1.0,68,65
387,江戸川区小松川1-5-6,35.689106,139.850647,JGD2011,東京市川線（新大橋通り）,b,2003-01-28,2003-01-31,4,6,11.0,21.0,73,71
388,江戸川区清新町1-4-2,35.662071,139.852890,JGD2011,新荒川葛西堤防線,a,2002-09-02,2002-09-05,4,4,1.0,1.0,62,60
389,江戸川区中葛西6-18-4,35.660675,139.869034,JGD2011,新荒川葛西堤防線,c,2002-07-30,2002-08-02,4,6,6.0,1.0,66,62
390,江戸川区東小岩1-6-10,35.721226,139.891144,JGD2011,王子金町江戸川線（柴又街道）,c,2002-12-17,2002-12-20,4,2,3.0,1.0,69,65
391,江戸川区上一色1-8-11,35.723095,139.872955,JGD2011,環状７号線,c,2002-11-19,2002-11-22,4,8,2.0,2.0,73,70
392,江戸川区南葛西3-23,35.650539,139.871368,JGD2011,環状７号線,c,2002-10-22,2002-10-25,4,6,7.0,1.0,69,66
393,江戸川区清新町1-5-14,35.663277,139.852020,JGD2011,千住小松川葛西沖線（船堀街道）,a,2002-10-29,2002-11-01,4,4,7.0,1.0,67,64
394,江戸川区北小岩5-32-5,35.740711,139.891617,JGD2011,江戸川堤防線（岩槻街道）,a,2002-11-12,2002-11-15,4,2,1.0,2.0,68,65
