測定日,測定位置（高さ(m)）,Ａ１（μSv/h）,Ａ２（μSv/h）,Ａ３（μSv/h）,Ａ４（μSv/h）,Ａ５（μSv/h）,Ａ６（μSv/h）,Ａ７（μSv/h）,Ａ８（μSv/h）
平成28年 6月29日,  1.0,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.05
平成28年 6月22日,  1.0,0.04,0.04,0.05,0.04,0.05,0.05,0.06,0.05
平成28年 6月15日,  1.0,0.04,0.04,0.05,0.04,0.05,0.05,0.06,0.05
平成28年 6月8日,  1.0,0.05,0.04,0.04,0.04,0.04,0.05,0.06,0.05
平成28年 6月1日,  1.0,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.05
平成28年 5月25日,  1.0,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.05
平成28年 5月18日,  1.0,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.05
平成28年 5月11日,  1.0,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05
平成28年 5月2日,  1.0,0.06,0.04,0.05,0.04,0.05,0.05,0.05,0.05
平成28年 4月27日,  1.0,0.05,0.04,0.05,0.04,0.04,0.05,0.06,0.05
平成28年 4月20日,  1.0,0.06,0.04,0.05,0.04,0.05,0.04,0.06,0.04
平成28年 4月13日,  1.0,0.06,0.04,0.05,0.05,0.04,0.06,0.06,0.05
平成28年 4月6日,  1.0,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.04
