測定日,測定位置（高さ(m)）,B1（μSv/h）,B2（μSv/h）,B3（μSv/h）,B4（μSv/h）,B5（μSv/h）,B6（μSv/h）,B7（μSv/h）,B8（μSv/h）
平成28年 9月28日,  1.0,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.04
平成28年 9月21日,  1.0,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.04
平成28年 9月14日,  1.0,0.04,0.05,0.05,0.04,0.05,0.04,0.03,0.04
平成28年 9月7日,  1.0,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.03
平成28年 8月31日,  1.0,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03
平成28年 8月24日,  1.0,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.03
平成28年 8月17日,  1.0,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04
平成28年 8月10日,  1.0,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04
平成28年 8月3日,  1.0,0.03,0.05,0.04,0.04,0.04,0.03,0.03,0.04
平成28年 7月27日,  1.0,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.04
平成28年 7月20日,  1.0,0.04,0.05,0.04,0.04,0.04,0.03,0.03,0.04
平成28年 7月13日,  1.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
平成28年 7月6日,  1.0,0.04,0.06,0.04,0.04,0.05,0.03,0.04,0.04
