測定日,測定位置（高さ(m)）,Ａ１（μSv/h）,Ａ２（μSv/h）,Ａ３（μSv/h）,Ａ４（μSv/h）,Ａ５（μSv/h）,Ａ６（μSv/h）,Ａ７（μSv/h）,Ａ８（μSv/h）
平成29年 6月27日,  1.0,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04
平成29年 6月20日,  1.0,0.04,0.03,0.03,0.04,0.06,0.03,0.04,0.05
平成29年 6月13日,  1.0,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05
平成29年 6月6日,  1.0,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.04
平成29年 5月30日,  1.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
平成29年 5月23日,  1.0,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.05
平成29年 5月15日,  1.0,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05
平成29年 5月9日,  1.0,0.04,0.05,0.04,0.04,0.05,0.05,0.06,0.05
平成29年 5月2日,  1.0,0.05,0.04,0.04,0.03,0.05,0.04,0.05,0.04
平成29年 4月25日,  1.0,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04
平成29年 4月17日,  1.0,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.05
平成29年 4月12日,  1.0,0.03,0.04,0.04,0.05,0.05,0.03,0.05,0.08
平成29年 4月4日,  1.0,0.04,0.04,0.03,0.03,0.05,0.03,0.04,0.06
