地域階層,地域コード,地域,District,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014,平成27年 2015,平成28年 2016
0,13000,総数,Tokyo-to,2036,1765,1718,1676,1650,1751,1851,1989
1,13100,区部,All ku,2409,2075,2024,1973,1949,2101,2226,2369
2,13101,千代田区,Chiyoda-ku ,6034,5224,4867,4726,4700,5557,5901,5940
2,13102,中央区,Chuo-ku,6519,5251,5492,5351,5504,6307,6922,7294
2,13103,港区,Minato-ku ,4163,3535,3326,3195,3101,3307,3522,3682
2,13104,新宿区,Shinjuku-ku,3845,3306,3280,3220,3191,3368,3542,3885
2,13105,文京区,Bunkyo-ku ,1201,1072,1032,1009,1013,1058,1102,1149
2,13106,台東区,Taito-ku ,1283,1167,1055,1022,1020,1244,1278,1121
2,13107,墨田区,Sumida-ku,621,577,570,564,571,585,598,614
2,13108,江東区,Koto-ku,643,600,596,588,586,602,617,634
2,13109,品川区,Shinagawa-ku,1263,1184,1125,1104,1123,1239,1296,1311
2,13110,目黒区,Meguro-ku,1592,1456,1320,1286,1232,1425,1467,1398
2,13111,大田区,Ota-ku,718,678,663,654,659,723,740,733
2,13112,世田谷区,Setagaya-ku,824,764,739,726,725,737,751,777
2,13113,渋谷区,Shibuya-ku,4908,4182,3976,3814,3785,3771,3986,4610
2,13114,中野区,Nakano-ku ,970,877,862,843,836,855,874,908
2,13115,杉並区,Suginami-ku,710,664,667,662,661,666,687,719
2,13116,豊島区,Toshima-ku,1506,1406,1415,1412,1408,1530,1596,1619
2,13117,北区,Kita-ku,725,682,671,666,664,681,691,711
2,13118,荒川区,Arakawa-ku,677,634,619,613,612,678,690,650
2,13119,板橋区,Itabashi-ku,600,559,553,544,541,559,567,570
2,13120,練馬区,Nerima-ku,638,603,598,593,592,606,611,626
2,13121,足立区,Adachi-ku,453,435,439,441,426,459,468,452
2,13122,葛飾区,Katsushika-ku,456,444,451,447,413,420,427,434
2,13123,江戸川区,Edogawa-ku,620,571,559,549,492,507,516,528
1,,市・郡部,All shi and gun,556,527,525,523,510,524,536,548
2,13201,八王子市,Hachioji-shi,476,438,427,416,409,414,420,429
2,13202,立川市,Tachikawa-shi,958,979,957,950,954,979,1032,1108
2,13203,武蔵野市,Musashino-shi,1313,1301,1285,1278,1278,1324,1377,1453
2,13204,三鷹市,Mitaka-shi,727,707,695,689,689,699,712,736
2,13205,青梅市,Ome-shi,226,208,202,198,188,188,190,191
2,13206,府中市,Fuchu-shi,506,476,465,462,460,469,479,492
2,13207,昭島市,Akishima-shi,271,252,254,250,247,303,306,294
2,13208,調布市,Chofu-shi,559,529,520,585,585,645,667,644
2,13209,町田市,Machida-shi,721,688,700,692,623,638,650,665
2,13210,小金井市,Koganei-shi,624,594,582,580,579,587,594,606
2,13211,小平市,Kodaira-shi,354,332,322,315,304,308,310,312
2,13212,日野市,Hino-shi,408,376,366,364,363,369,376,384
2,13213,東村山市,Higashimurayama-shi,345,326,320,317,292,296,298,300
2,13214,国分寺市,Kokubunji-shi,567,544,530,528,526,536,545,553
2,13215,国立市,Kunitachi-shi,611,576,566,563,562,568,571,575
2,13218,福生市,Fussa-shi　,320,293,283,277,273,275,280,284
2,13219,狛江市,Komae-shi,492,463,456,452,449,449,452,454
2,13220,東大和市,Higashiyamato-shi,215,202,196,191,190,222,223,194
2,13221,清瀬市,Kiyose-shi,364,342,332,329,329,334,337,341
2,13222,東久留米市,Higashikurume-shi,318,304,296,294,294,298,299,302
2,13223,武蔵村山市,Musashimurayama-shi,163,154,150,147,145,145,146,148
2,13224,多摩市,Tama-shi,396,396,388,387,386,390,390,391
2,13225,稲城市,Inagi-shi,235,227,223,222,222,224,228,232
2,13227,羽村市,Hamura-shi,251,233,177,174,171,173,174,176
2,13228,あきる野市,Akiruno-shi,166,152,175,171,168,169,170,171
2,13229,西東京市,Nishitokyo-shi,391,372,364,362,362,367,372,378
2,13303,瑞穂町,Mizuho-machi,132,123,121,117,115,115,117,118
2,13305,日の出町,Hinode-machi,…,…,…,…,…,90,90,91
2,13307,檜原村,Hinohara-mura,…,…,…,…,…,…,…,…
2,13308,奥多摩町,Okutama-machi,…,…,…,…,…,…,…,…
1,13350,島部,All islands,36,35,34,32,32,31,30,30
2,13361,大島町,Oshima-machi,75,70,65,61,57,48,46,45
2,13363,新島村,Niijima-mura,10,10,10,10,10,9,9,9
2,13364,神津島村,Kozushima-mura,10,10,10,10,10,10,10,10
2,13381,三宅村,Miyake-mura,12,12,12,12,11,11,11,11
2,13401,八丈町,Hachijo-machi,43,40,37,34,32,31,31,31
2,13421,小笠原村,Ogasawara-mura,69,69,69,69,73,75,75,75
,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 13 　物価・地価 13   PRICES,,,,,,,,,,,
13-5  地価公示の平均価格の推移（商業地）（平成21～28年） 13-5 CHANGES IN AVERAGE POSTED LAND PRICES ( COMMERCIAL LAND ) ( 2009-2016 ),,,,,,,,,,,
各年１月1日現在,,,,,,,,,,,
Figures are as of Jan. 1 of the year stated.,,,,,,,,,,,
資料：都財務局財産運用部管理課「平成28年地価公示価格」（ホームページ） Source: Bureau of Finance， TMG,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市・郡部・島部　2:区市町村),,,,,,,,,,,
（単位 ：千円／m2） (Thousands of yen／m2),,,,,,,,,,,
