年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／橋数 Number,総数 Total／橋長 Length,総数 Total／橋面積 Area,一般国道 (指定区間外) General national highways (outside designated sections)／橋数 Number,一般国道 (指定区間外) General national highways (outside designated sections)／橋長 Length,一般国道 (指定区間外) General national highways (outside designated sections)／橋面積 Area,主要地方道 Main regional roads／橋数 Number,主要地方道 Main regional roads／橋長 Length,主要地方道 Main regional roads／橋面積 Area,一般都道 General metropolitan roads／橋数 Number,一般都道 General metropolitan roads／橋長 Length,一般都道 General metropolitan roads／橋面積 Area,,
平成24,2012,0,13000,,総数,Tokyo-to,709,40515,77385,25,1741,3170,460,24621,44664,224,14153,29551,,
平成25,2013,0,13000,,総数,Tokyo-to,719,40190,77089,25,1741,3170,458,24406,44380,236,14021,29539,,
平成26,2014,0,13000,,総数,Tokyo-to,720,40414,77978,25,1741,3170,460,24694,45410,235,13979,29398,,
平成27,2015,0,13000,,総数,Tokyo-to,713,40007,77043,25,1741,3170,455,24345,44579,233,13921,29294,,
平成28,2016,0,13000,,総数,Tokyo-to,703,39349,75752,25,1741,3170,447,23869,43617,231,13739,28965,,
平成28,2016,1,13100,,区部,All ku,483,30070,58348,19,1537,2782,327,18498,32933,137,10035,22633,,
平成28,2016,4,13101,1,千代田区,Chiyoda-ku,7,547,1242,-,-,-,6,415,760,1,132,482,,
平成28,2016,4,13102,2,中央区,Chuo-ku,11,1205,2705,-,-,-,10,939,2323,1,266,382,,
平成28,2016,4,13103,3,港区,Minato-ku,20,1268,1928,-,-,-,7,495,736,13,773,1192,,
平成28,2016,4,13104,4,新宿区,Shinjuku-ku,22,1632,5254,-,-,-,14,749,2215,8,883,3039,,
平成28,2016,4,13105,5,文京区,Bunkyo-ku,11,699,1273,-,-,-,4,226,322,7,473,951,,
平成28,2016,4,13106,6,台東区,Taito-ku,4,409,308,-,-,-,3,256,122,1,153,186,,
平成28,2016,4,13107,7,墨田区,Sumida-ku,6,236,468,-,-,-,3,28,73,3,208,395,,
平成28,2016,4,13108,8,江東区,Koto-ku,35,2365,4721,-,-,-,23,705,1106,12,1660,3615,,
平成28,2016,4,13109,9,品川区,Shinagawa-ku,9,977,2051,-,-,-,7,880,1910,2,97,141,,
平成28,2016,4,13110,10,目黒区,Meguro-ku,19,734,1024,-,-,-,15,558,774,4,176,250,,
平成28,2016,4,13111,11,大田区,Ota-ku,33,2159,3976,1,43,41,31,2082,3881,1,34,54,,
平成28,2016,4,13112,12,世田谷区,Setagaya-ku,49,2786,4749,6,376,754,40,2284,3802,3,126,193,,
平成28,2016,4,13113,13,渋谷区,Shibuya-ku,18,1079,1958,-,-,-,11,567,1025,7,512,933,,
平成28,2016,4,13114,14,中野区,Nakano-ku,19,794,1112,-,-,-,11,536,741,8,258,371,,
平成28,2016,4,13115,15,杉並区,Suginami-ku,40,1653,2855,-,-,-,34,1321,2368,6,332,487,,
平成28,2016,4,13116,16,豊島区,Toshima-ku,9,364,693,-,-,-,6,212,392,3,152,301,,
平成28,2016,4,13117,17,北区,Kita-ku,28,3587,4572,10,1005,1826,9,1814,1368,9,768,1378,,
平成28,2016,4,13118,18,荒川区,Arakawa-ku,5,189,905,-,-,-,3,46,45,2,143,860,,
平成28,2016,4,13119,19,板橋区,Itabashi-ku,32,1928,5783,-,-,-,12,568,1057,20,1360,4726,,
平成28,2016,4,13120,20,練馬区,Nerima-ku,32,1917,5073,-,-,-,23,1477,4062,9,440,1011,,
平成28,2016,4,13121,21,足立区,Adachi-ku,33,1486,2674,-,-,-,23,1075,2078,10,411,596,,
平成28,2016,4,13122,22,葛飾区,Katsushika-ku,11,543,228,-,-,-,8,226,71,3,317,157,,
平成28,2016,4,13123,23,江戸川区,Edogawa-ku,30,1514,2797,2,113,161,24,1040,1703,4,361,933,,
平成28,2016,,,,市郡部,All shi and gun,216,9185,17050,6,204,388,119,5349,10586,91,3632,6076,,
平成28,2016,2,13350,,島部,All islands,4,94,354,-,-,-,1,22,98,3,72,256,,
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT,,,,,,,,,,,,,,,,,,,,
4-4  地域， 道路の種類別歩道橋数， 橋長及び橋面積(平成24～28年) ,,,,,,,,,,,,,,,,,,,,
この表は， 知事管理道路についての数値である。 各年4月1日現在 ,,,,,,,,,,,,,,,,,,,,
（単位　延長　メートル， 面積　平方メートル） ,,,,,,,,,,,,,,,,,,,,
資料：都建設局道路管理部保全課 ,,,,,,,,,,,,,,,,,,,,
4-4  NUMBER， LENGTH， ANDAREAOFPEDESTRIANBRIDGESBY,,,,,,,,,,,,,,,,,,, , 
DISTRICT AND KIND OF ROADS ( 2012～2016 ) ,,,,,,,,,,,,,,,,,,,,
Figures refer only to roads under the jurisdiction of the Tokyo governor. Figures are as of Apr. 1 ,,,,,,,,,,,,,,,,,,,,
(Length in meters， Area in square meters),,,,,,,,,,,,,,,,,,, ,
Source: Bureau of Construction， TMG,,,,,,,,,,,,,,,,,,, ,
