年度末,End of fiscal year,地域階層,地域コード,地域,District,郵便局 Post offices／総数 Total,郵便局 Post offices／郵便局(直営) Post offices(direct management),郵便局 Post offices／簡易郵便局 Postal agencies,郵便差出箱 Mailboxes,郵便切手類販売所 Stamp and revenue stamp shops
平成26,2014,0,13000,総数,Tokyo-to,1505,1499,6,11093,13355
平成27,2015,0,13000,総数,Tokyo-to,1503,1497,6,11149,12851
平成27,2015,1,13100,区部,All ku,1059,1058,1,7849,9442
平成27,2015,3,13101,千代田区,Chiyoda-ku,50,50,-,427,464
平成27,2015,3,13102,中央区,Chuo-ku,51,51,-,410,358
平成27,2015,3,13103,港区,Minato-ku,55,55,-,537,597
平成27,2015,3,13104,新宿区,Shinjuku-ku,55,55,-,401,509
平成27,2015,3,13105,文京区,Bunkyo-ku,34,34,-,249,217
平成27,2015,3,13106,台東区,Taito-ku,34,34,-,260,326
平成27,2015,3,13107,墨田区,Sumida-ku,26,26,-,231,293
平成27,2015,3,13108,江東区,Koto-ku,43,43,-,385,494
平成27,2015,3,13109,品川区,Shinagawa-ku,42,42,-,321,431
平成27,2015,3,13110,目黒区,Meguro-ku,24,24,-,201,260
平成27,2015,3,13111,大田区,Ota-ku,72,72,-,494,648
平成27,2015,3,13112,世田谷区,Setagaya-ku,79,79,-,584,676
平成27,2015,3,13113,渋谷区,Shibuya-ku,37,37,-,309,407
平成27,2015,3,13114,中野区,Nakano-ku,30,30,-,210,227
平成27,2015,3,13115,杉並区,Suginami-ku,52,52,-,369,361
平成27,2015,3,13116,豊島区,Toshima-ku,36,35,1,230,344
平成27,2015,3,13117,北区,Kita-ku,41,41,-,268,351
平成27,2015,3,13118,荒川区,Arakawa-ku,19,19,-,139,175
平成27,2015,3,13119,板橋区,Itabashi-ku,48,48,-,349,436
平成27,2015,3,13120,練馬区,Nerima-ku,62,62,-,403,449
平成27,2015,3,13121,足立区,Adachi-ku,68,68,-,409,548
平成27,2015,3,13122,葛飾区,Katsushika-ku,45,45,-,282,345
平成27,2015,3,13123,江戸川区,Edogawa-ku,56,56,-,381,526
平成27,2015,1,13200,市部,All shi,407,406,1,3071,3254
平成27,2015,3,13201,八王子市,Hachioji-shi,64,64,-,449,466
平成27,2015,3,13202,立川市,Tachikawa-shi,18,18,-,144,204
平成27,2015,3,13203,武蔵野市,Musashino-shi,16,16,-,120,110
平成27,2015,3,13204,三鷹市,Mitaka-shi,19,19,-,117,105
平成27,2015,3,13205,青梅市,Ome-shi,16,16,-,119,131
平成27,2015,3,13206,府中市,Fuchu-shi,24,24,-,185,218
平成27,2015,3,13207,昭島市,Akishima-shi,12,12,-,88,106
平成27,2015,3,13208,調布市,Chofu-shi,22,22,-,160,180
平成27,2015,3,13209,町田市,Machida-shi,34,34,-,290,321
平成27,2015,3,13210,小金井市,Koganei-shi,10,10,-,84,80
平成27,2015,3,13211,小平市,Kodaira-shi,17,17,-,149,163
平成27,2015,3,13212,日野市,Hino-shi,17,17,-,132,115
平成27,2015,3,13213,東村山市,Higashimurayama-shi,12,11,1,93,106
平成27,2015,3,13214,国分寺市,Kokubunji-shi,11,11,-,78,78
平成27,2015,3,13215,国立市,Kunitachi-shi,10,10,-,64,61
平成27,2015,3,13218,福生市,Fussa-shi,6,6,-,61,56
平成27,2015,3,13219,狛江市,Komae-shi,7,7,-,53,46
平成27,2015,3,13220,東大和市,Higashiyamato-shi,8,8,-,58,66
平成27,2015,3,13221,清瀬市,Kiyose-shi,7,7,-,66,73
平成27,2015,3,13222,東久留米市,Higashikurume-shi,12,12,-,85,81
平成27,2015,3,13223,武蔵村山市,Musashimurayama-shi,7,7,-,54,58
平成27,2015,3,13224,多摩市,Tama-shi,15,15,-,109,104
平成27,2015,3,13225,稲城市,Inagi-shi,7,7,-,54,65
平成27,2015,3,13227,羽村市,Hamura-shi,5,5,-,42,56
平成27,2015,3,13228,あきる野市,Akiruno-shi,12,12,-,94,76
平成27,2015,3,13229,西東京市,Nishitokyo-shi ,19,19,-,123,129
平成27,2015,1,13300,郡部,All gun,10,9,1,110,82
平成27,2015,1,13350,島部,All islands,27,24,3,119,73
平成27,2015,2,13360,大島支庁,Oshima-shicho,12,11,1,57,45
平成27,2015,2,13380,三宅支庁,Miyake-shicho,6,6,-,19,8
平成27,2015,2,13400,八丈支庁,Hachijo-shicho,7,6,1,37,17
平成27,2015,2,13420,小笠原支庁,Ogasawara-shicho,2,1,1,6,3
,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,
5-1　地域別郵便局数等 (平成26，27年度末) 5-1 POST OFFICES BY DISTRICT ( End of Fiscal Years 2014 and 2015 ),,,,,,,,,,
資料：日本郵便株式会社東京支社 Source:  Japan Post Co.， Ltd.,,,,,,,,,,
地域階層(0:東京都　1:区部・市部・郡部・島部　2:支庁　3:区市町村),,,,,,,,,,
