年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成28年４月,2016,4,390,89,85,187,280,116,75,570,244,111,274,317,118,...,236,882,278,219,194,133,210,810,296,570,494,151,788,1886,506,409,716,188,374,881,241,1395,749,1496,...,2195,407,496,729,759,934,1725,1001,501,670,...,575,...,404,478,816,...,...,...,...,...,...,...,1514,...,261,1054,196,222,321
平成28年５月,2016,5,382,92,86,188,290,106,72,577,251,121,287,314,115,...,246,912,276,219,196,137,207,789,247,808,388,150,664,1927,513,421,748,167,441,859,237,1566,758,1468,...,2187,375,464,700,639,835,1694,932,489,667,...,653,...,439,469,1011,...,...,...,...,...,493,864,1563,...,265,991,210,219,322
平成28年６月,2016,6,384,99,84,185,278,110,71,586,253,114,272,319,122,...,257,920,271,222,197,136,190,798,234,786,347,150,767,2082,543,447,1070,164,380,913,283,2677,739,1483,1446,2110,410,498,667,609,759,1643,789,460,653,...,716,...,437,479,...,...,1816,...,...,...,378,673,...,2427,265,878,194,221,305
平成28年７月,2016,7,377,95,89,189,273,112,73,579,271,109,278,319,123,...,261,911,278,227,196,137,148,979,203,848,301,149,695,1924,574,452,1124,213,380,859,309,2303,754,1519,1366,2043,489,587,650,603,808,1591,746,464,637,...,728,...,359,468,...,...,1325,2173,...,951,338,541,...,2476,265,859,194,222,306
平成28年８月,2016,8,392,117,104,192,277,125,106,587,269,117,287,310,130,...,268,907,281,231,194,134,133,1030,205,691,317,150,724,1719,520,446,1020,201,494,845,350,1638,762,1553,1212,1855,465,466,523,567,766,1636,546,478,617,732,...,...,351,450,...,647,1091,1405,...,904,364,632,...,...,267,867,193,222,301
平成28年９月,2016,9,402,124,96,192,296,126,129,599,258,121,291,338,128,...,270,914,286,225,194,133,166,1341,229,699,544,150,874,1795,471,386,800,231,597,850,331,1124,775,1582,1222,2203,461,559,587,621,728,1794,867,480,704,512,...,632,342,441,...,454,1098,1174,...,967,...,...,...,...,261,884,191,218,303
平成28年10月,2016,10,408,117,82,186,305,119,98,591,257,138,281,322,129,429,270,899,290,225,197,135,261,1475,266,808,1125,149,997,1668,460,373,710,253,654,818,270,1130,761,1603,...,2679,435,718,751,800,971,1849,1141,514,729,544,...,565,351,434,...,621,...,1400,477,...,...,...,...,...,257,881,195,232,316
平成28年11月,2016,11,409,106,104,...,303,126,93,607,267,147,289,331,126,402,275,896,285,221,193,134,346,1012,281,733,687,150,846,1642,490,365,665,246,619,897,251,1104,778,1668,...,2723,512,762,797,950,1123,1731,...,536,794,...,556,577,378,450,...,...,...,...,515,...,...,...,...,...,260,945,191,231,319
平成28年12月,2016,12,413,99,95,...,297,112,85,600,259,154,301,335,124,394,272,882,284,226,195,138,233,833,193,661,603,150,713,1813,478,368,633,164,418,948,239,1130,843,1491,...,2462,540,722,858,917,1013,1719,...,560,807,...,520,601,477,455,...,...,...,...,599,...,...,...,2130,...,247,905,191,224,329
平成29年１月,2017,1,413,124,93,...,296,128,81,603,269,151,295,348,126,371,275,911,279,226,195,139,213,864,204,683,501,150,642,2112,473,382,646,166,370,993,235,1296,872,1517,...,2174,486,715,861,777,1121,1960,...,558,822,...,541,653,487,469,...,...,...,...,...,...,...,...,1884,...,252,952,187,223,315
