年月,西暦（年）,月,総合,財,財／生鮮食品を除く財,財／農水畜産物,財／農水畜産物／生鮮商品,財／農水畜産物／他の農水畜産物,財／農水畜産物／他の農水畜産物／米類,財／工業製品,財／工業製品／食料工業製品,財／工業製品／繊維製品,財／工業製品／石油製品,財／工業製品／他の工業製品,財／電気・都市ガス・水道,財／出版物,サービス,サービス/持家の帰属家賃を除くサービス,サービス/公共サービス,サービス/一般サービス,サービス/一般サービス／外食,サービス/一般サービス／民営家賃,サービス/一般サービス／民営家賃／民営家賃（木造）,サービス/一般サービス／民営家賃／民営家賃（非木造）,サービス/一般サービス／持家の帰属家賃,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（木造）,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（非木造）,サービス/一般サービス／他のサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金,
ウエイト,,,10000,4341,3956,662,614,48,48,3085,1396,377,61,1251,484,110,5659,3658,1101,4557,515,391,- ,- ,2000,- ,- ,1650,520,664,3158,1616,
品目数,,,582,442,382,72,70,2,2,359,145,65,3,146,3,8,140,139,40,100,23,1,- ,- ,1,- ,- ,75,41,107,294,46,
年・年度平均指数／平成28年平均,2016,,98.1,96.3,96.4,95.4,95.6,93.1,93.1,97,97.2,95.9,86.7,97.9,94.1,94.7,99.4,99.2,100.8,99.1,95.1,99.8,99.4,99.9,99.8,99.4,100.1,99.4,98.9,96.2,96,98.5,
年・年度平均指数／平成29年平均,2017,,98.2,96.6,96.8,96,96,96.4,96.4,97,97.6,96.4,96.5,96.7,95.6,95.1,99.4,99.4,101.4,98.9,95.2,99.4,99.2,99.4,99.4,99.2,99.5,99.6,96.9,96.5,96.6,99.3,
年・年度平均指数／平成30年平均,2018,,99.1,98.2,98.1,99.1,99,99.9,99.9,97.8,98.3,97.3,107.9,96.7,100,96,99.9,100,102.3,99.2,96,99.4,99.2,99.5,99.5,99.3,99.6,100,96.5,97.1,98.7,101.4,
年・年度平均指数／令和元年平均,2019,,99.9,99.3,99.5,98.4,98.3,100,100,98.8,99.4,97.9,105.6,98,103.7,99,100.4,100.7,102.2,99.9,97.7,99.8,99.6,99.9,99.9,99.7,100,100.8,98.1,97.8,99.8,102.5,
年・年度平均指数／令和2年平均,2020,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
年・年度平均指数／令和3年平均,2021,,99.8,100.2,100.3,99.8,100.1,95.9,95.9,100.5,99.9,100.3,111.8,100.6,99,101.8,99.4,99,100.5,99.1,99.9,100.2,100.1,100.2,100.1,100,100.2,97.4,100.6,100.3,100.2,100.2,
年・年度平均指数／平成30年度平均,2018,,99.3,98.3,98.5,97.7,97.5,100,100,97.9,98.5,97.3,108,96.8,102.1,96.6,100,100.2,102.6,99.4,96.3,99.5,99.3,99.6,99.6,99.5,99.7,100.2,96.7,97.2,98.8,102.2,
年・年度平均指数／令和元年度平均,2019,,100,99.5,99.8,98.3,98.1,100.3,100.3,99.3,99.7,98.5,106.7,98.5,102.9,99.4,100.4,100.7,101.6,100.1,98.5,99.9,99.8,99.9,99.9,99.8,99.9,101.1,98.5,98.4,99.9,101.9,
年・年度平均指数／令和2年度平均,2020,,99.9,99.8,99.7,99.9,100,99.2,99.2,100,99.9,100.2,98.9,100.2,97.7,100.1,100,100,100,100,100,100.1,100,100.1,100.1,100,100.1,100,100.2,100.1,99.6,99.4,
年・年度平均指数／令和3年度平均,2021,,100,101.3,101.2,101.6,102.2,94.7,94.7,100.8,100.3,100.5,116.7,100.7,103.7,102.6,99,98.3,100.4,98.6,100,100.2,100.2,100.2,100.2,100.1,100.2,96,100.8,100.4,101.6,101.6,
前年(度)比(％)／平成28年平均,2016,,-0.2,-0.8,-1.2,3,3,2.9,2.9,0.3,1,0.1,-12.4,0.4,-11.4,0.3,0.3,0.6,0.3,0.3,0.9,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,0.9,-0.2,1,-1.3,-3.4,
前年(度)比(％)／平成29年平均,2017,,0.1,0.3,0.4,0.7,0.5,3.6,3.6,0,0.4,0.5,11.3,-1.2,1.5,0.5,0,0.2,0.6,-0.1,0.2,-0.4,-0.3,-0.5,-0.4,-0.2,-0.6,0.2,-2,0.3,0.7,0.9,
前年(度)比(％)／平成30年平均,2018,,0.9,1.6,1.3,3.2,3.1,3.6,3.6,0.7,0.7,0.9,11.8,-0.1,4.6,0.9,0.4,0.6,0.9,0.3,0.8,0.1,0,0.1,0.1,0.2,0.1,0.5,-0.4,0.6,2.1,2,
