"年度","請求内容","請求件数[件]","決定内容 応じる[件]","決定内容 一部応じる[件]","決定内容 応じない[件]","決定内容 不存在[件]","決定内容 存否応答拒否[件]"
"2016","開示","91","42","26","0","23","0"
"2016","訂正","0","0","0","0","0","0"
"2016","削除","0","0","0","0","0","0"
"2016","目的外利用中止","0","0","0","0","0","0"
"2016","外部提供中止","0","0","0","0","0","0"
"2016","合計","91","42","26","0","23","0"
"2017","開示","90","34","32","0","24","0"
"2017","訂正","1","0","0","1","0","0"
"2017","削除","1","0","0","1","0","0"
"2017","目的外利用中止","0","0","0","0","0","0"
"2017","外部提供中止","0","0","0","0","0","0"
"2017","合計","92","34","32","2","24","0"
"2018","開示","117","47","28","2","43","2"
"2018","訂正","1","0","1","0","0","0"
"2018","削除","1","0","0","1","0","0"
"2018","目的外利用中止","0","0","0","0","0","0"
"2018","外部提供中止","1","0","1","0","0","0"
"2018","合計","120","47","30","3","43","2"
"2019","開示","100","36","30","1","30","3"
"2019","訂正","0","0","0","0","0","0"
"2019","削除","0","0","0","0","0","0"
"2019","目的外利用中止","0","0","0","0","0","0"
"2019","外部提供中止","0","0","0","0","0","0"
"2019","合計","100","36","30","1","30","3"
"2020","開示","109","41","38","0","28","7"
"2020","訂正","1","0","1","0","0","0"
"2020","削除","1","1","0","0","0","0"
"2020","目的外利用中止","0","0","0","0","0","0"
"2020","外部提供中止","0","0","0","0","0","0"
"2020","合計","111","42","39","0","28","7"

"令和3年度港区行政資料集　自己情報開示等請求の決定状況","Ver202103",,,,,,
