年月日,降水(mm)
1月1日,0.0
1月2日,0.0
1月3日,0.0
1月4日,0.0
1月5日,0.0
1月6日,0.0
1月7日,0.0
1月8日,0.0
1月9日,0.0
1月10日,0.0
1月11日,0.0
1月12日,0.5
1月13日,0.0
1月14日,0.0
1月15日,0.0
1月16日,0.0
1月17日,5.5
1月18日,63.0
1月19日,0.5
1月20日,0.0
1月21日,0.0
1月22日,0.0
1月23日,0.0
1月24日,0.0
1月25日,0.0
1月26日,0.0
1月27日,0.0
1月28日,0.0
1月29日,9.5
1月30日,4.0
1月31日,0.0
1月計,83.0
2月1日,0.0
2月2日,0.0
2月3日,0.0
2月4日,0.0
2月5日,0.0
2月6日,1.5
2月7日,0.5
2月8日,0.0
2月9日,0.0
2月10日,0.0
2月11日,0.0
2月12日,0.0
2月13日,0.0
2月14日,12.0
2月15日,0.0
2月16日,0.0
2月17日,0.0
2月18日,0.0
2月19日,0.0
2月20日,41.0
2月21日,0.5
2月22日,0.0
2月23日,0.0
2月24日,2.0
2月25日,0.5
2月26日,0.0
2月27日,0.0
2月28日,0.0
2月29日,0.5
2月計,58.5
3月1日,0.0
3月2日,0.0
3月3日,0.0
3月4日,0.0
3月5日,0.0
3月6日,0.0
3月7日,18.5
3月8日,0.0
3月9日,22.5
3月10日,0.0
3月11日,1.0
3月12日,0.0
3月13日,0.0
3月14日,27.5
3月15日,0.0
3月16日,0.0
3月17日,0.0
3月18日,0.5
3月19日,3.0
3月20日,0.0
3月21日,0.0
3月22日,0.0
3月23日,0.0
3月24日,0.0
3月25日,0.0
3月26日,0.0
3月27日,0.0
3月28日,5.5
3月29日,0.0
3月30日,0.0
3月31日,0.0
3月計,78.5
4月1日,0.0
4月2日,0.5
4月3日,5.0
4月4日,10.0
4月5日,3.5
4月6日,0.0
4月7日,22.5
4月8日,0.0
4月9日,0.0
4月10日,0.0
4月11日,0.0
4月12日,0.0
4月13日,1.5
4月14日,22.5
4月15日,0.0
4月16日,0.0
4月17日,3.5
4月18日,0.0
4月19日,0.0
4月20日,0.0
4月21日,4.5
4月22日,0.0
4月23日,0.0
4月24日,1.5
4月25日,0.0
4月26日,0.0
4月27日,0.0
4月28日,24.5
4月29日,0.0
4月30日,0.0
4月計,99.5
5月1日,0.0
5月2日,0.0
5月3日,0.0
5月4日,16.5
5月5日,0.0
5月6日,1.0
5月7日,0.0
5月8日,0.0
5月9日,13.0
5月10日,2.5
5月11日,4.0
5月12日,0.0
5月13日,0.0
5月14日,0.0
5月15日,0.0
5月16日,0.0
5月17日,20.0
5月18日,0.0
5月19日,0.0
5月20日,0.0
5月21日,0.0
5月22日,0.0
5月23日,0.0
5月24日,0.0
5月25日,0.0
5月26日,0.0
5月27日,10.0
5月28日,0.0
5月29日,0.0
5月30日,12.5
5月31日,0.0
5月計,79.5
6月1日,0.0
6月2日,0.0
6月3日,0.0
6月4日,0.0
6月5日,5.0
6月6日,0.0
6月7日,0.5
6月8日,1.0
6月9日,3.5
6月10日,0.0
6月11日,0.0
6月12日,0.0
6月13日,81.0
6月14日,0.0
6月15日,0.5
6月16日,9.0
6月17日,0.5
6月18日,0.0
6月19日,2.0
6月20日,0.5
6月21日,8.0
6月22日,3.0
6月23日,5.0
6月24日,1.5
6月25日,1.0
6月26日,0.0
6月27日,0.0
6月28日,19.5
6月29日,0.0
6月30日,0.0
6月計,141.5
7月1日,0.0
7月2日,0.0
7月3日,0.0
7月4日,11.5
7月5日,0.0
7月6日,0.0
7月7日,0.0
7月8日,0.0
7月9日,10.5
7月10日,0.0
7月11日,0.0
7月12日,0.0
7月13日,1.0
7月14日,47.0
7月15日,2.5
7月16日,0.0
7月17日,0.0
7月18日,0.5
7月19日,0.0
7月20日,0.0
7月21日,25.5
7月22日,17.0
7月23日,0.0
7月24日,0.0
7月25日,0.0
7月26日,3.0
7月27日,0.0
7月28日,0.0
7月29日,0.0
7月30日,0.0
7月31日,3.0
7月計,121.5
8月1日,0.0
8月2日,8.5
8月3日,11.5
8月4日,0.0
8月5日,0.0
8月6日,0.0
8月7日,0.0
8月8日,0.0
8月9日,0.0
8月10日,27.5
8月11日,0.0
8月12日,0.0
8月13日,0.0
8月14日,0.0
8月15日,0.0
8月16日,36.5
8月17日,5.0
8月18日,16.5
8月19日,9.0
8月20日,59.0
8月21日,0.0
8月22日,154.0
8月23日,9.0
8月24日,3.0
8月25日,0.0
8月26日,0.0
8月27日,17.5
8月28日,15.0
8月29日,17.5
8月30日,32.5
8月31日,0.0
8月計,422.0
9月1日,0.0
9月2日,0.0
9月3日,2.0
9月4日,9.0
9月5日,0.0
9月6日,0.0
9月7日,2.5
9月8日,30.5
9月9日,0.0
9月10日,0.0
9月11日,0.0
9月12日,1.5
9月13日,30.5
9月14日,0.5
9月15日,19.0
9月16日,0.5
9月17日,0.0
9月18日,1.5
9月19日,14.5
9月20日,84.5
9月21日,0.5
9月22日,39.5
9月23日,18.0
9月24日,12.0
9月25日,0.0
9月26日,0.0
9月27日,0.0
9月28日,0.0
9月29日,0.5
9月30日,0.0
9月計,267.0
10月1日,0.0
10月2日,0.0
10月3日,0.5
10月4日,0.0
10月5日,0.0
10月6日,0.0
10月7日,0.0
10月8日,15.0
10月9日,17.5
10月10日,0.0
10月11日,0.0
10月12日,0.0
10月13日,0.0
10月14日,0.0
10月15日,0.0
10月16日,0.0
10月17日,6.5
10月18日,0.5
10月19日,0.0
10月20日,0.0
10月21日,0.0
10月22日,0.0
10月23日,0.0
10月24日,0.0
10月25日,1.0
10月26日,0.0
10月27日,0.0
10月28日,12.0
10月29日,0.0
10月30日,1.0
10月31日,0.0
10月計,54.0
11月1日,7.0
11月2日,1.0
11月3日,1.0
11月4日,0.0
11月5日,0.0
11月6日,0.0
11月7日,0.0
11月8日,2.5
11月9日,2.5
11月10日,0.0
11月11日,47.0
11月12日,0.0
11月13日,0.0
11月14日,6.0
11月15日,0.5
11月16日,0.0
11月17日,0.0
11月18日,0.0
11月19日,11.5
11月20日,0.0
11月21日,7.5
11月22日,2.5
11月23日,0.0
11月24日,20.5
11月25日,0.0
11月26日,0.0
11月27日,7.5
11月28日,6.0
11月29日,0.0
11月30日,0.0
11月計,123.0
12月1日,12.5
12月2日,0.0
12月3日,0.0
12月4日,1.0
12月5日,1.5
12月6日,0.0
12月7日,0.0
12月8日,0.0
12月9日,0.0
12月10日,0.0
12月11日,0.0
12月12日,0.0
12月13日,3.5
12月14日,31.0
12月15日,0.0
12月16日,0.0
12月17日,0.0
12月18日,0.0
12月19日,0.0
12月20日,0.0
12月21日,0.0
12月22日,12.0
12月23日,7.0
12月24日,0.0
12月25日,0.0
12月26日,0.0
12月27日,11.5
12月28日,0.5
12月29日,0.0
12月30日,0.0
12月31日,0.0
12月計,80.5
